rank	username	minecraft:used/minecraft:stripped_birch_wood
1	PlasticOtari	486
2	SvenskaSara	264
3	pintsizedrogue	256
4	noam464	206
5	Groundler	192
6	Yamdalorian	143
7	Lez_	137
8	Werbe	124
9	miramyu	88
10	joethahobo	69
11	Zythose	68
12	KamFurnace	55
13	Merv__	54
14	Niklas20114552	39
15	Reneedium	34
16	Hoid_the_Roamer	28
16	Soplight	28
18	FreakGenius	27
18	Jimb0nat0r	27
20	Blackberry1310	26
21	Pumpkin_P_Patch	24
22	Maenara	19
22	Manaateee	19
24	KeruNatsema	13
24	Buuck_	13
24	Kowcio_	13
27	MyNameIsJobo	11
28	Mahoose	8
29	oscminus	6
29	claivin	6
31	beeperbeeper5	5
31	500am	5
31	Legendosh	5
34	kekhon	4
34	luseis	4
34	SpacesickPrism	4
37	yuuxxii	3
37	EveryonesUncle	3
37	EcksD	3
40	Rebytre	2
41	T045RTY	1
41	TheSecondLord	1
41	SuperPooch06	1
41	CarryLine	1
41	Dakar_	1
41	ayamefag	1
41	Luigipunch989	1
41	redlightshift	1
