rank	username	minecraft:used/minecraft:deepslate_diamond_ore
1	Hyp3rion_	3069
2	Segotep999	1864
3	thewindmillman	792
4	beeperbeeper5	758
5	500am	700
6	Smashic	601
7	Fuad_R	536
8	MilleGrug	535
9	Inchef	376
10	groofles	294
11	YungMaki	289
12	Marbz_	211
13	Enderslayerxz3	174
14	Rebytre	170
15	EMC_	168
16	pintsizedrogue	138
17	MinttyFressh	131
18	12Magner05	125
19	Drlzyy	90
20	joethahobo	89
21	Megarboh	81
22	XboxPanda	80
22	Spacewardharpy7	80
24	PlasticOtari	79
25	Smoke____	78
26	HolyVenom	73
27	SingedBread	68
28	LazySupport00	67
29	LeauVox4921	61
29	fw3xywashere	61
31	SvenskaHugo	59
32	Miko_Fullbuster	57
33	hm947	55
34	Jackattack53	47
34	Steven1282598	47
36	gcaisawesome	46
37	Mahoose	45
38	MrKrabOnCoke	43
38	Jiminie	43
40	jcool7	42
41	MSK__	41
42	Mattesco	40
43	Lutres_Torane	32
43	Racengan	32
43	TheOuterCore	32
46	BronkerBrum	31
47	RebelAndroid	30
48	mrnosetackle	26
49	KingEgg1	24
50	ApophisNova	23
50	MyNamaSheff	23
52	eitanzaki	22
52	Kakolbus	22
54	PigDab	21
54	Dan_Scha	21
54	EveryonesUncle	21
57	dartwaffle	20
58	Flores991	19
58	Myszoaz	19
58	NomadicRobin_	19
58	TheALV	19
62	Ryker	18
62	masskedman	18
64	Da_Boss_Rani	17
64	SvenskaAlvar	17
64	Lord_Doob	17
64	Legendosh	17
68	00000000-0000-0000-0009-01ff0c3e5e4f	16
69	pixelviolin	15
69	Spenduh	15
71	Masssonnn	14
71	UCP_TheKingK	14
73	CoffeeNoir	13
74	fluddd	12
74	verynothing	12
76	TheSecondLord	11
76	AltnumberF4	11
78	Sleepy_Time_	10
78	KGTV	10
78	Steelynan	10
78	2blox	10
78	WYFYoyo	10
83	ShedJr_	9
83	Jimi7hits	9
83	RadarHz	9
86	noam464	8
86	AlexxO_o	8
86	Sheldor097	8
89	TAKrules	7
89	Kowcio_	7
91	Wowful	6
91	wwwwinnebagoooo	6
93	EcksDofficial	4
94	tuckerdoodle	3
94	Winklepicker279	3
94	Gryglu583	3
94	lordpipe	3
94	fffMike	3
94	Weepingbiel	3
100	itburb	2
100	Prismyst	2
100	SquadMonster	2
100	Khelvoryk	2
100	kekhon	2
100	Covalents	2
100	Solar_Power	2
100	MAns_44	2
100	ItsDeltaMC	2
100	Hermanni__	2
110	_stets	1
110	Merv__	1
110	_HoneySlime_	1
110	prizm_	1
110	Freak_Genius	1
110	vadar12	1
110	Soplight	1
110	GlitchyPlate810	1
