rank	username	minecraft:used/minecraft:sheep_spawn_egg
1	joethahobo	133
2	TheShyPig	129
3	El_Jalapeno	39
4	DAD_1996	29
5	Akoot_	24
6	Blu3beast	22
7	Fuhrer_Teemo	20
8	Legendosh	16
9	BreadBacon	15
10	kekhon	12
11	ImpavidArcher	11
12	MattieHD	10
13	Groundler	4
14	ApophisNova	3
14	MyNamaSheff	3
16	Blackberry1310	1
