rank	username	minecraft:used/minecraft:wither_rose
1	HellsSponge	2274
2	PigDab	1904
3	Di_infiri	1535
4	Frozil12	1154
5	thewindmillman	868
6	stavgod	846
7	noam464	493
8	PortlyPete69	379
9	eitanzaki	376
10	SellyZ	364
11	MilleGrug	277
12	r123moore	256
13	EcksDofficial	186
14	Rasmanden	180
15	Sral7	175
16	Jackattack53	167
17	mshs94	147
18	audiocracked	145
19	sammidk	115
20	ssleepless	96
21	Freak_Genius	86
22	m_be9	79
23	chipklip	66
24	TheDankPlatypus	65
25	sigmabich	51
26	SammiWolfGirl	33
27	joethahobo	32
28	ToastedGamingYT	27
29	T045RTY	26
30	Hyp3rion_	25
31	claivin	24
32	S4tox	23
33	TheSecondLord	22
33	Ezekson	22
35	PhantomsGhost_	21
36	beeperbeeper5	19
37	Blackberry1310	18
37	Legendosh	18
39	Blu3beast	13
40	EMC_	12
41	Prodiginus	11
41	thescout7	11
41	Ripleey	11
44	NomadicRobin_	10
45	TechnoNinja64	9
45	Smoke____	9
47	burbankbuilder28	8
48	Enderslayerxz3	7
49	TheTrueClipse	6
49	fw3xywashere	6
49	jacobsoy	6
49	YungMaki	6
53	Wowful	5
53	NameGenerat0r	5
55	Candad_	4
55	Blaiku	4
55	Spacewardharpy7	4
55	Eraxa	4
55	tsitrawhy	4
60	Mahoose	3
60	rarrq	3
60	jushykins	3
60	Motsaro	3
60	ROY4LE	3
60	Inbefour	3
60	Xclax101	3
60	Airem_Core	3
60	lordpipe	3
60	vandmanden	3
70	spacybadger1	2
70	KarlKaek	2
70	Euclidoris	2
70	500am	2
70	fr_ser	2
70	TTNG	2
70	wezzzi	2
70	DarlaMeow	2
70	fluddd	2
70	SadRedstone	2
70	Shin69	2
70	lcvezra	2
70	GlitchyPlate810	2
70	VentiHilton	2
84	Bandito_Roamer	1
84	JohnnyFyes	1
84	Incinere	1
84	Stynxy	1
84	12Magner05	1
84	Fullut	1
84	AJbeast01	1
84	xxPipperDipperxx	1
84	gabriels543	1
84	Werbe	1
84	RobotMinion101	1
84	thgrocks	1
84	Wonie_	1
84	JollyDroopy52	1
84	Deodorante	1
84	Fuhrer_Teemo	1
84	Quaintster	1
84	MightyWertu	1
84	SingedBread	1
84	Hisiste	1
84	Dusk_95	1
84	Hermanni__	1
84	Powowowow	1
84	Zoeyfortnite	1
