rank	username	minecraft:used/minecraft:gray_wool
1	joethahobo	34789
2	Spacewardharpy7	29438
3	oxfordschool	12209
4	EcksD	9432
5	YungMaki	9271
6	DarlaMeow	9169
7	fffMike	2907
8	xxPipperDipperxx	2819
9	noam464	2432
10	TheSecondLord	1421
11	eitanzaki	1002
12	Skylord_Luke	938
13	MattieHD	912
14	Sral7	738
15	thewindmillman	563
16	Mahoose	529
17	Werbe	521
18	Rumpletaezer	478
19	XxCookiequeenxX	445
20	LexMakesHistory	429
21	teslawolf38	406
22	The11thDoctor	397
23	TheBiggestFeller	387
24	EcksDofficial	384
25	Shogunite	364
26	Di_infiri	358
27	Freak_Genius	300
28	beeperbeeper5	298
29	kekhon	297
30	Zaridey	279
31	HellsSponge	221
32	bloodbiter	180
33	SuperPooch06	150
34	Nicserso	147
35	titanlax	124
36	ewpunk	121
37	Frozil12	112
38	Smoke____	97
39	cog	85
40	theonlymagikarp	84
41	El_Jalapeno	80
42	fkGrim	73
43	MAns_44	68
43	Quotary	68
45	DolphinLaugh	65
46	pr33tu	63
46	Hyp3rion_	63
48	PlasticOtari	61
49	RebelAndroid	52
49	M_Patata	52
49	MasterNueve	52
52	NomadicRobin_	51
53	Sky_light_KING	47
54	EveryonesUncle	46
55	pintsizedrogue	40
56	h2p_emrld	34
57	rarrq	31
57	Blackberry1310	31
59	himak1	28
60	MilleGrug	25
61	ImpavidArcher	22
62	bigstankyy	17
62	ApophisNova	17
62	RodSerlingCringe	17
62	MyNamaSheff	17
66	Merv__	16
66	Ezekson	16
68	Soplight	15
68	Enderslayerxz3	15
70	Incinere	12
70	_Karmaa	12
70	claivin	12
73	Comma__	11
74	Akoot_	10
74	lcvezra	10
76	Eraxa	9
77	Arceus1975	8
77	Shin69	8
79	NameGenerat0r	7
80	starbits140	6
81	Chromary	5
82	ShedJr_	4
82	Historical_Sand	4
82	Blaiku	4
82	Kowcio_	4
86	squigglybones	3
86	heckface	3
86	dopplexd	3
86	Cryptacity	3
86	orxngejuice	3
86	ROY4LE	3
86	mariominejedi	3
86	burbankbuilder28	3
86	Nycteus_	3
86	ThatMan_Dave	3
86	Groundler	3
86	lordpipe	3
86	csendeslol	3
86	SammiWolfGirl	3
86	Poppy235	3
86	Steelynan	3
86	TechnoNinja64	3
103	Groovy_MoonBird	2
103	daisnny	2
103	Fullut	2
103	Kouridragon	2
103	Ender_Souls	2
103	Toasty_Tom	2
103	MustaLoordi	2
103	Steven1282598	2
103	MakeHistory157	2
103	Decaying_Lotus	2
103	Segotep999	2
103	brofrickcheaters	2
103	Dogcorn69420	2
103	blimpeey	2
103	MeetTheWollo	2
118	duelcard	1
118	Yatitay	1
118	TooManyDuck	1
118	Hpdinosaur	1
118	Seyaboy	1
118	Swexti	1
118	500am	1
118	intropass	1
118	r123moore	1
118	trixterrx	1
118	An_Turtle	1
118	ItsAki_	1
118	TTNG	1
118	magmaniacmc	1
118	ADEXTV	1
118	TheTrueClipse	1
118	AlphaWolfPlaysMC	1
118	Deathkob	1
118	FlashMigma	1
118	Th6masss	1
118	teakings	1
118	Y3ntai	1
118	plato2066	1
118	ReyTheLegend	1
118	Njensen7	1
118	TheOuterCore	1
118	Skippeh	1
118	Oxygen16	1
118	kinas45y5	1
