rank	username	minecraft:used/minecraft:amethyst_cluster
1	thewindmillman	1897
2	TheSecondLord	1513
3	Hyp3rion_	1059
4	Jackattack53	773
5	PlasticOtari	677
6	Mahoose	432
7	pintsizedrogue	380
8	RebelAndroid	324
9	lordpipe	238
10	ImpavidArcher	237
11	Kakolbus	214
12	Enderxz3	96
13	Smoke____	91
14	GlitchyPlate810	87
15	500am	80
16	YungMaki	72
17	Lez_	70
18	MilleGrug	67
19	Rebytre	63
20	mihimihimihi	54
21	KeruNatsema	53
22	NieToksikpl	49
23	Kowcio_	45
24	jessewegottacook	39
25	12Magner05	38
25	Marbz_	38
27	SingedBread	32
28	RoofTyler	28
28	SpacesickPrism	28
30	0Vyp_	25
30	Spacewardharpy7	25
32	Frozil20	21
33	_stets	20
34	luseis	19
34	CattSoup	19
36	diamondgolem35	18
37	joethahobo	16
38	TheDankPlatypus	15
39	TheWildMateo	12
39	SammiWolfGirl	12
41	KarlKaek	11
41	Jimb0nat0r	11
43	Deathkob	9
44	eitanzaki	8
44	FishisTTV	8
46	RatatJuice	7
46	Flores991	7
46	SuperPooch06	7
46	ItsDeltaMC	7
50	ITDV	6
50	xxPipperDipperxx	6
52	Smashic	5
52	Jimi7hits	5
54	Crowman1	4
55	2Stout	3
55	Fuad_R	3
57	ShedJr_	2
57	noam464	2
57	BercikV	2
57	ApophisNova	2
57	PigDab	2
57	lizardfightclub	2
57	Akoot_	2
57	masskedman	2
57	lillips	2
57	pixelviolin	2
57	EcksD	2
57	MyNamaSheff	2
69	EMC_	1
69	Huwulling	1
69	lorpus	1
69	Inchef	1
69	hanaryheatwave	1
69	Snowflowe	1
69	_Boipl_	1
69	dartwaffle	1
69	ZA07	1
69	FreakGenius	1
69	CheifJumbo	1
69	non089	1
69	CalebDHawk	1
69	Weepingbiel	1
