rank	username	minecraft:used/minecraft:birch_sign
1	Ezekson	2104
2	beeperbeeper5	1704
3	Di_infiri	1585
4	Lez_	1172
5	TheShyPig	1167
6	EcksD	1009
7	lordpipe	894
8	AdmiralSmoke	861
9	joethahobo	778
10	Jordan_R	623
11	Legendosh	584
12	Ryan_GEMS	567
13	teslawolf38	495
14	Werbe	493
15	kekhon	383
16	Soplight	375
17	YungMaki	342
18	Merv__	339
19	Jackattack53	336
20	noam464	316
21	Njensen7	315
22	Snowflowe	299
23	_Dean_123	282
24	Eczbek	266
25	SammiWolfGirl	257
26	Mr_Byzantine	256
26	FreakGenius	256
28	ShedJr_	220
29	pintsizedrogue	217
30	Inbefour	215
31	xzvu	205
32	xolstoi	202
33	thewindmillman	201
34	eitanzaki	194
35	jacxhadow	192
36	jnp_gaming	191
37	ConnorDanky_	188
38	cichy096	183
39	Mahoose	181
40	mihimihimihi	179
41	Mattesco	176
41	cedric72	176
43	Fuad_R	169
44	Spacewardharpy7	167
45	Manaateee	165
46	Kakolbus	164
47	PhantomsGhost_	161
48	IAmTheWalrus910	156
49	Akoot_	146
50	Lord_Jord	144
51	Enderxz3	141
52	thescout7	140
53	Blaiku	138
54	himak1	137
55	bigstankyy	135
55	Blackberry1310	135
57	PigDab	131
57	PlasticOtari	131
59	vandmanden	130
60	PortlyPete69	126
61	eviltunix	125
62	Fullut	121
62	Tyrannosplart	121
62	UCP_TheKingK	121
65	TechnoNinja64	120
66	TheSecondLord	119
67	MineMaster0012	118
68	olliebollie48	117
69	Blu3beast	116
70	G1ldor	112
71	Eczbox	111
72	OG_Songsee	103
73	fffMike	99
74	Groundler	97
75	sp00ky_ghost977	93
76	Skylord_Luke	90
77	Powowowow	89
78	SteveCraftBlocks	87
78	Vorlice	87
80	Jovaphobic	82
81	CollinMH06	78
82	Heisenbberrg	76
83	ImpavidArcher	75
84	xxPipperDipperxx	73
85	KeruNatsema	72
85	HellsSponge	72
87	wwwwinnebagoooo	71
87	Vellu21	71
89	fluddd	69
90	lizardfightclub	68
90	djancak	68
92	NotMeanttoChange	67
92	Onennon	67
94	Zythose	66
95	masskedman	65
96	CoffeeNoir	64
96	Jimb0nat0r	64
98	500am	63
98	Rumpletaezer	63
100	12Magner05	60
100	luseis	60
102	Iagoku	58
102	RebelAndroid	58
104	Arceus1975	57
105	Awyrlas	55
105	h2p_emrld	55
107	_Bguette_	54
108	skrongus	53
109	Paint	51
109	EtherealEspresso	51
109	SpacesickPrism	51
112	BlancoFlaco	50
112	Wooptey	50
112	NomadicRobin_	50
115	Winston_Ingram	49
116	ROY4LE	48
117	AlexxO_o	47
118	ECstardust	46
118	TheDankPlatypus	46
118	MAns_44	46
121	Nicserso	44
122	Optiprimus	43
123	jessewegottacook	40
123	Hiryu27	40
123	Maenara	40
123	MakeHistory157	40
127	ProfessorBee	39
127	BreadBacon	39
129	SuperPooch06	38
130	Cowison	37
130	livingdaydreams	37
130	audiocracked	37
130	SingedBread	37
130	Kubeusz2010	37
130	EngagedGrub41	37
136	Alteriity	36
137	Hyp3rion_	35
137	Eraxa	35
139	mwrty	34
139	Giannism	34
139	Nicky19	34
142	6king6colt6	33
142	KartivGal	33
142	non089	33
145	07shiny	32
146	KarlKaek	31
146	catandmoose	31
146	Luminad3	31
146	Kowcio_	31
146	Spenduh	31
146	SirBreadward	31
152	ccormacs	30
152	bloodbiter	30
152	MattieHD	30
152	Windo_licker	30
152	Steelynan	30
157	r123moore	29
158	TheMaster972	28
158	oreee	28
158	Sral7	28
161	heckface	27
161	CalebDHawk	27
163	CLG_Kata	26
163	The_Cruncy	26
165	Huwulling	25
165	Crowman1	25
165	surfinggiraffejp	25
165	Malware_Mara	25
165	IamCL4SSY	25
165	SexcMf	25
171	rarrq	24
171	Touched_Bread	24
171	oscminus	24
171	claivin	24
171	BartekB19	24
171	LetsDoItLive	24
171	TheEnderMan548	24
171	Fizznut909	24
171	KingMatthew506	24
180	burbankbuilder28	23
181	Rasmanden	22
181	TheTrueClipse	22
181	Shogunite	22
181	Ripzch	22
181	Sheldor097	22
186	Frozil20	21
186	excelsionprime	21
186	ediballbearings	21
186	CattSoup	21
190	MuffinManzz	20
190	Smashic	20
190	LeonelSalamanca	20
190	DarlaMeow	20
190	Kura2218	20
195	_Huge_Male_	19
195	tuckerdoodle	19
195	Rich_Kat	19
195	F_Uhre	19
195	pixelviolin	19
195	BlankityMcBlank	19
195	LeeMcGee30	19
202	Ryker	18
202	Reamdin	18
202	TheDiamondCG	18
202	Stiar	18
202	Ecplosive	18
202	Jonafrog99	18
202	SirPiccardo	18
202	dendydoom	18
202	Elastiq	18
202	JollyDroopy52	18
202	33sudo	18
213	xKhoshekh	17
213	ougstur	17
213	Y_A_N_N_I	17
213	__tomato	17
217	I_Am_Mushkin	16
217	MinttyFressh	16
217	Megarboh	16
217	SoftSix	16
217	lillips	16
217	TheTommyGun63	16
217	jcool7	16
217	calamariclam_I	16
225	tsohomie	15
225	m_be9	15
225	SPUDonSTEROIDS	15
225	Wowful	15
225	Steve897	15
225	_Mythic____	15
225	brofrickcheaters	15
232	Groovy_MoonBird	14
232	SyntheticSurgeon	14
232	intropass	14
232	Kryktal	14
232	LexMakesHistory	14
232	NameGenerat0r	14
232	stavgod	14
232	FadedSpade82	14
240	SugarMyNuggets	13
240	q_wq	13
240	4774	13
240	emrekn	13
240	M_Patata	13
240	Winklepicker279	13
240	Kouridragon	13
240	SIRdrumroll	13
240	ChrisKyleST3	13
240	Matorz	13
240	SvenskaHugo	13
251	PizzaJake	12
251	Ze1ig	12
251	hm947	12
251	T045RTY	12
251	XboxPanda	12
251	Azmodan_246	12
251	Felenov	12
251	xDraggin	12
251	The_Quack_Dealer	12
251	ReflexCode	12
261	parodypatient	11
261	Dakar_	11
261	Leithz6	11
261	MasterNueve	11
261	HesDemonPants	11
261	Zoeyfortnite	11
267	jspwn	10
267	diamondgolem35	10
267	RatatJuice	10
267	Incinere	10
267	gaziter10	10
267	Dragonfest	10
267	2Stout	10
267	ori0le	10
267	DukBob	10
267	Cocoamallows	10
267	ayamefag	10
267	Ir0npack	10
267	Deliriohm	10
280	Zee_zey	9
280	PazinGaming	9
280	lorpus	9
280	Covalents	9
280	Btabtab	9
280	LemonScentedAss	9
280	Drewen24	9
280	GooseWithin	9
280	Lord_Zacler	9
280	ese_wn_po	9
280	Deathkob	9
280	Warlord324	9
280	MissCeleste7	9
293	soundad	8
293	SaucyDark	8
293	HollieDaNugget	8
293	Ssor69	8
293	Cryptacity	8
293	CaptainBadKid	8
293	legal_tax_evader	8
293	jillian12345	8
