rank	username	minecraft:used/minecraft:stone
1	gcaisawesome	253776
2	Zythose	220831
3	YungMaki	212092
4	joethahobo	190446
5	Spacewardharpy7	143768
6	TheShyPig	91022
7	EveryonesUncle	87770
8	Ezekson	80854
9	Shogunite	80354
10	RebelAndroid	65297
11	Hermanni__	64614
12	TheSecondLord	59964
13	Enderslayerxz3	59766
14	noam464	55808
15	Smoke____	54081
16	Di_infiri	49482
17	Hisiste	49022
18	Historical_Sand	47275
19	HellsSponge	44002
20	500am	42154
21	pintsizedrogue	41277
22	Freak_Genius	41187
23	lordpipe	40269
24	Cowison	40065
25	EMC_	39565
26	jnp_gaming	35561
27	Rumpletaezer	33588
28	M_Patata	32557
29	MasterNueve	31559
30	Mahoose	30609
31	CoffeeNoir	28996
32	EcksD	28716
33	TechnoNinja64	26243
34	Lord_Jord	25785
35	Werbe	25691
36	beeperbeeper5	23922
37	Menthas	23779
38	Arceus1975	23080
39	Inchef	21775
40	Swexti	21404
41	Cocoamallows	20138
42	eitanzaki	20076
43	Jackattack53	19772
44	Onennon	19158
45	Franco093	18742
46	Snowflowe	18735
47	_Karmaa	18718
48	MilleGrug	18317
49	cedric72	16434
50	ImpavidArcher	15447
51	Skippeh	15116
52	Skylord_Luke	15048
53	SlayerCrypto	14921
54	benediktine1	14748
55	thescout7	14363
56	ATrojansLegend	14252
57	Maenara	14139
58	PhantomsGhost_	14134
59	thewindmillman	14057
60	NameGenerat0r	13890
61	Blaiku	13334
62	PigDab	12874
63	burbankbuilder28	12820
64	oxfordschool	12352
65	Merv__	12249
66	ApophisNova	12242
66	MyNamaSheff	12242
68	Steelynan	12080
69	Soplight	12034
70	kekhon	11886
71	m_be9	11695
72	RoskobiOne	11615
73	Hyp3rion_	11497
74	Sheldor097	11415
75	Deathkob	11215
76	MightyWertu	11168
77	Racengan	11098
78	Sral7	10776
79	Winklepicker279	10774
80	Kakolbus	10663
81	Nycteus_	10619
82	Blu3beast	10605
83	obzii	10197
84	12Magner05	10056
85	Mattesco	9780
86	Jovaphobic	9625
87	claivin	9431
88	Mewar	8980
89	MakeHistory157	8893
90	Myszoaz	8818
91	Inbefour	8664
92	EcksDofficial	8512
93	Flores991	8501
94	Blackberry1310	8477
95	ExtraDumb	8416
96	bloodbiter	8328
97	_Virify_	8324
98	awesomeoneme	8303
99	rarrq	8278
100	PortlyPete69	8038
101	T045RTY	7977
102	heckface	7956
103	MattieHD	7925
104	Powowowow	7822
105	Frozil12	7616
106	SpaceGrenadier	7282
107	Groundler	7123
108	vandmanden	7083
109	CalebDHawk	7075
110	BobDeBouwer1337	6958
111	MangoTheFish	6912
112	Kubelz	6876
113	ShedJr_	6775
114	NoChumpChange	6548
115	Fullut	6456
116	Kouridragon	6426
117	_stets	6420
118	Bumpy419	6418
119	BumbleBeever	6319
119	Kowcio_	6319
121	Akoot_	6182
122	Legendosh	6040
123	SingedBread	5886
124	fkGrim	5863
125	Lutres_Torane	5842
126	SuperPooch06	5741
127	MyNameIsJobo	5732
128	gabriels543	5678
129	little_dUki	5645
130	2blox	5574
131	Jimi7hits	5492
132	6king6colt6	5413
133	King_Pancake1	5386
133	audiocracked	5386
135	Eraxa	5364
136	Zaridey	5362
137	KingMatthew506	5354
138	set67	5265
139	SammiWolfGirl	5201
140	ogoa	5186
141	Jiminie	5078
142	ssleepless	5065
143	H72l9w	5022
144	_Dean_123	4945
145	selectrix	4931
146	jcool7	4866
147	ProfessorBee	4761
148	Miko_Fullbuster	4708
149	WyngGoy	4537
150	Iagoku	4475
151	Factoroni	4213
152	stahouo	4209
153	Erased_Identity	4147
154	teslawolf38	3999
155	Ssor69	3983
156	SvenskaHugo	3942
157	Zoeyfortnite	3854
158	Scathra	3803
159	Vetral1	3685
160	Comma__	3684
161	tartanboy	3680
162	UrbanPlanner1978	3657
163	hcb238	3630
163	Kubeusz2010	3630
165	Rocco_Lane	3626
166	El_Jalapeno	3569
167	Segotep999	3517
168	censorsheep	3511
169	MinttyFressh	3462
170	Chromary	3414
171	KnightmareD	3408
172	Strangemonkey71	3381
173	Quaintster	3353
174	Hiryu27	3287
175	Nagasaki_Riku	3275
176	The_slideV3	3197
177	NomadicRobin_	3179
178	Xalithia	3178
179	XboxPanda	3144
180	LexMakesHistory	3120
181	Ryker	3116
182	pixelviolin	3099
183	fluddd	3098
184	JESS_THE_RERE	3083
185	TheSeismicDuck	3077
186	Leyna3	3036
187	TheThomas69	2998
188	FishyBoy3811	2964
189	abramgray	2929
190	Fuhrer_Teemo	2902
191	Drlzyy	2872
192	Quotary	2832
193	CrateOfBoxes	2809
194	lillips	2797
195	Fildyr	2764
196	Steven1282598	2727
197	BlankityMcBlank	2715
198	WET_WET_WET	2698
199	mwrty	2680
200	Euclidoris	2660
201	Marbz_	2651
202	TAKrules	2644
203	eviltunix	2600
204	jiggywraps	2542
205	xxPipperDipperxx	2517
206	titanlax	2492
207	theonlymagikarp	2479
208	fred870d	2456
209	ColeSnyder	2445
210	Z3braYTIL	2432
211	Teebone15	2429
212	Ze1ig	2395
213	Barlycorn	2393
214	Incinere	2385
215	Bandito_Roamer	2371
216	TheOuterCore	2327
217	diamondgolem35	2325
218	AuroraValkyrie	2295
219	picardred	2265
220	peach0s	2234
221	Nicky19	2231
222	Malorn_Aetherius	2229
223	PlasticOtari	2200
224	Cyntrical	2198
225	2Stout	2192
226	_3Stump_	2157
227	IvarEXE	2146
228	MSK__	2131
229	Masssonnn	2124
230	pappaberg	2091
231	MrExplorer	2080
232	PlzNoBM	2054
233	emrekn	2048
234	Hoid_the_Roamer	2029
234	cog	2029
236	LordSpeed37	2017
237	TheTrueClipse	1971
238	__tomato	1963
239	DemTechAlpha	1959
240	G1ldor	1956
241	Sky_light_KING	1931
242	Dogcorn69420	1914
243	jewbacaman	1912
244	Wolverine4302	1901
245	TheOnlyRake	1897
246	OverallConcept	1893
247	Stiar	1881
248	DTwenty	1865
249	MustaLoordi	1808
250	kyouma777	1804
251	HolyVenom	1798
252	FelixPSY375	1789
253	thgrocks	1779
254	Eczbek	1749
255	drumine	1748
256	diggydog67	1693
257	CruncyIsTaken	1677
258	KeruNatsema	1651
259	InfernalMound	1628
260	OG_Songsee	1617
261	_NieToksikpl_	1589
262	Aezekial	1578
263	_TCARREIRA_	1576
264	sxc_	1547
265	Xclax101	1539
266	Wowful	1528
266	fffMike	1528
268	r123moore	1502
269	ClemenPine	1459
270	RobotMinion101	1453
271	Wooptey	1451
272	ROY4LE	1448
273	Covalents	1436
274	Chuglyfe	1423
275	fallingemma	1422
276	Ecplosive	1412
277	SellyZ	1407
278	SeverianTheLame	1389
279	Rasmanden	1376
280	q_wq	1359
281	TooManyDuck	1350
282	anbbang	1339
283	chipklip	1333
284	mennorovers	1327
285	Dusk_95	1326
286	SaucyDark	1318
287	Ze_BaronKrigler	1309
288	wwwwinnebagoooo	1300
289	Quincannon	1297
290	FishisTTV	1286
291	cichy096	1282
292	TheEnderman548	1281
293	Vorlice	1279
294	pr33tu	1271
294	FetteMutter	1271
296	ItsJunoIGuess	1252
297	gaziter10	1245
298	the__Reaper4999	1242
299	pumpfonzo	1236
300	Soffbord	1216
