rank	username	minecraft:used/minecraft:orange_dye
1	Mattesco	291
2	pintsizedrogue	42
3	pixelviolin	29
4	PlasticOtari	18
5	Hyp3rion_	11
6	TheSecondLord	10
7	Kakolbus	9
7	PaperCanvas	9
9	Mr_Byzantine	7
9	Jimb0nat0r	7
11	12Magner05	6
11	Olib3ar	6
11	Pumpkin_P_Patch	6
14	Skylord_Luke	5
14	EveryonesUncle	5
14	sp00ky_ghost977	5
14	Kowcio_	5
14	TheKingK_	5
19	KartivGal	4
19	Mr_Sun15	4
21	crashomon	2
21	420BreadLizard	2
21	StinkyDiplomat	2
21	Legendosh	2
25	Apollo_993	1
25	Killercatty78	1
25	Myszoaz	1
25	NieToksikpl	1
25	SuperPooch06	1
25	Arceus1975	1
25	U_Mos_	1
25	Strats__	1
