rank	username	minecraft:used/minecraft:brown_mushroom_block
1	Smoke____	561
2	Steelynan	534
3	pintsizedrogue	489
4	Werbe	440
5	Winston_Ingram	399
6	diggydog67	319
7	ApophisNova	292
7	MyNamaSheff	292
9	PlasticOtari	287
10	LexMakesHistory	276
11	Drlzyy	255
12	Mahoose	252
13	Xclax101	251
14	YungMaki	226
15	500am	172
16	beeperbeeper5	170
16	EveryonesUncle	170
18	joethahobo	164
19	Deathkob	154
20	Kowcio_	153
21	EMC_	151
22	Di_infiri	135
23	XxCookiequeenxX	125
24	Chromary	110
25	Ezekson	99
26	Blackberry1310	91
27	Hpdinosaur	83
28	eli_tschki	69
29	Soplight	67
30	Akoot_	64
31	burbankbuilder28	54
32	claivin	52
33	Onennon	47
34	kekhon	41
35	trexgb	37
36	masskedman	34
37	ShedJr_	26
38	lordpipe	22
39	lcvezra	19
40	Blaiku	16
41	Jackattack53	13
42	AuroraValkyrie	7
43	Nicserso	6
44	12Magner05	5
44	gcaisawesome	5
44	thewindmillman	5
47	ROY4LE	4
47	SingedBread	4
47	Spacewardharpy7	4
50	Comma__	3
50	Hoid_the_Roamer	3
50	__tomato	3
50	obzii	3
50	oxfordschool	3
50	Enderslayerxz3	3
56	Historical_Sand	2
56	MinttyFressh	2
56	MattieHD	2
56	Hisiste	2
60	6king6colt6	1
60	Hyp3rion_	1
60	Lutres_Torane	1
60	ItsDeltaMC	1
60	Segotep999	1
60	KingMatthew506	1
