rank	username	minecraft:used/minecraft:golden_axe
1	ayamefag	808
2	ItsMrRamen	692
3	PeteO1995	432
4	Simon_Lowell	380
5	UncreativeArtist	168
6	thebaddruid	143
7	Euclidoris	122
8	Gemstuff	102
9	Mattesco	100
10	Silvo614	91
11	richerbat	87
12	Myrlewen	76
13	Tommhh	64
13	Khelvoryk	64
15	corvidpartyfor6	56
16	AshleeCW	52
17	tsitrawhy	50
18	bladeefan2009	45
19	00000000-0000-0000-0009-01ff0c3e5e4f	42
20	Di_infiri	36
21	Krasnal1337	34
21	lillips	34
23	GingerNeutron	33
23	mariominejedi	33
23	aec9	33
23	sufjanlover	33
23	MinuteMira	33
28	Creativebuilder2	32
28	Scattman_	32
28	thewindmillman	32
28	_Boipl_	32
28	Parcc	32
28	Cattoh	32
28	Elastiq	32
28	SolicitedPuma101	32
28	KermitTheKripple	32
28	QueenShuvi	32
28	Blu3beast	32
28	Yoaty	32
28	Kowcio_	32
28	YungMaki	32
28	MineMaster0012	32
28	RadarHz	32
28	trexgb	32
28	Smoke____	32
46	jessewegottacook	31
46	ROY4LE	31
48	PhantomBionic	30
48	noam464	30
48	CarryLine	30
51	wilgot_	29
52	HoltGrim	28
53	masskedman	27
54	Lez_	22
55	H0UNDFRMH3LL	19
56	FazeObama69	17
56	will2690	17
58	HBA00_	16
58	orxngejuice	16
60	M_Patata	15
60	calamariclam_I	15
62	xolstoi	14
63	MEMES4_LIFE	12
64	gcaisawesome	11
64	zOnlyKroks	11
66	_Huge_Male_	10
67	Shogunite	8
68	Razzgriz	7
69	xyct	6
70	beeperbeeper5	5
70	CheifJumbo	5
70	Ossem	5
73	_Magdo_	4
73	Felenov	4
75	Chickenchaser2	3
75	Akoot_	3
75	DarlaMeow	3
78	NinjaKnifeKill	2
78	Soplight	2
80	CloroxBleach385	1
80	LeDuctTape	1
80	Mandroch	1
80	Dusk_95	1
80	JosephCW	1
80	EtherealEspresso	1
80	Jimb0nat0r	1
