rank	username	minecraft:used/minecraft:magenta_stained_glass
1	beeperbeeper5	4735
2	Swexti	3087
3	lordpipe	2002
4	Winklepicker279	1617
5	YungMaki	783
6	nataliecool	744
7	TheEnderman548	608
8	ROY4LE	507
9	madderfall	448
10	Smoke____	447
11	NotMeanttoChange	282
12	Di_infiri	278
13	jnp_gaming	211
14	eiC_	209
15	AltnumberF4	201
16	Inchef	160
17	Steelynan	151
18	TheSecondLord	146
19	6king6colt6	126
20	Spacewardharpy7	103
21	Blu3beast	86
22	thewindmillman	73
23	XxCookiequeenxX	64
24	Mahoose	61
25	Groundler	59
26	DC_XII	48
27	Fullut	39
28	egglapras	30
29	noam464	29
30	mwrty	25
31	Ezekson	22
32	MakeHistory157	19
33	Werbe	17
34	CoffeeNoir	16
34	MinttyFressh	16
34	GlitchyPlate810	16
37	Maenara	15
38	LexMakesHistory	14
39	eitanzaki	9
39	Onennon	9
39	masskedman	9
39	Kowcio_	9
43	EMC_	8
43	joethahobo	8
43	fred870d	8
43	Racengan	8
47	xxPipperDipperxx	7
47	PigDab	7
47	NameGenerat0r	7
50	Ender_Souls	6
50	Inbefour	6
50	NotMeowMix	6
50	Fizznut909	6
50	Quotary	6
55	Wooptey	5
55	XboxPanda	5
55	stahouo	5
55	lcvezra	5
59	Frozil12	4
59	Blaiku	4
59	UrbanPlanner1978	4
59	trexgb	4
63	ColeSnyder	3
63	ssleepless	3
63	awesomeoneme	3
63	Awyrlas	3
63	Zaridey	3
63	RodSerlingCringe	3
63	Freak_Genius	3
63	Hisiste	3
63	PortlyPete69	3
63	TechnoNinja64	3
63	Sral7	3
74	Incinere	2
74	BodaciousCake	2
74	Historical_Sand	2
74	bloodbiter	2
74	500am	2
74	Covalents	2
74	Jackattack53	2
74	Hyp3rion_	2
74	lillips	2
74	SingedBread	2
84	pintsizedrogue	1
84	PhantomsGhost_	1
84	SpaceGrenadier	1
84	r123moore	1
84	SuperPooch06	1
84	_naturell	1
84	Gab4101	1
84	HellsSponge	1
84	claivin	1
84	fluddd	1
84	Aezekial	1
84	Segotep999	1
84	laron58	1
84	Enderslayerxz3	1
84	kinas45y5	1
