rank	username	minecraft:used/minecraft:orange_stained_glass_pane
1	beeperbeeper5	4119
2	SkateboardR6	1145
3	pintsizedrogue	520
4	r123moore	483
5	TheShyPig	262
6	Winklepicker279	184
7	Smoke____	168
8	BobDeBouwer1337	128
9	m_be9	110
10	Chromary	92
11	jacxhadow	76
12	Steelynan	48
13	Freak_Genius	43
14	tobinwilliams	39
15	Onennon	33
16	TheSecondLord	32
17	lordpipe	31
18	El_Jalapeno	28
19	Blackberry1310	17
19	Spacewardharpy7	17
21	The_SlideV5	16
22	OnlyOfficial	15
23	_Virify_	12
23	oreee	12
23	LexMakesHistory	12
26	Wowful	11
27	Blaiku	10
27	jnp_gaming	10
29	Rumpletaezer	9
30	EMC_	8
30	Soplight	8
30	Nicserso	8
33	Arteriana	7
33	alderban107	7
35	Merv__	6
35	PlasticPrinter	6
35	UncreativeArtist	6
35	Hoid_the_Roamer	6
35	ItsAki_	6
35	NomadicRobin_	6
35	MangoSalad316	6
35	Frozil12	6
35	PlasticOtari	6
44	noam464	5
44	YahooScreen9000	5
46	Hpdinosaur	4
46	eitanzaki	4
46	ToastedGamingYT	4
46	lillips	4
46	Lord_Doob	4
51	gabriels543	3
51	DAD_1996	3
51	EcksD	3
51	HesDemonPants	3
55	ShedJr_	2
55	SuperPooch06	2
55	Rebytre	2
55	NameGenerat0r	2
55	Eraxa	2
55	Spenduh	2
61	Historical_Sand	1
61	Comma__	1
61	Fullut	1
61	pappaberg	1
61	2blox	1
