rank	username	minecraft:used/minecraft:gray_banner
1	Eraxa	130
2	noam464	86
3	PlasticOtari	64
4	beeperbeeper5	44
5	Incinere	35
6	Shogunite	34
7	Mahoose	19
8	Awyrlas	16
9	DAD_1996	13
10	TheShyPig	11
11	Merv__	10
12	Onennon	9
13	Lez_	8
13	ConnorDanky_	8
15	kekhon	6
15	olliebollie48	6
15	Kowcio_	6
15	jnp_gaming	6
19	Blackberry1310	5
20	H72l9w	4
20	titanlax	4
20	Chromary	4
20	Steelynan	4
20	Nicserso	4
25	rarrq	3
25	_Dean_123	3
25	Snowflowe	3
25	SammiWolfGirl	3
29	teslawolf38	2
29	emrekn	2
29	Ender_Souls	2
29	Toasty_Tom	2
29	binman420	2
29	MinuteMira	2
35	eitanzaki	1
35	ShedJr_	1
35	Cryptacity	1
35	MattieHD	1
35	ApophisNova	1
35	Akoot_	1
35	ogoa	1
35	luseis	1
35	HellsSponge	1
35	MAns_44	1
35	Blaiku	1
35	Spacewardharpy7	1
35	pixelviolin	1
35	UCP_TheKingK	1
35	starbits140	1
35	MyNamaSheff	1
35	Smoke____	1
