rank	username	minecraft:used/minecraft:smithing_table
1	Mattesco	630
2	pixelviolin	243
3	PlasticOtari	184
4	NameGenerat0r	141
5	beeperbeeper5	133
6	Racengan	99
7	Kowcio_	93
8	TheShyPig	76
9	pintsizedrogue	59
10	luseis	57
11	m_be9	54
11	FishyBoy3811	54
13	emrekn	52
14	HellsSponge	42
15	EveryonesUncle	38
16	diamondgolem35	37
16	noam464	37
18	kekhon	36
19	Blaiku	35
20	TheSecondLord	34
20	Hyp3rion_	34
22	Historical_Sand	31
23	Solar_Power	30
24	FreakGenius	27
25	ECstardust	26
25	12Magner05	26
27	Yamdalorian	24
28	HesDemonPants	21
29	joethahobo	19
29	Smashic	19
29	SpacesickPrism	19
32	akap47	18
33	eitanzaki	17
33	Mahoose	17
33	Hisiste	17
36	royal_2	16
36	diggydog67	16
38	thescout7	15
38	ROY4LE	15
38	XboxPanda	15
41	CLG_Kata	14
41	MattieHD	14
41	Di_infiri	14
41	Werbe	14
41	PigDab	14
46	ActualPatbaf	13
46	500am	13
46	ARandomHedge	13
46	Bucscw24	13
46	Jackattack53	13
46	U_Mos_	13
52	Bandito_Roamer	12
52	gren_ben	12
52	lorywithay	12
52	legal_tax_evader	12
52	Shogunite	12
52	Buuck_	12
58	SmashingPump	11
58	Blackberry1310	11
58	gcaisawesome	11
58	Manaateee	11
58	jnp_gaming	11
63	Ozixar	10
63	mwrty	10
63	SHAOBADMAN	10
63	Fast_Turtle	10
63	RebytreGT	10
63	El_Jalapeno	10
63	Luigipunch989	10
70	H0UNDFRMH3LL	9
70	myaccountwasgone	9
70	Ryan_GEMS	9
70	SaucyDark	9
70	Ryker	9
70	F_Uhre	9
70	YungMaki	9
70	TheSandwhich_	9
78	Mr_Byzantine	8
78	jacxhadow	8
78	ClemenPine	8
78	JESS_THE_RERE	8
78	obzii	8
78	Steelynan	8
78	Quotary	8
85	PazinGaming	7
85	EMC_	7
85	Frozil20	7
85	hm947	7
85	Ssor69	7
85	set67	7
85	Eraza	7
85	thewindmillman	7
85	Snowflowe	7
85	07shiny	7
85	Soplight	7
85	Skippeh	7
97	Jovaphobic	6
97	teslawolf38	6
97	Iagoku	6
97	RatatJuice	6
97	RebelAndroid	6
97	Lez_	6
97	MSK__	6
97	Dblikstad	6
97	Inchef	6
97	Kubelz	6
97	Kakolbus	6
97	Krowuss	6
97	Maenara	6
97	Hahaa_0	6
97	ProfessorDiaper	6
97	StarCookiees_	6
97	starbits140	6
97	stellarjay	6
97	Kubeusz2010	6
97	Enderxz3	6
117	k_ce	5
117	Merv__	5
117	lcn	5
117	abdomera	5
117	Huwulling	5
117	UncreativeArtist	5
117	Xalithia	5
117	TheDankPlatypus	5
117	Winklepicker279	5
117	mariominejedi	5
117	SuperPooch06	5
117	Zythose	5
117	pappaberg	5
117	Skylord_Luke	5
117	ApophisNova	5
117	Wowful	5
117	Vol_Rod33	5
117	_Karmaa	5
117	Avocadogerms	5
117	Quaintster	5
117	Gus2005	5
117	lava124	5
117	IAmTheWalrus910	5
117	NATE_the_HALO	5
117	UltraZombie	5
117	Eczbek	5
117	xorompole	5
117	Ezekson	5
117	MyNamaSheff	5
117	Sral7	5
117	skitzxo	5
148	_Virify_	4
148	SpartanNamor	4
148	Apollo_993	4
148	soundad	4
148	Alteriity	4
148	Lazy_geniusig	4
148	MoistMicrowave	4
148	Alphanzt99	4
148	Euclidoris	4
148	NieToksikpl	4
148	Saucepeh	4
148	ProfessorBee	4
148	Megarboh	4
148	Marbz_	4
148	Rumpletaezer	4
148	hanaryheatwave	4
148	OreTheBear	4
148	CarryLine	4
148	Lord_Jord	4
148	fw3xy74	4
148	dankxing	4
148	Lutres_	4
148	AstreaTSS	4
148	MAns_44	4
148	Cyntrical	4
148	LordAurum	4
148	Vicemaniac	4
148	Airem_Core	4
148	Synthoum	4
148	MakeHistory157	4
148	Ze_BaronKrigler	4
148	_Mythic____	4
148	Segotep999	4
148	brofrickcheaters	4
148	Nekomin0	4
148	Sheldor097	4
148	TheALV	4
148	EngagedGrub41	4
148	RadarHz	4
148	CattSoup	4
148	TheWickedBird	4
189	chipklip	3
189	TooPure2	3
189	BadenStayFly	3
189	Creativebuilder2	3
189	Flores991	3
189	Zippyzam	3
189	Wooptey	3
189	T045RTY	3
189	NinjaKnifeKill	3
189	rarrq	3
189	Sleepy_Evelyn	3
189	Comma__	3
189	BobDeBouwer1337	3
189	corvidpartyfor6	3
189	Sloths_Ender	3
189	crying_wolf_13	3
189	Kkanot	3
189	Kamflame	3
189	theonlymagikarp	3
189	gamerlord1324	3
189	Mobstr	3
189	CaptainSteve345	3
189	whoaluv	3
189	Chromary	3
189	Arceus1975	3
189	King_Pancake1	3
189	guiltybastard	3
189	Hoid_the_Roamer	3
189	SpaggeDR	3
189	jewbacaman	3
189	Mr_Froxy	3
189	PaperCanvas	3
189	Kim_Jong_eel	3
189	Dan_Scha	3
189	Akoot_	3
189	wezzzi	3
189	AuroraSkies	3
189	MinuteMira	3
189	emreknugrlu	3
189	Dakar_	3
189	mihimihimihi	3
189	Druid95	3
189	Pumpkin_P_Patch	3
189	TheKingK_	3
189	Heisenbberrg	3
189	fffMike	3
189	hermmm_	3
189	2blox_	3
237	j5ylim	2
237	Groovy_MoonBird	2
237	_Huge_Male_	2
237	ganyuganyu	2
237	RoskobiOne	2
237	Cowison	2
237	Napoleonpancake	2
237	Niklas20114552	2
237	shineh10	2
237	q_wq	2
237	Yatitay	2
237	Houstonion	2
237	Tolhart	2
237	tuckerdoodle	2
237	Morgf	2
237	Da_Boss_Rani	2
237	FirsTimeGamingTV	2
237	Tersea_	2
237	cheerytomato	2
237	jushykins	2
237	Crizma_	2
237	bloodbiter	2
237	Fullut	2
237	philandr	2
237	excelsionprime	2
237	lpinfinity	2
237	Nach0Bear	2
237	Awyrlas	2
237	_Magdo_	2
237	PegLegPete93	2
237	__TheNorseMan__	2
237	Touched_Bread	2
237	benediktine1	2
237	M_Patata	2
237	Gzrdy	2
237	JitteryJared2	2
237	Rocco_Lane	2
237	Truckoss	2
237	KartivGal	2
237	MinerDec	2
237	Moofyman	2
237	skelctal	2
237	Jonte0599	2
237	Samificator	2
237	zToasty69z	2
237	HolyVenom	2
237	Hail_the_wombat	2
237	NomadicRobin_	2
237	NoChumpChange	2
237	Thomez_	2
237	Deodorante	2
237	ebanana	2
237	The_slideV3	2
237	ewpunk	2
237	Blu3beast	2
237	blackeemperor	2
237	fluddd	2
237	the__Reaper4999	2
237	MS_Pryxx	2
237	wwwwinnebagoooo	2
237	SkateboardR6	2
237	Spacewardharpy7	2
237	lordpipe	2
237	MasterNueve	2
