rank	username	minecraft:used/minecraft:iron_boots
1	Kowcio_	12
2	TheSecondLord	7
3	Napoleonpancake	5
3	beeperbeeper5	5
3	crashomon	5
6	Huwulling	4
6	pretty_pink_reno	4
6	Pumpkin_P_Patch	4
6	Yamdalorian	4
6	00000000-0000-0000-0009-01faf4342590	4
11	Lorcout	3
11	CLG_Kata	3
11	CaracolCxnt	3
11	12Magner05	3
11	MattieHD	3
11	Secret_Canary	3
11	thewindmillman	3
11	Mattesco	3
11	Penguinllama517	3
11	Yahir091	3
11	VittoValenttino	3
11	2blox_	3
11	Jimb0nat0r	3
24	Frigzy_	2
24	Flex_Tape_Phil	2
24	lcn	2
24	tuckerdoodle	2
24	HUNTERmaun	2
24	Kkanot	2
24	fragrantmonke444	2
24	Boipl	2
24	The_Fulgurator	2
24	RebytreGT	2
24	Samificator	2
24	imnotdowny	2
24	Akoot_	2
24	420BreadLizard	2
24	Gryglu583	2
24	luseis	2
24	Eraxa	2
24	SvenskaHugo	2
24	TheKingK_	2
24	robonya_	2
24	mobunni	2
24	AstroLightz_	2
24	Paguz01	2
24	skitzxo	2
48	SeekAndDestroy	1
48	PixelVillager	1
48	Haylies	1
48	j5ylim	1
48	mix9ine_maz	1
48	k_ce	1
48	SpartanNamor	1
48	chipklip	1
48	CloroxBleach385	1
48	BPTY4618	1
48	Saint_Neptune	1
48	AgressiveEggdog	1
48	Tommhh	1
48	Frozil20	1
48	myaccountwasgone	1
48	LordKelsier_	1
48	diamondgolem35	1
48	Qalech	1
48	DinoDoctor_	1
48	77Holly7	1
48	ImpavidArcher	1
48	__lizi	1
48	McCakeAh	1
48	MintyTuna	1
48	TAKrules	1
48	Prismyst	1
48	Lez_	1
48	CyL0_	1
48	K6V9	1
48	Megabatman	1
48	BarryDigBick	1
48	MarigoldPop	1
48	_Nova_Z	1
48	TipDuy3010	1
48	SillyDillyXoxo	1
48	frizzbees	1
48	rarrq	1
48	Zxhir	1
48	Saul_Goodman_Rup	1
48	_Destina_	1
48	_vlex	1
48	Auseawesome	1
48	MoonixMonody	1
48	LeifEricsonLegit	1
48	dawerty	1
48	_Ophiuchus_	1
48	APickledGoat	1
48	Boboczus	1
48	Raspberry_Sodas	1
48	catandmoose	1
48	corvidpartyfor6	1
48	SteveCraftBlocks	1
48	mekambe_snk	1
48	Themelys	1
48	Smashic	1
48	mrnosetackle	1
48	pluhsia	1
48	fade_emerge78823	1
48	piano10	1
48	orxngejuice	1
48	ItsRyanM8	1
48	pvpGODfrfr	1
48	Touched_Bread	1
48	gamerlord1324	1
48	noam464	1
48	SirSpace	1
48	MEMES4_LIFE	1
48	BigFatHunk	1
48	Dynamic_wolf_1	1
48	Nightfigh1	1
48	Defaitiste	1
48	thatbeanyboi	1
48	eli_tschki	1
48	GOOBERGABE04	1
48	Itz_DuongVN	1
48	REALLYHURTS	1
48	WolfRRN	1
48	hanaryheatwave	1
48	Hyp3rion_	1
48	LAVA129	1
48	GreedyFern8581	1
48	JitteryJared2	1
48	Destroyer112221	1
48	Taco_Cat898	1
48	Krowuss	1
48	Lumminosity	1
48	rosswellcrash	1
48	SvenskaSara	1
48	OreTheBear	1
48	oscminus	1
48	ramy_m	1
48	CowOfTheNile	1
48	TheWildMateo	1
48	DietSoda1	1
48	bee_gorl	1
48	floodjon	1
48	A_Potatoe	1
48	Zackran	1
48	Ghemmah	1
48	PigDab	1
48	Finside	1
48	KayaLambrechts	1
48	kimm_e621	1
48	R1CHY2K	1
48	yb0e	1
48	Tou3bann	1
48	albus0x	1
48	Dan_Scha	1
48	Elastiq	1
48	nvkomimi	1
48	Blenderyoda	1
48	Hahaa_0	1
48	bpmm	1
48	simo4000wolt	1
48	TruestTurnip	1
48	Xerxgo	1
48	Sorry_Arey	1
48	Monosakii	1
48	Vol_Rod33	1
48	Zyrixh	1
48	majlin16	1
48	Weinerlich	1
48	Blockbard_	1
48	camerade	1
48	beetlebum300	1
48	ATurtle4936	1
48	ThatMan_Dave	1
48	Swiffin	1
48	Reocee	1
48	PixelatedBoss	1
48	Buuck_	1
48	BlighterSupreme	1
48	LukeBBM12	1
48	THEKINGLyric10	1
48	BuzzyBeeBoi	1
48	RaiaMala_	1
48	Spacewardharpy7	1
48	TheEmeraldFalcon	1
48	Bonzaidalek	1
48	dagudagu4	1
48	Tibbby	1
48	Ekkie_Catdeer	1
48	TheEnderMan548	1
48	SuperSurer	1
48	FadedSpade82	1
48	Ninjamaster4427	1
48	IDealess_At_This	1
48	DracZz	1
48	Segotep999	1
48	Gustavo64	1
48	brofrickcheaters	1
48	Celeste_121	1
48	Heisenbberrg	1
48	Wenceslavs	1
48	_i_ERROR_i_	1
48	alanbleachdemon	1
48	KeterComet	1
48	skonos	1
48	Bairhug	1
48	WigglyMustard	1
48	zOnlyKroks	1
48	88Hazza88	1
48	Eczbek	1
48	athereall	1
48	Physics_Breaker	1
48	EcksD	1
48	CattSoup	1
48	DairyNickel756	1
48	pennyswan	1
48	Kowcinka	1
48	Enderxz3	1
48	Blueishberry	1
48	LiL_Dorfbewohner	1
48	CrazyPotater	1
48	WYFYoyo	1
48	FishisTTV	1
48	00000000-0000-0000-0009-01ffb083c258	1
48	00000000-0000-0000-0009-01fe065167f0	1
48	00000000-0000-0000-0009-01fd50f32581	1
48	00000000-0000-0000-0009-01f6226cf766	1
