rank	username	minecraft:used/minecraft:ancient_debris
1	Hyp3rion_	361
2	thewindmillman	251
3	eitanzaki	194
4	NomadicRobin_	160
5	Jackattack53	128
6	noam464	88
7	Segotep999	41
8	EcksD	32
9	HolyVenom	25
10	Manaateee	24
11	Inchef	21
12	_Virify_	20
12	YungMaki	20
14	gcaisawesome	19
14	Racengan	19
16	T045RTY	18
16	Druid95	18
18	oscminus	17
18	THEKINGLyric10	17
18	VentiHilton	17
21	claivin	16
21	xolstoi	16
23	Kowcio_	15
23	Legendosh	15
25	Samificator	14
25	djancak	14
27	Kakolbus	12
28	Mahoose	11
28	AdmiralSmoke	11
30	Skylord_Luke	10
30	AlexxO_o	10
32	PazinGaming	9
32	NATE_the_HALO	9
34	Apollo_993	8
34	kekhon	8
36	Ryan_GEMS	7
36	Fullut	7
36	Steve897	7
39	prizm_	6
39	shadowthemonkey	6
39	Fuad_R	6
39	Enderxz3	6
43	ShedJr_	5
43	Lez_	5
43	Smashic	5
43	LeEricc	5
43	ConnorDanky_	5
48	NatalieTW	4
48	Di_infiri	4
48	MightyWertu	4
48	_Yonk_	4
48	cichy096	4
53	NinjaKnifeKill	3
53	ITDV	3
53	joethahobo	3
53	SquadMonster	3
53	12Magner05	3
53	4774	3
53	ROY4LE	3
53	Covalents	3
53	Rebytre	3
53	Maenara	3
53	AstreaTSS	3
53	StinkyDiplomat	3
53	SkateboardR6	3
66	CLG_Kata	2
66	SyntheticSurgeon	2
66	Archsam	2
66	Touched_Bread	2
66	burbankbuilder28	2
66	Werbe	2
66	Mattesco	2
66	Moofyman	2
66	LeonelSalamanca	2
66	aruzs	2
66	Nycteus_	2
66	ItsDeltaMC	2
66	Strangemonkey71	2
66	MustardSquid	2
66	Spenduh	2
66	_i_ERROR_i_	2
66	obzii	2
66	diggydog67	2
84	pintsizedrogue	1
84	JohnnyFyes	1
84	RoskobiOne	1
84	CloroxBleach385	1
84	EMC_	1
84	gren_ben	1
84	BlancoFlaco	1
84	tuckerdoodle	1
84	Historical_Sand	1
84	IgnoredBee	1
84	FirsTimeGamingTV	1
84	Blackberry1310	1
84	Crowman1	1
84	corvidpartyfor6	1
84	Trixididntdie	1
84	xxPipperDipperxx	1
84	ReverendSmith	1
84	Winklepicker279	1
84	SuperPooch06	1
84	Chromary	1
84	Arceus1975	1
84	Zythose	1
84	GreedyFern8581	1
84	pappaberg	1
84	Krowuss	1
84	Afinnity	1
84	Truckoss	1
84	F_Uhre	1
84	PigDab	1
84	LeGold	1
84	PaperCanvas	1
84	GooseWithin	1
84	EveryonesUncle	1
84	Sorry_Arey	1
84	DarlaMeow	1
84	the__Reaper4999	1
84	TheImperial	1
84	LazySupport00	1
84	Vorlice	1
84	Spacewardharpy7	1
84	mihimihimihi	1
84	Airem_Core	1
84	monky_irl	1
84	razorarctic	1
84	sigmabich	1
84	_Mythic____	1
84	07shiny	1
84	ReyTheLegend	1
84	brofrickcheaters	1
84	Heisenbberrg	1
84	Kubeusz2010	1
84	TheBananaKat	1
84	Aryamanee	1
84	RadarHz	1
84	jnp_gaming	1
84	MirielThePastor	1
84	Jimb0nat0r	1
84	PlasticOtari	1
