rank	username	minecraft:used/minecraft:magenta_banner
1	lordpipe	61
2	Blu3beast	55
3	beeperbeeper5	47
4	YungMaki	45
5	ConnorDanky_	27
6	excelsionprime	24
7	burbankbuilder28	21
8	Ezekson	20
9	Mahoose	15
10	Mattesco	14
11	Arceus1975	12
12	mwrty	11
12	Akoot_	11
12	Racengan	11
15	500am	10
15	Fullut	10
17	6king6colt6	9
17	kekhon	9
17	pixelviolin	9
20	RebelAndroid	8
20	_Meow_Mix	8
22	Soplight	7
23	ShedJr_	6
23	joethahobo	6
23	_Dean_123	6
23	yheece	6
23	ProbsNotNova	6
28	SaucyDark	5
28	set67	5
30	pintsizedrogue	4
30	Merv__	4
30	crying_wolf_13	4
30	Mewar	4
30	legal_tax_evader	4
30	NomadicRobin_	4
30	luseis	4
30	MovingFish7	4
30	lcvezra	4
30	KingMatthew506	4
40	Blackberry1310	3
40	Onennon	3
40	MAns_44	3
40	MakeHistory157	3
40	Spenduh	3
45	Mr_Byzantine	2
45	Huwulling	2
45	noam464	2
45	ApophisNova	2
45	YungWali	2
45	Shogunite	2
45	Quaintster	2
45	xzvu	2
45	MyNamaSheff	2
45	PlasticOtari	2
55	squigglybones	1
55	AuroraValkyrie	1
55	Lez_	1
55	titanlax	1
55	NieToksikpl	1
55	TheSecondLord	1
55	arcanemagic	1
55	RocketRidge	1
55	TheShyPig	1
55	yulgur1	1
55	FreakGenius	1
55	Nycteus_	1
55	SingedBread	1
55	Spacewardharpy7	1
55	douwevh	1
55	Eraxa	1
55	sadvavilloso	1
55	LeEricc	1
55	Enderxz3	1
55	skrongus	1
