rank	username	minecraft:used/minecraft:writable_book
1	SteveCraftBlocks	6802
2	beeperbeeper5	2937
3	joethahobo	2564
4	Kowcio_	2270
5	EveryonesUncle	1978
6	SammiWolfGirl	1668
7	Lez_	1555
8	Soplight	1438
9	lordpipe	1203
10	thewindmillman	1165
11	Mahoose	1125
12	luseis	979
13	Mattesco	969
14	Eraxa	754
15	TheSecondLord	747
16	Smashic	687
17	pintsizedrogue	680
18	Merv__	665
19	Akoot_	655
20	pixelviolin	555
21	Ezekson	543
22	Enderxz3	521
23	hanaryheatwave	510
24	Yamdalorian	508
25	Fullut	486
26	pretty_pink_reno	467
27	Blackberry1310	455
28	YungMaki	445
29	skitzxo	439
30	noam464	413
31	kekhon	409
32	Spacewardharpy7	390
33	Hyp3rion_	384
34	oscminus	375
35	bl1ss0	363
36	Jackattack53	357
37	hermmm_	343
38	Huwulling	336
39	bloodbiter	315
40	crashomon	302
41	Xclax101	295
42	Manaateee	292
43	PlasticOtari	288
44	Arceus1975	278
45	SvenskaHugo	264
46	StarCookiees_	262
47	500am	259
48	robonya_	256
49	MattieHD	253
50	Legendosh	247
51	xxPipperDipperxx	233
52	_Dean_123	232
53	claivin	225
54	Lord_Jord	224
55	12Magner05	222
56	jnp_gaming	210
57	Swexti	207
58	Jimb0nat0r	205
59	Buuck_	203
60	Awyrlas	201
61	I_Am_Mushkin	195
62	Pumpkin_P_Patch	184
63	xzvu	183
64	Mr_Byzantine	182
65	Werbe	177
66	TheShyPig	176
67	TechnoNinja64	167
68	Felenov	166
69	gcaisawesome	163
70	Frozil20	162
70	ImpavidArcher	162
72	6king6colt6	160
72	rarrq	160
72	Vellu21	160
75	FreakGenius	151
76	FiguraDei	145
77	StinkyDiplomat	134
78	lorpus	131
79	TheWickedBird	127
80	Hisiste	126
81	Snowflowe	124
82	myaccountwasgone	122
83	Onennon	118
84	WET_WET_WET	115
85	Historical_Sand	114
86	NomadicRobin_	113
87	ECstardust	112
88	Blaiku	109
88	TheKingK_	109
90	fragrantmonke444	108
90	EcksD	108
92	Sleek_Storm_721	105
93	Tyrannosplart	101
94	BungalowBeet	99
95	EdGalbraith	98
96	EMC_	95
96	Skippeh	95
98	r123moore	93
99	fluddd	92
100	Krowuss	91
101	q_wq	90
101	annebolyn	90
103	Ryan_GEMS	87
104	Inchef	85
105	eitanzaki	80
105	miramyu	80
107	Boipl	77
108	Xalithia	76
108	ConnorDanky_	76
110	SmashingPump	75
111	set67	72
111	Cruncy_	72
111	Blu3beast	72
114	fr_ser	66
114	Mr_Sun15	66
114	IdeallyGrey	66
117	k_ce	64
117	Kakolbus	64
119	2Stout	62
119	AlexxO_o	62
121	PazinGaming	61
121	Quaintster	61
121	MAns_44	61
124	T045RTY	60
124	Chromary	60
124	__tomato	60
127	ApophisNova	59
127	MyNamaSheff	59
129	AspenLightVT	58
129	HellsSponge	58
129	calamariclam_I	58
132	Steelynan	57
133	skroobiez	56
133	Racengan	56
135	Maenara	54
136	SuperPooch06	53
136	WyngGoy	53
136	Cache3	53
139	EnderKill98	52
140	Alteriity	50
140	Saucepeh	50
142	bigstankyy	48
143	Touched_Bread	46
143	FishyBoy3811	46
143	KingMatthew506	46
146	ShedJr_	45
147	Hpdinosaur	44
147	mihimihimihi	44
149	MyNameIsJobo	42
150	ooga47	41
151	Di_infiri	40
151	Rasmanden	40
151	Strangemonkey71	40
154	Deathkob	39
155	MakeHistory157	38
155	_Mythic____	38
155	Sral7	38
158	Prismyst	37
158	ee_echo_oo	37
158	Rumpletaezer	37
158	3_Solar_3	37
162	Morgf	36
162	Zythose	36
164	RoskobiOne	35
164	Frxnkz	35
166	Archsam	33
166	SvenskaSara	33
166	Kynigito	33
169	Creativebuilder2	32
169	corpsecity	32
171	teslawolf38	31
171	legal_tax_evader	31
171	tobinwilliams	31
171	masskedman	31
171	jcool7	31
176	Deu_Stew	30
176	Rich_Kat	30
176	seramalen	30
176	Nicserso	30
180	m_be9	29
180	Lord_Zacler	29
180	emreknugrlu	29
180	NameGenerat0r	29
180	Eczbek	29
185	Hiryu27	28
185	Skylord_Luke	28
185	RobotMinion101	28
185	Elastiq	28
185	LexMakesHistory	28
185	fffMike	28
185	Quotary	28
192	Groovy_MoonBird	26
192	shdesolt	26
192	jacxhadow	26
192	PaperCanvas	26
192	Lutres_	26
192	DarlaMeow	26
192	lunkuku	26
199	KarlKaek	25
199	Myszoaz	25
199	_Karmaa	25
202	Spenduh	24
203	MuffinManzz	23
203	Pofen	23
203	HolyVenom	23
203	CheifJumbo	23
203	SexcMf	23
208	CLG_Kata	22
208	Incinere	22
208	royal_2	22
208	SnowyAvi	22
208	ROY4LE	22
208	elliebelle107	22
208	cichy096	22
208	AstroLightz_	22
216	SpartanNamor	21
216	brofrickcheaters	21
218	Niklas20114552	20
218	Euclidoris	20
218	Segotep999	20
221	_Huge_Male_	19
221	teqilas	19
221	Bobby808	19
221	Karetoko	19
221	yheece	19
221	burbankbuilder28	19
221	Truckoss	19
221	GooseWithin	19
221	Inbefour	19
221	XxCookiequeenxX	19
231	CoffeeNoir	18
231	mwrty	18
231	Juansinmiedo18	18
231	Kyrum2169	18
231	SpacesickPrism	18
231	Invintic	18
231	TheBananaKat	18
238	chipklip	17
238	Raltemoxitonica	17
238	PigDab	17
238	blackeemperor	17
238	PortlyPete69	17
238	Santinoaldo	17
244	Jovaphobic	16
244	prizm_	16
244	F_Uhre	16
244	epiksk8erduck	16
244	ElectricDragon81	16
244	underscore_2	16
244	Dreamdbr14	16
244	Kubeusz2010	16
252	EtherealEspresso	15
252	CalebDHawk	15
254	GoofyBread	14
254	ediballbearings	14
256	Apollo_993	13
256	BPTY4618	13
256	RebelAndroid	13
256	SyntheticSurgeon	13
256	Ssor69	13
256	Gamergirl420628	13
256	Bumpy419	13
256	parodypatient	13
256	gustarlep	13
256	Druid95	13
256	IAmTheWalrus910	13
256	sp00ky_ghost977	13
256	Kura2218	13
256	_3Stump_	13
270	Lorcout	12
270	FirsTimeGamingTV	12
270	thescout7	12
270	XboxPanda	12
270	pappaberg	12
270	Zeezap	12
270	Luminad3	12
270	thechoosenone69	12
270	UrbanPlanningEx	12
279	dabloons	11
279	Marbz_	11
279	ItsAki_	11
279	Shortest_Man	11
279	txxskx	11
279	AlphaWolfPlaysMC	11
279	BlankityMcBlank	11
279	_i_ERROR_i_	11
279	2blox_	11
288	FrostySlimez	10
288	SpaceGrenadier	10
288	Da_Boss_Rani	10
288	Tersea_	10
288	Sleepy_Evelyn	10
288	jushykins	10
288	Kamflame	10
288	Roenfire	10
288	NotKaden_	10
