rank	username	minecraft:used/minecraft:end_stone_brick_slab
1	mwrty	27672
2	Mahoose	14646
3	joethahobo	3021
4	Tyrannosplart	2622
5	12Magner05	1705
6	WET_WET_WET	1370
7	PigDab	1180
8	eitanzaki	864
9	ConnorDanky_	830
10	NomadicRobin_	632
11	thewindmillman	451
12	Blu3beast	356
13	Ezekson	347
14	MinttyFressh	324
15	Spacewardharpy7	289
16	IamCL4SSY	283
17	AdmiralSmoke	233
18	Ender_Souls	206
19	jnp_gaming	167
20	Hpdinosaur	165
21	TheShyPig	144
22	DanTheBuilderino	141
23	yulgur1	94
24	elicobnoah	91
25	fkGrim	87
26	jcool7	85
27	Merv__	81
28	beeperbeeper5	69
29	Arceus1975	68
30	Steelynan	66
31	m_be9	60
32	mihimihimihi	57
33	EveryonesUncle	56
34	noam464	49
35	YungMaki	36
36	Jackattack53	34
36	PlasticOtari	34
38	FreakGenius	31
39	33sudo	30
40	Mewar	26
41	500am	21
41	NameGenerat0r	21
43	Kowcio_	14
44	Fullut	13
45	TheSecondLord	12
46	AuroraValkyrie	8
47	NatalieTW	5
47	ITDV	5
47	F_Uhre	5
47	Segotep999	5
47	Hermanni__	5
47	00000000-0000-0000-0009-01faf4342590	5
53	NinjaKnifeKill	4
53	xxPipperDipperxx	4
53	pixelviolin	4
53	EcksD	4
57	ImpavidArcher	3
57	Historical_Sand	3
57	Di_infiri	3
57	oscminus	3
57	Blaiku	3
57	Druid95	3
57	Eraxa	3
57	Aryamanee	3
65	Sleek_Storm_721	2
65	hm947	2
65	Secret_Canary	2
65	excelsionprime	2
65	Rebytre	2
65	TJawesome09	2
65	Fuad_R	2
65	claivin	2
65	Spenduh	2
65	Kubeusz2010	2
65	MirielThePastor	2
76	hbaoo	1
76	Groovy_MoonBird	1
76	Mr_Byzantine	1
76	SmashingPump	1
76	q_wq	1
76	RebelAndroid	1
76	kekhon	1
76	TheThomas69	1
76	Hyp3rion_	1
76	Hiryu27	1
76	Mattesco	1
76	MousePlays	1
76	Akoot_	1
76	fw3xy74	1
76	LeonelSalamanca	1
76	501g	1
76	MightyWertu	1
76	WyngGoy	1
76	SvenskaHugo	1
76	IdeallyGrey	1
76	KujikawaRisechi	1
76	obzii	1
76	tartanboy	1
76	Enderxz3	1
76	Powowowow	1
76	xolstoi	1
