rank	username	minecraft:used/minecraft:dark_oak_leaves
1	XxCookiequeenxX	7462
2	Shogunite	7249
3	Di_infiri	7153
4	burbankbuilder28	2340
5	500am	1779
6	kekhon	1732
7	Merv__	1334
8	eitanzaki	1312
9	pintsizedrogue	1258
10	Skippeh	1144
11	RoofTyler	1024
12	Mahoose	1023
13	ConnorDanky_	761
14	Meatlaugh	754
15	FreakGenius	668
16	gcaisawesome	648
17	ProfessorBee	571
18	featherflyy	561
19	2bolx_	548
20	Groovy_MoonBird	516
21	Deguns123	512
22	Tyrannosplart	504
23	ROY4LE	434
24	luseis	422
25	lcvezra	419
26	Maenara	410
27	lillips	369
28	El_Jalapeno	343
29	TheDankPlatypus	337
30	seramalen	324
31	LeEricc	297
32	HellsSponge	281
33	Smoke____	271
34	beeperbeeper5	260
35	RatatJuice	248
36	wwwwinnebagoooo	237
37	xolstoi	232
38	PlasticOtari	223
39	__hinterland__	209
40	platinumzero	205
41	noam464	199
42	Blazebit	197
43	groofles	191
44	jnp_gaming	188
45	Pofen	184
45	avalan64	184
47	TheOnlyRake	175
48	pixelviolin	166
49	HesDemonPants	155
50	thescout7	152
51	Skylord_Luke	151
52	Soplight	145
53	TechnoNinja64	139
54	ThiccExotic	136
55	CoffeeNoir	133
56	ImpavidArcher	119
57	Notta	116
58	Blu3beast	111
59	godipose	106
60	Scathra	101
61	SaucyDark	97
62	TheSecondLord	88
63	Awyrlas	87
63	EcksD	87
65	teslawolf38	82
65	SquidZooka2	82
67	NNikitas	81
67	Mr_Sun15	81
69	LeGold	74
70	Kowcio_	73
71	Ozixar	66
72	NomadicRobin_	65
73	xxPipperDipperxx	64
73	420BreadLizard	64
75	Enderxz3	62
76	SuperPooch06	61
77	SammiWolfGirl	59
78	ReSynced	56
78	NameGenerat0r	56
80	H72l9w	53
81	Slinkyy7071	52
81	Ezekson	52
83	theofiel	51
84	Akoot_	47
85	Spacewardharpy7	46
86	ZoomieZoomie	43
87	Lekol	40
88	SellyZ	35
88	KeruNatsema	35
90	SmashingPump	34
90	jessewegottacook	34
92	YungMaki	33
92	Steelynan	33
94	Killercatty78	32
95	PigDab	31
95	GlitchyPlate810	31
97	annoyingenderman	29
98	Russiancat1	28
99	_Karmaa	26
99	Kura2218	26
101	MattieHD	25
101	Hoid_the_Roamer	25
103	thewindmillman	24
104	Avrelion	23
104	Kubeusz2010	23
106	MindyDooWho	21
107	cheerytomato	18
107	Mattesco	18
107	RealGroot	18
110	TinMaster	17
110	Typadopoulos	17
112	ThePoliteG	16
113	MyNameIsDakar	15
114	selectrix	14
114	_Bguette_	14
116	H0UNDFRMH3LL	13
116	Fullut	13
118	Smussa	12
118	KingMatthew506	12
120	BPTY4618	11
120	OffWithTheirHead	11
122	Snowflowe	10
122	binman420	10
122	sp00ky_ghost977	10
125	KarlKaek	9
125	joethahobo	9
125	KowcioJr	9
125	dezxalo	9
129	Blackberry1310	8
129	_Boipl_	8
129	DarkS0L	8
129	Xclax101	8
129	smogfrog	8
134	tramizu	7
134	Inbefour	7
134	_TCARREIRA_	7
137	Ailmast	6
137	set67	6
137	Werbe	6
137	IamCL4SSY	6
137	Deathkob	6
142	Crowman1	5
142	2Stout	5
142	Rumpletaezer	5
145	legal_tax_evader	4
145	EveryonesUncle	4
145	ThisUserIsStump	4
148	ShedJr_	3
148	r123moore	3
148	Bumpy419	3
148	Barlycorn	3
148	Hisiste	3
153	LeDuctTape	2
153	ITDV	2
153	Arceus1975	2
153	DemTechAlpha	2
153	Blaiku	2
153	lordpipe	2
153	Eczbek	2
160	Sleek_Storm_721	1
160	diamondgolem35	1
160	DinoDoctor_	1
160	Incinere	1
160	Wooptey	1
160	Alteriity	1
160	m_be9	1
160	Smashic	1
160	ChillenChiggen	1
160	pappaberg	1
160	Leyna3	1
160	NoChumpChange	1
160	LexMakesHistory	1
160	JESS_THE_RERE	1
160	fluddd	1
160	tsitrawhy	1
160	xzvu	1
160	Jimb0nat0r	1
