rank	username	minecraft:used/minecraft:spruce_sapling
1	Hyp3rion_	160220
2	EcksD	154135
3	Spacewardharpy7	32558
4	noam464	28484
5	Yamdalorian	14573
6	eitanzaki	11001
7	Huwulling	10714
8	Kowcio_	10136
9	Di_infiri	6923
10	Manaateee	6339
11	TheShyPig	3478
12	Marbz_	3386
13	Blackberry1310	2937
14	beeperbeeper5	2713
15	Ezekson	2392
16	thewindmillman	2161
17	Snowflowe	2004
18	rarrq	1608
19	pixelviolin	1569
20	thescout7	1524
21	ApophisNova	1434
21	MyNamaSheff	1434
23	lordpipe	1182
24	q_wq	1129
25	Zythose	1047
26	FreakGenius	972
27	Onennon	933
28	Rumpletaezer	878
29	Niklas20114552	872
30	gcaisawesome	850
31	cutelilreno	832
32	Historical_Sand	818
33	luseis	807
34	rotten_mango	761
35	m_be9	741
36	Smiguli_	738
37	Frozil20	726
38	Akoot_	722
39	set67	718
40	Kakolbus	706
41	TechnoNinja64	689
42	El_Jalapeno	668
43	Arceus1975	662
44	SpacesickPrism	649
45	Legendosh	631
46	500am	624
47	M_Patata	619
48	Mr_Byzantine	592
49	LordSpeed37	591
50	2Stout	584
51	_Dean_123	567
52	EveryonesUncle	562
53	Fullut	557
54	tuckerdoodle	555
55	Mahoose	550
56	Cowison	532
56	xxPipperDipperxx	532
58	Tommhh	522
58	MasterNueve	522
60	BlancoFlaco	513
61	Jahara	493
62	thebaddruid	465
63	cytotoxaint	455
64	kekhon	453
65	Saucepeh	449
66	TheWickedBird	440
67	OfficerAnvil	439
68	Eraxa	426
69	HesDemonPants	417
70	Racengan	403
71	RoskobiOne	393
72	Valoth	392
73	Natty	391
74	FormulaNewt3627	387
75	ee_echo_oo	379
75	Bumpy419	379
77	TheSecondLord	369
78	Spaghettatron	364
79	wwwwinnebagoooo	345
80	Werbe	343
81	Skippeh	341
82	k_ce	338
83	pintsizedrogue	330
84	RebelAndroid	322
85	TipDuy3010	294
86	Pumpkin_P_Patch	279
87	Felenov	261
88	taengoos	258
88	PlasticOtari	258
90	Malorn_Aetherius	257
91	CalebDHawk	256
92	Comma__	252
92	_Karmaa	252
94	nut_e	245
95	SlayerCrypto	240
95	Deathkob	240
97	XxCookiequeenxX	235
97	ZoomieZoomie	235
99	Hahaa_0	234
99	Druid95	234
101	GravitySaint	233
102	12Magner05	232
102	a_d_e_x	232
104	catandmoose	226
105	Merv__	221
105	EngagedGrub41	221
107	Bobby808	219
107	groofles	219
109	Groundler	213
110	hermmm_	212
111	Literally_Rat	205
112	jacxhadow	204
113	Slapface522	202
114	2blox_	199
115	Inchef	194
116	IamCL4SSY	191
116	Steelynan	191
118	Mattesco	189
119	HUNTERmaun	187
119	MAns_44	187
121	Soap_Bender	185
122	obzii	183
123	joethahobo	180
123	fkGrim	180
125	Barlycorn	179
126	bloodbiter	177
126	Soplight	177
128	Chromary	172
129	Jimi7hits	170
130	SuperPooch06	165
131	Boipl	163
132	miramyu	162
132	LeeMcGee30	162
134	NebulousBadger	160
135	Studio4x32	159
136	Deerfoot	157
137	TheThomas69	155
138	CaptainDeadBread	152
139	Sleepy_Time_	145
139	EnigmaTheYeen	145
141	IWorkAtIkea	144
142	PortlyPete69	142
143	thatsjustfrankie	141
144	Kamflame	139
144	RobotMinion101	139
144	_3Stump_	139
147	Galactic_Badger	132
148	ProbablyNick	131
149	Lord_Jord	129
149	The_slideV3	129
151	Touched_Bread	128
152	j5ylim	126
152	pappaberg	126
154	MyNameIsJobo	125
155	ewsophie	123
156	Inbefour	122
157	Tiberonus	121
158	07shiny	119
159	CoffeeNoir	118
159	KingMatthew506	118
161	DTwenty	117
162	Foof13	116
162	Ryker	116
164	Lez_	115
164	zToasty69z	115
166	Thunder_bird4337	113
167	Xclax101	112
168	Hoid_the_Roamer	111
169	CrateOfBoxes	110
170	Lukeee33	108
170	MattieHD	108
170	Winklepicker279	108
173	Nicserso	107
174	avalan64	105
174	Iamthejo	105
176	Blaiku	104
177	PigDab	103
177	Deodorante	103
179	Shiirazu	102
180	PegLegPete93	100
181	Swexti	99
182	nagyvad	98
183	MyMawgDonaldsGon	97
183	Moofyman	97
185	Caribouse	95
185	SaucyDark	95
185	excelsionprime	95
185	BlueZabu	95
189	Firecracker320	94
189	SourPapaSmurf	94
191	_Virify_	93
192	_stets	92
192	00000000-0000-0000-0009-01ff0c3e5e4f	92
194	Cruncy_	90
194	Avocadogerms	90
194	FlashMigma	90
194	BartekB19	90
198	Haadrada	89
199	Optiprimus	88
200	Gus2005	86
200	Majonezzon	86
202	Moss_2006	85
203	whoaluv	84
203	F_Uhre	84
205	Pelbo	83
205	Bucscw24	83
207	Groovy_MoonBird	82
207	Hanselhoof	82
209	oscminus	81
209	natajimi	81
209	Lutres_	81
209	Mistruth	81
213	ogoa	78
213	Fuhrer_Teemo	78
213	claivin	78
216	Ecplosive	77
216	Ristebraaten	77
218	Burge_r	76
219	TheGameArchitect	75
220	sp00ky_ghost977	74
221	Jovaphobic	73
221	MinuteMira	73
223	Tolhart	72
223	andy_rex	72
225	AuroraValkyrie	71
225	Blu3beast	71
227	Paint	70
227	PazinGaming	70
229	Apollo_993	69
229	ZigzagLily43042	69
231	John6970	68
231	burbankbuilder28	68
231	athereall	68
234	DepressedCubic	67
234	SteveCraftBlocks	67
234	eiC_	67
234	xzvu	67
238	KeruNatsema	66
238	SSytex_X	66
238	MsFemboy	66
241	TooManyDuck	65
241	Killercatty78	65
241	purpolepickle	65
241	TakeThis2UrGrave	65
241	JayToe	65
246	Cortexia	64
246	Kattma	64
246	SonicRainBow_	64
246	seramalen	64
250	dendydoom	63
251	H0UNDFRMH3LL	62
251	_Cloverbelle_	62
251	SvenskaHugo	62
254	TastyPorkchop	61
255	TheBiggestFeller	60
255	ehunt54	60
255	Crasswolf	60
255	FadedSpade82	60
255	ConnorDanky_	60
260	ImpavidArcher	59
260	LordZacler	59
260	SvenskaSara	59
260	HAIRYCLOUD626	59
260	Lord_Zacler	59
260	doublemaki	59
260	trexgb	59
267	Cryptacity	58
267	SPUDonSTEROIDS	58
267	OneLessChromosom	58
270	ActualPatbaf	56
270	ooga47	56
270	Chuglyfe	56
270	stellarjay	56
270	monolu	56
270	diggydog67	56
276	Meepcraft	55
276	xyfrs	55
278	diamondgolem35	54
278	Razzgriz	54
278	laron58	54
281	Xalithia	53
281	TheMiddayMoon	53
283	dedgt	52
283	H_O_M_H	52
283	jaimshae	52
286	IgnoredBee	51
286	SullivanNephew	51
286	yyatsuta	51
289	Studyhallsaver	50
289	Drewen24	50
289	mihimihimihi	50
292	bigstankyy	49
292	nattybears	49
292	Sparky_KT	49
295	Dblikstad	48
295	MrMattyPatt	48
295	Hisiste	48
295	alkrie	48
299	Myrosia	47
299	powercas_gamer	47
