rank	username	minecraft:used/minecraft:skeleton_skull
1	k_ce	74
2	luseis	42
3	YungMaki	26
4	SingedBread	21
5	beeperbeeper5	17
5	TheSecondLord	17
5	Enderxz3	17
8	Manaateee	16
9	Mahoose	14
10	DinoDoctor_	13
11	Fullut	12
12	EdGalbraith	10
12	Segotep999	10
14	Apollo_993	9
14	rarrq	9
16	pintsizedrogue	8
16	kekhon	8
16	Blu3beast	8
16	Blaiku	8
16	PlasticOtari	8
21	Kowcio_	7
22	ECstardust	6
22	yheece	6
22	Onennon	6
22	Shogunite	6
26	skroobiez	5
26	noam464	5
26	DAD_1996	5
26	HellsSponge	5
26	fluddd	5
26	33sudo	5
32	PazinGaming	3
32	eitanzaki	3
32	Huwulling	3
32	ShedJr_	3
32	joethahobo	3
32	MrExplorer	3
32	corvidpartyfor6	3
32	lorpus	3
32	Inchef	3
32	MAns_44	3
32	sp00ky_ghost977	3
32	ZoomieZoomie	3
32	Legendosh	3
32	HesDemonPants	3
46	Jovaphobic	2
46	Groovy_MoonBird	2
46	PhantomsGhost_	2
46	myaccountwasgone	2
46	Lez_	2
46	Blackberry1310	2
46	thescout7	2
46	crashomon	2
46	shadowthemonkey	2
46	hanaryheatwave	2
46	AlexxO_o	2
46	Maenara	2
46	emreknugrlu	2
46	Druid95	2
46	SSytex_X	2
46	xzvu	2
46	Kubeusz2010	2
46	Skippeh	2
46	Ezekson	2
65	_Huge_Male_	1
65	TooPure2	1
65	Merv__	1
65	shineh10	1
65	Frozil20	1
65	Wooptey	1
65	MrKrabOnCoke	1
65	fr0stss	1
65	Secret_Canary	1
65	TheDiamondCG	1
65	Aavermu	1
65	Jackattack53	1
65	Hyp3rion_	1
65	2extreeme	1
65	Charmyboi	1
65	RebytreGT	1
65	oscminus	1
65	ApophisNova	1
65	F_Uhre	1
65	Mattesco	1
65	fw3xy74	1
65	Tyrannosplart	1
65	claivin	1
65	zKaneki	1
65	Eraxa	1
65	pixelviolin	1
65	_i_ERROR_i_	1
65	hermmm_	1
65	tartanboy	1
65	ConnorDanky_	1
65	MyNamaSheff	1
65	Jimb0nat0r	1
65	skitzxo	1
65	calamariclam_I	1
65	Yamdalorian	1
