rank	username	minecraft:used/minecraft:birch_stairs
287	Historical_Sand	2
287	Rich_Kat	2
287	NotMeanttoChange	2
287	loveseeker	2
287	_Buffo	2
287	pappaberg	2
287	Parcc	2
287	MooxPlaysRust	2
287	thgrocks	2
287	Gryglu583	2
287	_Bguette_	2
287	HellsSponge	2
287	BumbleBeever	2
287	sp00ky_ghost977	2
