rank	username	minecraft:used/minecraft:written_book
1	beeperbeeper5	1291
2	SteveCraftBlocks	730
3	Akoot_	684
4	joethahobo	468
5	claivin	413
6	kekhon	352
7	Legendosh	340
8	lordpipe	338
9	Mahoose	292
10	Smoke____	286
11	T045RTY	253
12	EveryonesUncle	245
13	Blackberry1310	234
14	YungMaki	233
15	Hermanni__	225
16	Soplight	223
17	TheSecondLord	202
18	Arceus1975	200
19	TheShyPig	195
20	500am	193
21	Eraxa	186
22	egglapras	182
23	chipklip	172
24	Spacewardharpy7	159
25	kinas45y5	152
26	Merv__	148
27	oxfordschool	138
28	Ezekson	137
29	Xclax101	124
29	TechnoNinja64	124
31	q_wq	117
31	_Dean_123	117
31	Awyrlas	117
34	Lord_Jord	115
35	titanlax	114
35	EcksD	114
37	NomadicRobin_	109
38	seramalen	108
38	SammiWolfGirl	108
40	Frozil12	105
41	OtariCharlie	104
42	r123moore	94
43	bloodbiter	91
43	_Boipl_	91
45	Freak_Genius	89
46	Fullut	88
47	Enderslayerxz3	87
48	bigstankyy	84
48	Racengan	84
50	Jackattack53	83
51	eitanzaki	79
52	alderban107	77
53	NameGenerat0r	76
54	EcksDofficial	74
55	Werbe	73
56	xxPipperDipperxx	71
56	AssEatrAndLicker	71
58	Blaiku	70
59	Inchef	69
59	Hyp3rion_	69
59	El_Jalapeno	69
62	Dedalus36	68
63	rarrq	66
64	I_Am_Mushkin	65
65	6king6colt6	63
65	lcvezra	63
65	laron58	63
68	DarlaMeow	62
68	fluddd	62
68	stahouo	62
71	Incinere	61
72	sebastiensaborio	60
73	MattieHD	59
73	noam464	59
75	jushykins	53
75	PortlyPete69	53
77	Quotary	52
78	thewindmillman	51
79	jnp_gaming	50
80	ShedJr_	49
81	ImpavidArcher	46
81	Nycteus_	46
83	pintsizedrogue	45
83	ROY4LE	45
85	DAD_1996	38
85	LexMakesHistory	38
85	Spenduh	38
88	CoffeeNoir	36
89	mwrty	35
89	RodSerlingCringe	35
89	Quaintster	35
92	Di_infiri	34
92	Chromary	34
94	GravitySaint	33
95	Ze_BaronKrigler	32
95	jcool7	32
97	SvenskaHugo	31
98	SuperPooch06	30
98	Skippeh	30
98	OnlyOfficial	30
101	Auseawesome	28
101	2Stout	28
101	MakeHistory157	28
101	Sral7	28
105	teslawolf38	27
105	burbankbuilder28	27
105	Kowcio_	27
108	fr_ser	26
108	Blu3beast	26
110	Myszoaz	25
110	12Magner05	25
110	HellsSponge	25
113	thescout7	24
113	himak1	24
113	Bumpy419	24
113	WyngGoy	24
117	Groovy_MoonBird	23
117	Drlzyy	23
117	FirsTimeGamingTV	23
117	gcaisawesome	23
117	M_Patata	23
117	Onennon	23
117	KingMatthew506	23
124	IWorkAtIkea	22
124	CruncyIsTaken	22
126	Historical_Sand	21
127	Kyrum2169	20
128	m_be9	19
129	Swexti	18
129	Xalithia	18
129	XboxPanda	18
129	MasterNueve	18
133	set67	17
133	Karetoko	17
133	_Bguette_	17
136	soundad	16
136	CharlieButt	16
136	fkGrim	16
136	Warlord324	16
136	__tomato	16
141	Hpdinosaur	15
141	fred870d	15
141	OG_Songsee	15
141	KG1999	15
145	jacxhadow	14
145	ApophisNova	14
145	MovingFish7	14
145	MyNamaSheff	14
145	Nicserso	14
150	Ssor69	13
150	BobDeBouwer1337	13
150	Drewen24	13
150	Rasmanden	13
150	lillips	13
150	The_slideV3	13
150	SSytex_X	13
150	Erased_Identity	13
158	PhantomsGhost_	12
158	loveseeker	12
158	Zythose	12
158	Shogunite	12
158	cringenaynaybaby	12
158	SexcMf	12
158	ItsJunoIGuess	12
158	_3Stump_	12
158	mackintosh_x	12
158	2blox	12
168	nataliecool	11
168	numbra	11
168	ABUSNA1996	11
168	epiksk8erduck	11
168	DC_XII	11
168	thgrocks	11
168	Deathkob	11
168	GoofyBread	11
168	CalebDHawk	11
177	Lor1113	10
177	Scathra	10
177	FalconOW	10
177	Skylord_Luke	10
177	Dusk_95	10
177	Leithz6	10
177	AssFullaCum	10
177	y0shik	10
177	BreadBacon	10
186	nocturne78	9
186	aluminumhelmet	9
186	Mobstr	9
186	Hiryu27	9
186	RobotMinion101	9
186	PigDab	9
186	cichy096	9
186	vandmanden	9
194	Sleek_Storm_721	8
194	Kkanot	8
194	Rumpletaezer	8
194	HyperCave	8
194	DScatgirls	8
194	Maenara	8
194	masskedman	8
194	MightyWertu	8
194	Groundler	8
194	geekbird	8
194	Strangemonkey71	8
194	ayamefag	8
194	FGamerJ	8
194	Zoeyfortnite	8
194	h2p_emrld	8
209	RosaDoesMC	7
209	Claw262	7
209	EMC_	7
209	KarlKaek	7
209	SpaceGrenadier	7
209	Malorn_Aetherius	7
209	Frxnkz	7
209	WET_WET_WET	7
209	DanielMmm	7
209	hagridfedpik	7
209	HolyVenom	7
209	Deodorante	7
209	the_russell1611	7
209	proxivitoid	7
209	GeromeMerris	7
209	Hisiste	7
209	IdeallyGrey	7
209	brofrickcheaters	7
209	obzii	7
209	Winston_Ingram	7
209	MilleGrug	7
209	Kubeusz2010	7
231	Bandito_Roamer	6
231	hm947	6
231	Meteora4	6
231	Hashinshin69	6
231	RebelAndroid	6
231	Clxpzy	6
231	Valoth	6
231	Rich_Kat	6
231	G1ldor	6
231	theonlymagikarp	6
231	Noah_Bez	6
231	Zaridey	6
231	Marbz_	6
231	TakeThis2UrGrave	6
231	mexicancharlie	6
231	TahkoLive	6
231	Nicky19	6
231	privatemeekly	6
231	_Karmaa	6
231	BlankityMcBlank	6
231	AstroLightz_	6
252	DigiBlox	5
252	dabloons	5
252	Vaarde	5
252	bra1nbrain	5
252	TadTadTadTad	5
252	charlie_3k	5
252	_Nuf	5
252	eclipseboi	5
252	slkiey	5
252	nikobro	5
252	intropass	5
252	NotoriousNina	5
252	Avrelion	5
252	Doom_melon	5
252	popcanter	5
252	Snowflowe	5
252	victricemque	5
252	EtherealSilveon	5
252	curterr	5
252	KliBeast21	5
252	XxCookiequeenxX	5
252	ethanrider	5
252	Quincannon	5
252	monky_irl	5
252	TheTommyGun63	5
252	swimingduck	5
252	33sudo	5
252	Detrov	5
252	Eczbek	5
252	MissCeleste7	5
252	tartanboy	5
252	InFerNus4K	5
252	FelixPSY375	5
285	Jovaphobic	4
285	Agarikus	4
285	2xil2	4
285	Ananas55	4
285	Argraol	4
285	The_Great_Jake	4
285	FroggoTheDoggo	4
285	BlancoFlaco	4
285	Gundam_Steven	4
285	Zippyzam	4
285	HollieDaNugget	4
285	Batman922	4
285	Ironmine12	4
285	lotarp	4
285	Reamdin	4
285	lumpump	4
