rank	username	minecraft:used/minecraft:lightning_rod
1	jessewegottacook	405
2	Mattesco	397
3	PlasticOtari	265
4	thewindmillman	130
5	TheSecondLord	126
6	joethahobo	117
7	Mahoose	98
8	Steelynan	95
9	RoofTyler	60
10	500am	57
11	luseis	49
12	Jackattack53	45
13	Soplight	43
14	pintsizedrogue	40
15	Touched_Bread	35
15	Hyp3rion_	35
17	Kakolbus	33
18	Solar_Power	32
19	CoffeeNoir	25
20	noam464	24
21	EcksD	20
22	ImpavidArcher	19
22	mihimihimihi	19
24	beeperbeeper5	18
25	CharlieButt	15
26	calamariclam_I	12
27	Jeteight	11
27	StinkyDiplomat	11
29	Prismyst	10
29	Lez_	10
29	shadowthemonkey	10
32	ItsGrayWolf	8
32	binman420	8
32	weabis	8
32	YungMaki	8
36	Alteriity	7
36	Enigma0251	7
38	Megarboh	6
39	teslawolf38	5
39	NameGenerat0r	5
39	Jimb0nat0r	5
42	Kubelz	4
42	MAns_44	4
42	Eraxa	4
42	pixelviolin	4
42	Kowcio_	4
42	Enderxz3	4
42	Smoke____	4
49	Apollo_993	3
49	jerrypeter472	3
49	Winklepicker279	3
49	SuperPooch06	3
49	Spacewardharpy7	3
49	CheifJumbo	3
49	MineMaster0012	3
49	UCP_TheKingK	3
49	2bolx_	3
58	Mr_Byzantine	2
58	nattybears	2
58	QuiCreans	2
58	Toasty_Tom	2
58	FreakGenius	2
58	FishisTTV	2
64	k_ce	1
64	EMC_	1
64	Frozil20	1
64	eitanzaki	1
64	ITDV	1
64	Da_Boss_Rani	1
64	12Magner05	1
64	Smashic	1
64	excelsionprime	1
64	Marbz_	1
64	SvenskaSara	1
64	Lord_Jord	1
64	Fuad_R	1
64	fluddd	1
64	Vegvisir	1
64	RealGroot	1
64	youarefrench_	1
64	MirielThePastor	1
