rank	username	minecraft:used/minecraft:leather_chestplate
1	skitzxo	170
2	TheBananaKat	47
3	Mattesco	38
4	Kowcio_	35
5	Huwulling	19
6	crashomon	15
7	TheSecondLord	13
8	beeperbeeper5	12
8	MattieHD	12
8	pretty_pink_reno	12
11	PazinGaming	11
11	Pumpkin_P_Patch	11
13	FiguraDei	9
14	Jackattack53	8
14	fragrantmonke444	8
16	ECstardust	6
16	Jimb0nat0r	6
18	myaccountwasgone	5
18	Crowman1	5
18	Soplight	5
21	powercas_gamer	4
21	hanaryheatwave	4
21	Buuck_	4
21	TheKingK_	4
25	skroobiez	3
25	MrKrabOnCoke	3
25	12Magner05	3
25	SteveCraftBlocks	3
25	Hyp3rion_	3
25	Snowflowe	3
25	oscminus	3
25	luseis	3
33	bl1ss0	2
33	TheInfernoPup	2
33	Yamdalorian	2
33	TheWickedBird	2
37	kurulen	1
37	k_ce	1
37	Mr_Byzantine	1
37	Merv__	1
37	lcn	1
37	ImpavidArcher	1
37	jimbo61101jr	1
37	Mahoose	1
37	bugrq_	1
37	Blackberry1310	1
37	Saucepeh	1
37	RCLucky	1
37	Hydro___________	1
37	Kkanot	1
37	lorpus	1
37	KGTV	1
37	Inchef	1
37	MiamiFights	1
37	pvpGODfrfr	1
37	Touched_Bread	1
37	CharlieButt	1
37	Hashises	1
37	U_Mos_	1
37	Lo_zio_Diego	1
37	Krowuss	1
37	thebaddruid	1
37	RebytreGT	1
37	SpaggeDR	1
37	Kreuvix	1
37	zToasty69z	1
37	Joestra	1
37	DarkS0L	1
37	Manaateee	1
37	Acreativeuser	1
37	mihimihimihi	1
37	StarCookiees_	1
37	Eraxa	1
37	SvenskaHugo	1
37	pixelviolin	1
37	Gustavo64	1
37	_i_ERROR_i_	1
37	Myrulfan3	1
37	kaiwill0w	1
37	Aryamanee	1
37	KamFurnace	1
37	coobert42	1
