rank	username	minecraft:used/minecraft:diorite
1	rarrq	18448
2	TheShyPig	12250
3	joethahobo	8355
4	YungMaki	6092
5	Di_infiri	5915
6	Zythose	5812
7	Xalithia	5745
8	Smoke____	5205
9	EMC_	5163
10	noam464	4558
11	HellsSponge	3977
12	thewindmillman	3850
13	vandmanden	3830
14	Rumpletaezer	3554
15	PigDab	3352
16	gcaisawesome	3034
17	Cryptacity	2634
18	Cowison	2205
19	El_Jalapeno	2085
20	Spacewardharpy7	2038
21	Franco093	2007
22	pintsizedrogue	1997
23	MrExplorer	1792
24	Arceus1975	1784
25	Kowcio_	1763
26	kekhon	1644
27	Freak_Genius	1392
28	Werbe	1369
29	lordpipe	1350
30	awesomeoneme	1334
31	Mahoose	1306
32	Jiminie	1270
33	Shogunite	1256
34	Enderslayerxz3	1220
35	SuperPooch06	1210
36	Steelynan	1121
37	EcksDofficial	1089
38	eviltunix	1031
39	beeperbeeper5	1010
40	purpolepickle	939
41	DarlaMeow	932
42	xxPipperDipperxx	931
43	PlasticOtari	897
44	ImpavidArcher	871
45	KarlKaek	852
46	bloodbiter	832
47	oxfordschool	790
48	Bumpy419	772
49	Afinnity	738
50	EveryonesUncle	726
51	Teebone15	722
52	Soplight	711
53	Onennon	693
54	Lord_Jord	686
55	oreee	666
56	MyNameIsJobo	643
57	Cyntrical	627
58	teslawolf38	622
59	Frozil12	592
60	LordSpeed37	587
61	Nicky_H225	570
62	TheDumbHuman	565
63	Kakolbus	549
64	Fuhrer_Teemo	545
65	titanlax	541
66	Ezekson	521
67	12Magner05	514
68	Miko_Fullbuster	504
69	Sral7	482
70	eitanzaki	476
71	Meatlaugh	469
72	q_wq	467
73	Blaiku	461
74	ElderRifken	454
75	DemTechAlpha	445
76	Historical_Sand	436
77	Blackberry1310	431
77	Legendosh	431
79	M_Patata	406
80	Menthas	399
81	Xclax101	396
82	500am	395
83	Rebytre	391
84	Racengan	381
85	Kferno	378
85	TechnoNinja64	378
87	Fullut	366
88	TheSecondLord	365
88	Akoot_	365
90	T045RTY	356
91	NoChumpChange	346
92	ShedJr_	332
93	Malorn_Aetherius	331
94	groofles	326
95	Snowflowe	324
96	h2p_emrld	318
97	SingedBread	301
98	ApophisNova	297
98	MyNamaSheff	297
100	CalebDHawk	293
101	alderban107	292
102	Hisiste	290
103	SkateboardR6	288
104	ediballbearings	287
105	Jackattack53	285
106	cedric72	278
107	ivorico	275
108	claivin	270
109	SquadMonster	266
109	Rocco_Lane	266
109	fluddd	266
112	Blu3beast	264
113	BlankityMcBlank	260
114	Njensen7	259
115	Eczbek	255
116	Awyrlas	253
117	jnp_gaming	252
118	DanTheBuilderino	247
119	cichy096	242
120	MasterNueve	240
121	MangoTheFish	239
121	diggydog67	239
123	Logain42	238
124	AlphaWolfPlaysMC	236
124	Powowowow	236
126	soundad	235
127	Hyp3rion_	232
128	domagawha	231
129	Merv__	224
130	Oxygen16	223
131	youhjjhhhjj	220
131	MilleGrug	220
133	sxc_	216
134	Spenduh	215
135	NameGenerat0r	214
136	MeetTheWollo	212
137	SvenskaHugo	210
138	lotarp	209
139	SammiWolfGirl	208
140	Diavri	207
141	Inchef	206
142	PhantomsGhost_	205
