rank	username	minecraft:used/minecraft:deepslate_copper_ore
1	pixelviolin	142
2	EMC_	99
3	thewindmillman	40
4	PlasticOtari	35
5	pintsizedrogue	27
6	gcaisawesome	20
7	Jiminie	18
8	Miko_Fullbuster	17
9	EveryonesUncle	11
10	Ze_BaronKrigler	10
10	WYFYoyo	10
10	Smoke____	10
13	noam464	9
13	Kakolbus	9
15	Steven1282598	8
16	ApophisNova	7
16	MyNamaSheff	7
18	hcb238	6
18	Sheldor097	6
20	MinttyFressh	3
20	sebastiensaborio	3
22	Flores991	1
22	beeperbeeper5	1
22	500am	1
22	yulgur1	1
22	Freak_Genius	1
22	Spacewardharpy7	1
22	Kowcio_	1
22	RadarHz	1
