rank	username	minecraft:used/minecraft:cherry_fence_gate
1	Lez_	57
2	Kowcio_	22
3	Enderxz3	21
4	royal_2	8
4	Skwillyum13	8
6	cutelilreno	6
6	11Brewer	6
8	robonya_	5
9	IlkeCookes_	3
9	KamFurnace	3
11	MattieHD	2
11	DisgruntledKoala	2
11	Reneedium	2
11	Alex_Hansen	2
15	Alteriity	1
15	TheSecondLord	1
15	knarian	1
15	LovableFemboy	1
15	Rebytre	1
15	Hahaa_0	1
15	DJzombiehunter	1
