rank	username	minecraft:used/minecraft:goat_horn
1	Mahoose	548
2	luseis	385
3	Jimb0nat0r	317
4	Pumpkin_P_Patch	311
5	craaaash	301
6	pintsizedrogue	205
6	StarCookiees_	205
8	LuvLuvLove	204
9	PazinGaming	203
10	FiguraDei	137
11	k_ce	121
12	Merv__	117
13	Mattesco	110
14	mymayowasgone	102
15	Kowcio_	81
16	Groovy_MoonBird	80
17	Yamdalorian	76
18	powercas_gamer	64
19	Cache3	59
20	QuiCreans	57
21	Archsam	55
21	Enderxz3	55
23	rarrq	51
23	Mr_Sun15	51
25	cuddlyMonster	50
26	oscminus	45
27	Soplight	37
28	_witch_craft_	35
28	AlexxO_o	35
30	Wowful	31
30	KamFurnace	31
32	500am	30
33	MAns_44	29
33	robonya_	29
35	beeperbeeper5	26
36	GravitySaint	25
37	Kondzik2008	24
37	Steelynan	24
39	MattieHD	23
39	U_Mos_	23
39	AppleJacks	23
42	Mr_Byzantine	22
43	bl1ss0	21
43	Luminad3	21
45	Alteriity	20
45	Secret_Canary	20
45	Manaateee	20
48	excelsionprime	17
49	SnowyAvi	16
50	doublemaki	15
51	lorywithay	14
51	EcksD	14
53	ECstardust	13
53	ee_echo_oo	13
55	Huwulling	12
55	Krowuss	12
57	Auseawesome	11
58	Aakvaa	10
59	BPTY4618	9
59	GooseWithin	9
61	TheDankPlatypus	8
61	Dynamic_wolf_1	8
63	j5ylim	7
63	Hetti301	7
63	Smashic	7
63	Marbz_	7
67	shineh10	6
67	hanaryheatwave	6
69	Apollo_993	5
69	MrKrabOnCoke	5
69	CaracolCxnt	5
69	Kakolbus	5
69	TheWildMateo	5
69	Ma_name_alex	5
69	pixelviolin	5
69	ConnorDanky_	5
77	CLG_Kata	4
77	BubblyPrototype_	4
77	fffMike	4
77	00000000-0000-0000-0009-01fe065167f0	4
81	joethahobo	3
81	Jackattack53	3
81	_Mythic____	3
81	Segotep999	3
81	KeterComet	3
86	TheRomanNoodles1	2
86	Lez_	2
86	Zxhir	2
86	Tersea_	2
86	TheSecondLord	2
86	Inchef	2
86	theonlymagikarp	2
86	Zeradox	2
86	_i_ERROR_i_	2
86	Ezekson	2
86	DairyNickel756	2
97	N00bula	1
97	ImpavidArcher	1
97	steppe_nomad	1
97	claireliner	1
97	royal_2	1
97	corvidpartyfor6	1
97	Strats__	1
97	Fuad_R	1
97	creatineshakes	1
97	Buuck_	1
97	Druid95	1
97	NATE_the_HALO	1
97	Nicserso	1
97	Legendosh	1
