rank	username	minecraft:used/minecraft:tnt_minecart
1	Smashic	190
2	Jackattack53	64
3	CollinMH06	62
4	LeonelSalamanca	43
5	ProbsNotNova	40
6	Di_infiri	30
7	HellsSponge	19
8	WyngGoy	15
9	eviltunix	10
9	gcaisawesome	10
11	oscminus	8
11	LexMakesHistory	8
11	claivin	8
14	beeperbeeper5	5
15	Groundler	4
15	PlasticOtari	4
15	AdmiralSmoke	4
18	Spacewardharpy7	3
18	stavgod	3
20	12Magner05	2
20	Hyp3rion_	2
20	MightyWertu	2
23	Merv__	1
23	rarrq	1
23	Leyna3	1
23	JESS_THE_RERE	1
23	Quincannon	1
23	YungMaki	1
