rank	username	minecraft:used/minecraft:wither_skeleton_skull
1	Frozil20	1175
2	HellsSponge	877
3	NomadicRobin_	595
4	Blaiku	538
5	thescout7	445
6	PigDab	347
7	eitanzaki	289
8	Spacewardharpy7	268
9	Di_infiri	222
10	AdmiralSmoke	203
11	thewindmillman	163
12	oscminus	114
13	joethahobo	107
14	r123moore	106
15	noam464	104
16	Mahoose	99
17	Hyp3rion_	92
18	vandmanden	73
19	TheShyPig	64
20	_i_ERROR_i_	58
21	gcaisawesome	53
21	Tyrannosplart	53
23	rarrq	51
24	PortlyPete69	49
25	YungMaki	48
25	Skippeh	48
27	Alteriity	41
27	beeperbeeper5	41
29	yheece	40
30	Arceus1975	37
31	Segotep999	33
32	MattieHD	32
33	Corbsman	31
33	sadvavilloso	31
35	Jackattack53	27
36	Fullut	26
37	RebelAndroid	25
37	MilleGrug	25
37	Jimb0nat0r	25
40	claivin	22
41	SaucyDark	21
42	Maenara	20
42	Enderxz3	20
44	Rasmanden	19
44	wezzzi	19
44	luseis	19
44	Awesomely_SYD	19
44	_Meow_Mix	19
44	Soplight	19
44	PlasticOtari	19
51	_Nuf	18
51	mwrty	18
51	xxPipperDipperxx	18
51	F_Uhre	18
51	EcksD	18
56	ECstardust	17
56	Onennon	17
56	Wowful	17
56	Kowcio_	17
56	Ezekson	17
61	pintsizedrogue	16
61	Lez_	16
61	fw3xy74	16
61	Cocoamallows	16
65	Bandito_Roamer	15
65	tuckerdoodle	15
65	Blackberry1310	15
65	King_Pancake1	15
65	zToasty69z	15
65	Coolbou0427	15
65	Vindogster	15
72	k_ce	14
72	301851	14
74	SmashingPump	13
74	fr0stss	13
74	TheSecondLord	13
74	Eczbox	13
74	RobotMinion101	13
74	xzvu	13
74	Eczbek	13
74	2blox_	13
74	xolstoi	13
83	Merv__	12
83	Zythose	12
83	Manaateee	12
83	MightyWertu	12
83	Groundler	12
83	fffMike	12
89	LeonelSalamanca	11
89	Powowowow	11
91	Groovy_MoonBird	10
91	m_be9	10
91	Kakolbus	10
91	alderban107	10
91	ConnorDanky_	10
96	set67	9
96	ApophisNova	9
96	AlphaWolfPlaysMC	9
96	lordpipe	9
96	pixelviolin	9
96	MyNamaSheff	9
96	diggydog67	9
103	TooManyDuck	8
103	Rumpletaezer	8
103	MrQuanQuan	8
103	Blu3beast	8
103	SingedBread	8
103	mihimihimihi	8
103	_TCARREIRA_	8
103	trexgb	8
111	jushykins	7
111	Kamflame10	7
111	SellyZ	7
111	RefluxRatio	7
111	_Boipl_	7
111	audiocracked	7
111	AssFullaCum	7
111	MineMaster0012	7
111	__tomato	7
111	Nicserso	7
121	Apollo_993	6
121	Iagoku	6
121	ShedJr_	6
121	Euclidoris	6
121	titanlax	6
121	Comma__	6
121	zorin123	6
121	harutoisdaddyy	6
121	Scathra	6
121	Mewar	6
121	ROY4LE	6
121	M_Patata	6
121	hanaryheatwave	6
121	_8man	6
121	EveryonesUncle	6
121	The_slideV3	6
121	NameGenerat0r	6
121	MAns_44	6
121	MasterNueve	6
121	MakeHistory157	6
121	Kyrum2169	6
121	FelixPSY375	6
121	Legendosh	6
144	q_wq	5
144	ITDV	5
144	Nicky_H225	5
144	Hiryu27	5
144	_Karmaa	5
144	Xclax101	5
150	CLG_Kata	4
150	lorywithay	4
150	jessewegottacook	4
150	H72l9w	4
150	500am	4
150	IKeepDying	4
150	XboxPanda	4
150	SuperPooch06	4
150	lillips	4
150	TheTommyGun63	4
150	33sudo	4
150	LeEricc	4
150	obzii	4
150	Steelynan	4
150	Kubeusz2010	4
150	its_lupus	4
150	Zoeyfortnite	4
167	PhantomsGhost_	3
167	Jindong	3
167	Gundam_Steven	3
167	Incinere	3
167	jimintyy	3
167	T045RTY	3
167	Historical_Sand	3
167	gaziter10	3
167	nocturne78	3
167	12Magner05	3
167	Megarboh	3
167	Guillemet	3
167	Secret_Canary	3
167	boog4loo	3
167	excelsionprime	3
167	KGTV	3
167	Zaridey	3
167	Chromary	3
167	AmbroseForLife	3
167	OreTheBear	3
167	Bumpy419	3
167	Rebytre	3
167	Werbe	3
167	AlexxO_o	3
167	Dan_Scha	3
167	Akoot_	3
167	Deodorante	3
167	GoofyBread	3
167	Soap_Bender	3
167	AstreaTSS	3
167	Quaintster	3
167	Nycteus_	3
167	Steve897	3
167	fluddd	3
167	ChiefThrock	3
167	Hisiste	3
167	monky_irl	3
167	stavgod	3
167	Eraxa	3
167	07shiny	3
167	Heisenbberrg	3
167	deadshot16	3
167	guccipucci_	3
167	MissCeleste7	3
167	tartanboy	3
167	jnp_gaming	3
213	ImpavidArcher	2
213	fxiryglitch	2
213	CJPerson	2
213	FlashMigma	2
213	ayamefag	2
213	NATE_the_HALO	2
213	OfficerAnvil	2
213	TechnoNinja64	2
221	Harotio	1
221	natasha_blush	1
221	soundad	1
221	Ailmast	1
221	teslawolf38	1
221	Killercatty78	1
221	SyntheticSurgeon	1
221	WarHammer3	1
221	Huwulling	1
221	shneed	1
221	Whiterooster001	1
221	Shadoko_	1
221	Saucepeh	1
221	kekhon	1
221	RIPB0ZO	1
221	Gorilladam	1
221	shadowthemonkey	1
221	Lil_Breadboy	1
221	whoaluv	1
221	xambsam	1
221	Zombie_Striker	1
221	Afinnity	1
221	parodypatient	1
221	Deathkob	1
221	drumine	1
221	DarlaMeow	1
221	FreakGenius	1
221	Druid95	1
221	Burge_r	1
221	SpacesickPrism	1
