rank	username	minecraft:used/minecraft:pitcher_plant
1	oscminus	355
2	MAns_44	37
3	Buuck_	28
4	LuvLuvLove	23
5	Enderxz3	22
6	EveryonesUncle	21
7	robonya_	17
8	Lez_	15
9	Kowcio_	14
10	craaaash	10
10	Krowuss	10
12	Steelynan	9
13	Pumpkin_P_Patch	8
14	k_ce	7
14	beeperbeeper5	7
14	Fullut	7
17	Merv__	6
17	XxCookiequeenxX	6
19	CLG_Kata	5
19	luseis	5
19	Ezekson	5
22	mymayowasgone	4
22	eitanzaki	4
22	Jimb0nat0r	4
25	j5ylim	3
25	ZaneABrain	3
25	TheSecondLord	3
25	Smashic	3
25	ChampBoii	3
25	lordpipe	3
25	VittoValenttino	3
32	pintsizedrogue	2
32	_Huge_Male_	2
32	ECstardust	2
32	Alteriity	2
32	Lazy_geniusig	2
32	Huwulling	2
32	Archsam	2
32	Secret_Canary	2
32	lunkuku	2
41	Mr_Byzantine	1
41	EdaterPure	1
41	PanKarl	1
41	SteveCraftBlocks	1
41	CosmicStardustt	1
41	KamFurnace	1
41	Yamdalorian	1
