rank	username	minecraft:used/minecraft:green_terracotta
1	YungMaki	11836
2	EMC_	4157
3	Werbe	2469
4	Rumpletaezer	2128
5	joethahobo	1797
6	thewindmillman	1716
7	pintsizedrogue	1506
8	Mattesco	1208
9	ProfessorBee	1196
10	Rebytre	1139
11	EveryonesUncle	1127
12	Wooptey	1057
13	TheShyPig	1044
14	Huwulling	1039
15	TheSecondLord	965
16	AltnumberF4	872
17	Alteriity	832
18	titanlax	765
19	Frozil20	756
20	Sral7	740
21	Steelynan	689
22	FreakGenius	651
23	rarrq	614
24	H72l9w	598
25	PortlyPete69	518
26	Jimb0nat0r	429
27	epiksk8erduck	413
28	Merv__	404
29	SuperPooch06	395
30	Mahoose	391
31	MyNameIsJobo	362
32	ZoomieZoomie	350
33	RatatJuice	342
34	kekhon	326
35	RefluxRatio	320
35	AlexxO_o	320
37	ApophisNova	305
37	MyNamaSheff	305
39	Barlycorn	261
40	Lez_	260
41	luseis	254
42	ConnorDanky_	243
43	CattSoup	231
44	Kim_Jong_eel	225
45	Manaateee	213
46	PlasticOtari	208
47	Skylord_Luke	193
48	Pickel_Lord	180
49	lordpipe	169
50	EcksD	163
51	Soplight	146
52	eitanzaki	137
53	CarltheCuck	126
53	MustardSquid	126
55	Awyrlas	120
56	Legendosh	114
57	Deathkob	111
58	MattieHD	107
59	XxCookiequeenxX	104
60	_Huge_Male_	102
61	noam464	95
62	Mr_Byzantine	89
63	PegLegPete93	88
64	CalebDHawk	81
65	yatsuta	76
66	_Bguette_	72
67	AdmiralSmoke	70
68	TruestTurnip	67
69	cheerytomato	64
70	bloodbiter	62
71	pixelviolin	61
72	Arceus1975	59
72	cog	59
74	SellyZ	46
75	Kakolbus	43
76	Ssor69	42
77	Kowcio_	39
78	The_slideV3	37
79	TheEnderMan548	35
80	Enderxz3	34
81	fluddd	29
82	The_Cruncy	28
83	Quotary	26
84	ZigzagLily43042	21
85	beeperbeeper5	17
86	2Stout	16
87	SvenskaHugo	15
88	LexMakesHistory	14
89	hanaryheatwave	11
90	xzvu	10
91	WET_WET_WET	9
91	Hyp3rion_	9
91	Blu3beast	9
94	Groovy_MoonBird	8
94	jessewegottacook	8
94	mwrty	8
94	Tyrannosplart	8
94	WyngGoy	8
99	NameGenerat0r	6
99	BlankityMcBlank	6
99	Ezekson	6
102	ImpavidArcher	5
102	Incinere	5
104	Nostrom	4
104	SteveCraftBlocks	4
104	Diavri	4
104	Spacewardharpy7	4
104	jcool7	4
109	PazinGaming	3
109	Di_infiri	3
109	Jackattack53	3
109	Krowuss	3
109	Inbefour	3
114	k_ce	2
114	BPTY4618	2
114	ratglock	2
114	500am	2
114	lorpus	2
114	oscminus	2
114	Akoot_	2
114	claivin	2
114	MakeHistory157	2
114	Eraxa	2
114	UCP_TheKingK	2
114	skrongus	2
126	Myszoaz	1
126	ROY4LE	1
126	gcaisawesome	1
126	Karetoko	1
126	OtherAnimus	1
126	ItsDeltaMC	1
126	lcvezra	1
126	alderban107	1
126	EngagedGrub41	1
