rank	username	minecraft:used/minecraft:enchanted_golden_apple
1	Segotep999	20
2	kekhon	13
3	MattieHD	5
4	beeperbeeper5	3
4	lcvezra	3
6	Jackattack53	2
6	Kowcio_	2
6	UCP_TheKingK	2
6	00000000-0000-0000-0009-01ff0c3e5e4f	2
10	pintsizedrogue	1
10	k_ce	1
10	SmashingPump	1
10	shineh10	1
10	DinoDoctor_	1
10	gaziter10	1
10	Da_Boss_Rani	1
10	FirsTimeGamingTV	1
10	rarrq	1
10	picardred	1
10	excelsionprime	1
10	mwrty	1
10	ROY4LE	1
10	noam464	1
10	TheDankPlatypus	1
10	shadowthemonkey	1
10	Di_infiri	1
10	CheesyToess	1
10	thewindmillman	1
10	Hyp3rion_	1
10	King_Pancake1	1
10	kars0n	1
10	Rebytre	1
10	oscminus	1
10	jewbacaman	1
10	XeroByMyth	1
10	Manaateee	1
10	HellsSponge	1
10	claivin	1
10	Blu3beast	1
10	Spacewardharpy7	1
10	mihimihimihi	1
10	MovingFish7	1
10	Kura2218	1
10	Eraxa	1
10	YungMaki	1
10	non089	1
10	alderban107	1
10	EcksD	1
10	Enderxz3	1
10	Jimb0nat0r	1
10	AdmiralSmoke	1
