rank	username	minecraft:used/minecraft:light_gray_glazed_terracotta
1	Arceus1975	516
2	Bandito_Roamer	314
3	Merv__	278
4	StinkyDiplomat	249
5	bearlystraight	202
6	Hiryu27	195
7	Legendosh	186
8	Tommhh	182
9	Spacewardharpy7	116
10	MunkaKris	115
11	Ezekson	102
12	teslawolf38	80
12	eitanzaki	80
12	Di_infiri	80
15	AdmiralSmoke	71
16	lordpipe	51
17	WyngGoy	49
18	EcksD	37
19	Reamdin	34
20	TheShyPig	30
21	Hermanni__	27
22	Mahoose	26
22	joethahobo	26
24	Incinere	25
25	ConnorDanky_	24
26	YungMaki	23
27	LeauVox4921	14
28	titanlax	12
29	audiocracked	11
30	luseis	9
30	PlasticOtari	9
32	djancak	8
33	ZaneABrain	6
34	12Magner05	5
34	mwrty	5
36	Historical_Sand	4
37	Frozil20	3
37	ProfessorBee	3
37	JETrotter	3
37	Eraxa	3
41	MuffinManzz	2
41	noam464	2
41	legal_tax_evader	2
41	IamCL4SSY	2
41	561cool	2
46	rarrq	1
46	WET_WET_WET	1
46	ItsDeltaMC	1
46	_Mythic____	1
46	alderban107	1
46	EngagedGrub41	1
