rank	username	minecraft:used/minecraft:water_bucket
1	noam464	20178
2	beeperbeeper5	14969
3	Ezekson	13407
4	thewindmillman	13294
5	Lez_	10193
6	HellsSponge	9031
7	Di_infiri	8813
8	Frozil20	8324
9	Enderxz3	8001
10	Yamdalorian	7680
11	MattieHD	7277
12	M_Patata	5899
13	Spacewardharpy7	5874
14	MasterNueve	5765
15	pintsizedrogue	5632
16	Steelynan	5428
17	jcool7	5358
18	rarrq	5259
19	PigDab	5147
20	RebytreGT	5133
21	Skylord_Luke	5078
22	joethahobo	5044
23	Zythose	4725
24	Manaateee	4616
25	Skippeh	4245
26	Jackattack53	4117
27	FreakGenius	3992
28	pixelviolin	3922
29	EcksD	3902
30	TheShyPig	3870
31	Mahoose	3818
32	Blackberry1310	3750
33	12Magner05	3544
34	Alteriity	3478
35	thescout7	3455
36	RebelAndroid	3423
37	k_ce	3301
38	Merv__	3253
39	SkateboardR6	3181
40	gcaisawesome	3174
41	EveryonesUncle	3171
42	oscminus	3142
43	500am	3140
44	lordpipe	3123
45	EMC_	3099
46	SpacesickPrism	3069
47	_Karmaa	3051
48	LordSpeed37	3007
49	diamondgolem35	3002
50	Deathkob	2944
51	non089	2942
52	Hyp3rion_	2887
53	Jimb0nat0r	2811
54	kekhon	2804
55	Kakolbus	2744
56	Groovy_MoonBird	2726
57	sp00ky_ghost977	2709
58	Fullut	2702
59	SammiWolfGirl	2669
60	Xclax101	2658
61	eitanzaki	2633
62	Eraxa	2602
63	El_Jalapeno	2552
64	luseis	2540
65	Mattesco	2462
66	weabis	2447
67	Kowcio_	2424
68	MoistMicrowave	2413
69	ROY4LE	2386
70	Segotep999	2358
71	YungMaki	2318
72	Shogunite	2294
73	StinkyDiplomat	2264
74	hermmm_	2245
75	BumbleBeever	2224
76	SlayerCrypto	2199
77	PlasticOtari	2145
78	Snowflowe	2109
79	hanaryheatwave	2016
80	Groundler	2012
81	Soplight	1962
82	ExtraDumb	1955
83	Werbe	1938
84	Rumpletaezer	1927
85	Hisiste	1926
86	DAD_1996	1923
87	The11thDoctor	1921
88	Iamthejo	1892
89	mihimihimihi	1861
90	soundad	1805
91	claivin	1792
92	skitzxo	1791
93	Fuhrer_Teemo	1783
94	TheSecondLord	1767
95	elliebelle107	1756
96	MyNameIsJobo	1745
97	Racengan	1666
98	fluddd	1658
99	MightyWertu	1607
100	xxPipperDipperxx	1605
101	Mr_Byzantine	1596
102	TheWildMateo	1578
103	TechnoNinja64	1574
104	jnp_gaming	1550
105	livingdaydreams	1532
106	cedric72	1531
107	bigstankyy	1520
108	ImpavidArcher	1509
109	Blu3beast	1486
110	TheSeismicDuck	1470
111	Zaridey	1466
112	q_wq	1460
113	LeauVox4921	1446
114	SyntheticSurgeon	1439
115	Huwulling	1430
116	Winklepicker279	1419
117	Bumpy419	1415
117	Lord_Jord	1415
119	CoffeeNoir	1414
120	calamariclam_I	1397
121	Pumpkin_P_Patch	1384
122	Xalithia	1379
122	ApophisNova	1379
122	MyNamaSheff	1379
125	Onennon	1375
126	Cocoamallows	1373
127	skroobiez	1371
128	NatalieTW	1354
129	Leyna3	1337
130	Arceus1975	1333
131	burbankbuilder28	1326
132	TheDankPlatypus	1323
133	PortlyPete69	1304
134	Legendosh	1270
135	Blaiku	1247
136	xzvu	1233
137	Maenara	1211
138	Nicky_H225	1209
139	Akoot_	1204
140	RoskobiOne	1198
141	F_Uhre	1193
141	EdGalbraith	1193
143	_i_ERROR_i_	1192
144	SmashingPump	1188
145	Tyrannosplart	1182
146	Marbz_	1124
147	vandmanden	1120
148	MakeHistory157	1080
149	Cowison	1067
150	myaccountwasgone	1060
151	Gryglu583	1058
152	H0UNDFRMH3LL	1057
153	Optiprimus	1050
154	wwwwinnebagoooo	1044
155	CLG_Kata	1037
156	Warlord324	1035
157	Ssor69	1033
158	CattSoup	1018
159	mwrty	1011
160	LovelyDane	1006
161	EngagedGrub41	995
162	CollinMH06	991
163	07shiny	979
164	teslawolf38	967
165	fw3xy74	966
165	diggydog67	966
167	AstreaTSS	957
168	_Dean_123	955
168	SvenskaHugo	955
170	fffMike	949
171	h2p_emrld	929
172	Secret_Canary	914
173	6king6colt6	908
174	j5ylim	906
175	PazinGaming	903
176	Inchef	900
177	crashomon	896
178	masskedman	893
179	DemTechAlpha	887
180	Inbefour	885
181	censorsheep	881
182	Krowuss	880
183	MAns_44	878
