rank	username	minecraft:used/minecraft:dead_horn_coral_fan
1	AlexxO_o	61
2	noam464	60
3	Alteriity	43
4	Spacewardharpy7	33
5	Jackattack53	25
6	PigDab	20
7	Shogunite	17
8	Mahoose	13
9	ImpavidArcher	9
9	Blackberry1310	9
11	Kowcio_	8
12	joethahobo	6
12	Onennon	6
12	Fuad_R	6
15	Kakolbus	5
16	pintsizedrogue	4
16	robertsnose	4
16	oscminus	4
16	XxCookiequeenxX	4
16	Factoroni	4
21	Di_infiri	3
21	Rebytre	3
21	non089	3
24	j5ylim	2
24	bloodbiter	2
24	benediktine1	2
24	Hyp3rion_	2
24	MilleGrug	2
24	FishisTTV	2
30	Frozil20	1
30	tuckerdoodle	1
30	eitanzaki	1
30	TheSecondLord	1
30	12Magner05	1
30	groofles	1
30	emreknugrlu	1
30	HellsSponge	1
30	WyngGoy	1
30	Yamdalorian	1
