rank	username	minecraft:used/minecraft:exposed_copper
1	Kakolbus	268
2	Mr_Byzantine	107
3	Manaateee	78
4	YungMaki	65
5	Nicserso	29
6	pintsizedrogue	15
7	500am	10
7	luseis	10
9	PlasticOtari	9
10	Dakar_	7
11	jessewegottacook	5
11	Kowcio_	5
11	MineMaster0012	5
14	Mattesco	4
15	Enderxz3	3
16	mihimihimihi	2
17	beeperbeeper5	1
17	thewindmillman	1
17	Mr_Sun15	1
17	Deathkob	1
17	shrimp_flips	1
17	weabis	1
17	Eraxa	1
17	ZoomieZoomie	1
17	Iamthejo	1
17	EcksD	1
17	Jimb0nat0r	1
17	00000000-0000-0000-0009-01ff0c3e5e4f	1
