rank	username	minecraft:used/minecraft:copper_ore
1	Enderxz3	4909
2	EMC_	4264
3	thewindmillman	3375
4	Nicserso	2006
5	YungMaki	1977
6	gcaisawesome	1792
7	luseis	1106
8	TheSecondLord	1036
9	Marbz_	1000
10	SpacesickPrism	873
11	12Magner05	781
12	pixelviolin	726
13	pintsizedrogue	692
14	Hyp3rion_	690
15	Kakolbus	679
15	PlasticOtari	679
17	calamariclam_I	619
18	500am	609
19	LeauVox4921	587
20	Jonafrog99	558
21	Jimb0nat0r	492
22	Apollo_993	487
23	corvidpartyfor6	429
24	hanaryheatwave	423
25	Snowflowe	365
26	excelsionprime	307
26	Krowuss	307
28	MinttyFressh	287
29	PaperCanvas	275
30	Mahoose	252
31	Mattesco	225
32	Yamdalorian	198
33	Timfinity4	192
34	Jimi7hits	188
35	beeperbeeper5	175
36	j5ylim	173
37	EveryonesUncle	164
38	Flores991	159
39	MilleGrug	156
40	Manaateee	142
41	Soplight	139
42	Alteriity	130
43	Iamthejo	123
44	ApophisNova	115
44	MyNamaSheff	115
46	Huwulling	91
47	k_ce	85
48	Crowman1	82
49	Ryker	81
50	dartwaffle	78
50	Pumpkin_P_Patch	78
52	TheWickedBird	73
53	Smashic	69
54	SingedBread	65
54	mihimihimihi	65
56	U_Mos_	61
57	H0UNDFRMH3LL	60
57	Segotep999	60
57	Steelynan	60
60	RebelAndroid	57
60	Silvo614	57
60	FreakGenius	57
63	AlexxO_o	42
64	Winklepicker279	38
65	CLG_Kata	37
66	skitzxo	36
67	WYFYoyo	35
68	TheBananaKat	32
69	Megarboh	31
69	groofles	31
71	Kowcio_	27
72	powercas_gamer	23
72	wwwwinnebagoooo	23
72	verynothing	23
75	MustardSquid	22
76	SvenskaHugo	21
77	prizm_	19
78	EdGalbraith	18
78	Gus2005	18
80	MSK__	17
81	RadarHz	16
82	EngagedGrub41	14
83	ImpavidArcher	13
83	ZoomieZoomie	13
85	hcb238	11
86	KingEgg1	10
87	noam464	9
87	Deathkob	9
89	oscminus	8
90	Mr_Byzantine	7
90	NomadicRobin_	7
90	Sheldor097	7
90	EcksD	7
94	poopybh	6
94	MAns_44	6
94	Spacewardharpy7	6
94	iSammael	6
94	Ze_BaronKrigler	6
99	RoskobiOne	5
99	Merv__	5
99	QuiCreans	5
99	_Karmaa	5
103	_Z3RIX_	4
103	Inchef	4
103	Strats__	4
103	JETrotter	4
103	RebytreGT	4
103	yulgur1	4
103	ItsDeltaMC	4
103	kyouma777	4
103	Ezekson	4
112	eitanzaki	3
112	Lez_	3
112	Jackattack53	3
112	SvenskaSara	3
112	GooseWithin	3
112	Druid95	3
118	Miroryk	2
118	Roenfire	2
118	ARandomHedge	2
118	thebaddruid	2
118	BronkerBrum	2
118	Fuad_R	2
118	Eczbek	2
118	hermmm_	2
126	PazinGaming	1
126	ECstardust	1
126	DinoDoctor_	1
126	CoffeeNoir	1
126	joethahobo	1
126	HUNTERmaun	1
126	Secret_Canary	1
126	Skylord_Luke	1
126	AstreaTSS	1
126	StinkyDiplomat	1
126	lordpipe	1
126	_Mythic____	1
126	trexgb	1
