rank	username	minecraft:used/minecraft:oak_planks
1	Legendosh	28075
2	HellsSponge	25265
3	El_Jalapeno	14360
4	EveryonesUncle	14188
5	joethahobo	12277
6	PazinGaming	11424
7	rarrq	10238
8	Lez_	9338
9	yulgur1	8689
10	_Dean_123	8497
11	Mr_Byzantine	7424
12	Di_infiri	6313
13	crying_wolf_13	6131
14	Archsam	6104
15	Z3braYTIL	6088
16	TheShyPig	6010
17	Kowcio_	5286
18	tsitrawhy	4962
19	KingMatthew506	4578
20	Winklepicker279	4506
21	Frozil20	4376
22	CollinMH06	3918
23	beeperbeeper5	3890
24	Skylord_Luke	3741
25	FreakGenius	3643
26	CharlieButt	3593
27	ogoa	3592
28	Shogunite	3447
29	AuroraSkies	3377
30	Huwulling	3374
31	Arceus1975	3339
32	parodypatient	3318
33	Cocoamallows	3199
34	MoistMicrowave	3186
35	xxPipperDipperxx	3150
36	Kateesaur	2992
37	Mahoose	2972
38	Enderxz3	2886
39	Powowowow	2806
40	MixerDixer	2733
41	Blackberry1310	2699
42	AdmiralSmoke	2690
43	_Karmaa	2664
44	pintsizedrogue	2659
45	thewindmillman	2633
46	UMosDiesIrae	2565
47	ShedJr_	2531
48	Segotep999	2418
49	Heisenbberrg	2381
50	BPTY4618	2329
51	ConnorDanky_	2315
52	TheDankPlatypus	2269
53	500am	2211
54	Ssor69	2208
55	Steve897	2175
56	Jovaphobic	2171
57	GingerNeutron	2169
58	Racengan	2090
59	Manaateee	2089
60	Rumpletaezer	2066
61	Hermanni__	2045
62	bloodbiter	2002
63	Bumpy419	1997
64	EMC_	1982
65	Zoeyfortnite	1940
66	EcksD	1894
67	AlphaWolfPlaysMC	1876
68	lcvezra	1870
69	SammiWolfGirl	1825
70	FroggoTheDoggo	1816
71	Syropatathe	1796
72	Whiterooster001	1770
73	burbankbuilder28	1753
74	q_wq	1736
75	ElderRifken	1704
76	6king6colt6	1678
77	SkateboardR6	1670
78	wordboy107	1650
79	LeauVox4921	1594
80	Gryglu583	1552
81	DAD_1996	1549
82	kekhon	1538
83	BlankityMcBlank	1518
84	Werbe	1484
85	Onennon	1466
86	Rebytre	1437
87	Robby_Cream	1427
88	PigDab	1421
89	StinkyDiplomat	1399
90	weezygator	1356
91	CoffeeNoir	1334
92	Akoot_	1332
93	TheFlfthHorseman	1329
94	Sorry_Arey	1308
95	Darkgon	1292
96	Flopperdonkey	1290
97	youhjjhhhjj	1282
98	Yatitay	1256
99	DarkS0L	1249
100	Lord_Jord	1247
101	cheerytomato	1236
102	Incinere	1233
102	GeromeMerris	1233
104	ThePoliteG	1230
105	ROY4LE	1216
106	YungMaki	1212
107	Ev0luti0nz	1188
108	funnyblitz123	1187
109	ewsophie	1172
110	toj__	1152
111	The_Cruncy	1150
112	MAns_44	1132
113	PlasticOtari	1118
114	bruh072	1111
115	aldplaysmc	1104
116	Burge_r	1103
116	Iamthejo	1103
118	ProfessorDiaper	1096
119	LeGold	1086
120	diggydog67	1076
121	RebelAndroid	1074
122	Warlord324	1072
123	anbbang	1070
124	Quotary	1065
125	Krowuss	1048
125	Nicky19	1048
127	eitanzaki	1046
128	Jiminbub	1042
129	F_Uhre	1041
130	stavgod	1034
131	catandmoose	1027
132	yatsuta	1008
133	2blox_	993
134	XboxPanda	981
135	duelcard	978
136	fenkuu	945
137	_k2x	943
138	TahkoLive	930
139	SnowyAvi	924
140	m_be9	919
141	Healthing	913
142	DanielMmm	911
143	Smashic	910
144	Blu3beast	907
145	YairZaki	902
146	fkGrim	897
146	FishisTTV	897
148	Nicky_H225	894
148	ApophisNova	894
148	Soap_Bender	894
148	MyNamaSheff	894
152	heckface	878
153	Rocketlaunchers	876
154	luseis	870
155	Cowison	858
156	NarwhalTaco	852
157	Inbefour	837
158	The11thDoctor	835
159	natajimi	795
159	BreadBacon	795
161	TableTim	794
162	purpolepickle	783
162	MadmanRaven	783
164	oscminus	778
165	Xclax101	776
166	tompup	774
167	Steelynan	771
168	NYJ	767
169	Nekomin0	765
170	ImpavidArcher	761
171	TheEnderMan548	755
172	al626win52	742
173	Matek_	735
174	Jackster03	734
174	benediktine1	734
176	excelsionprime	731
177	EfficientC52	730
178	claivin	720
179	stuy9	719
179	Hahaa_0	719
181	SpacesickPrism	716
182	OG_Songsee	711
183	jewbacaman	710
184	bigstankyy	708
185	MovingFish7	706
186	Calbo_	702
187	KermitTheKripple	693
188	Kferno	689
189	fffMike	688
190	Typadopoulos	686
191	mariominejedi	685
192	Skippeh	683
193	Dali1465	680
194	Fullut	679
195	DarkFisto	676
196	Zythose	675
197	Reneedium	672
197	Jimb0nat0r	672
199	_Huge_Male_	670
200	Blazebit	667
201	QuacksonThe3rd	663
202	seanitoo	662
202	BlancoFlaco	662
204	PlzNoBM	661
204	_KuruKuru	661
204	Haadrada	661
207	Eczbek	648
208	BigMoneyH	639
209	jnp_gaming	637
210	ItsDeltaMC	631
211	Luigipunch989	628
212	Matemax	627
213	Lord_Zacler	625
214	BuildTheGondola	623
215	Malorn_Aetherius	619
216	301851	613
217	NeoJordache	609
218	TheThomas69	606
219	prizm_	595
220	CarryLine	593
220	DrGrant	593
222	MyNameIsJobo	589
223	LuceImaginary	583
224	Ozixar	580
225	Groundler	579
226	CLG_Kata	576
226	Gingayy	576
228	Spacewardharpy7	571
229	zToasty69z	567
230	Ezekson	562
231	Groovy_MoonBird	561
231	ItsHydroMC	561
231	sufjanlover	561
234	CattSoup	551
235	Eczbox	550
236	MunkaKris	549
237	majlin16	536
238	Ecplosive	535
239	Pineapplesugr	534
240	Sqwishy	528
241	Kyrum2169	526
242	LordSpeed37	524
242	SvenskaHugo	524
244	LeonelSalamanca	521
244	MissCeleste7	521
246	LetsDoItLive	517
247	ProfessorBee	516
248	pixelviolin	514
249	gren_ben	513
249	MineMaster0012	513
251	Quaintster	504
252	cichy096	500
253	Megarboh	499
254	RobotMinion101	498
255	Upstro10	497
256	Inconvenionce	496
257	ECstardust	494
258	KarlKaek	491
259	PhantomsGhost_	489
259	queenalina123	489
261	epiksk8erduck	488
262	Prodiginus	485
263	Bloo2406	481
264	Wowful	477
265	xolstoi	475
266	thescout7	470
267	Shoutur1	469
268	_lildarki3	468
269	00000000-0000-0000-0009-01ff0c3e5e4f	460
270	DeeDeeThonk	459
271	JonnyBeesh	457
272	__Auspicious	455
273	DC_XII	454
274	SteveCraftBlocks	448
274	Silvo614	448
276	Kakolbus	444
277	BiggieDawg	443
278	Auseawesome	440
279	__tomato	437
280	GravitySaint	435
281	SvenskaSara	433
281	jcool7	433
283	Merv__	432
284	ryan521	431
285	masskedman	425
286	Out_Gamed	421
287	Zaridey	415
287	OfficerAnvil	415
289	Shychelsoo	413
290	teslawolf38	412
291	GooseWithin	405
292	slkiey	404
292	Austinizzle	404
294	Meatlaugh	403
294	MelodyGaysharks	403
296	TheOnlyRake	402
297	LexMakesHistory	401
298	Soplight	394
299	DepressedCubic	391
300	Jackattack53	387
