rank	username	minecraft:used/minecraft:blue_banner
1	beeperbeeper5	524
2	Mattesco	450
3	SteveCraftBlocks	408
4	pintsizedrogue	136
5	Lez_	131
6	Buuck_	104
7	luseis	95
8	doublemaki	85
9	LuvLuvLove	83
10	Inchef	81
10	Cruncy_	81
12	TheShyPig	79
13	TheSecondLord	74
14	EveryonesUncle	73
15	Mahoose	61
16	PlasticOtari	53
17	MattieHD	52
18	Niklas20114552	50
19	kekhon	49
20	Soplight	46
21	TheWickedBird	45
22	Merv__	44
23	bl1ss0	39
24	Xclax101	36
25	Kowcio_	33
26	joethahobo	29
26	Blackberry1310	29
28	Archsam	26
28	hanaryheatwave	26
30	Enderxz3	24
31	500am	23
32	Frozil20	22
32	craaaash	22
34	eitanzaki	21
35	ShedJr_	19
35	Eraxa	19
35	Jimb0nat0r	19
38	cuddlyMonster	18
39	KarlKaek	17
39	Deerfoot	17
41	FreakGenius	16
42	Mr_Byzantine	15
42	Racengan	15
44	Jackattack53	14
44	Lord_Doob	14
46	Legendosh	13
46	Yamdalorian	13
48	lpinfinity	12
48	Manaateee	12
50	ApophisNova	11
50	PaperCanvas	11
50	Ezekson	11
50	MyNamaSheff	11
54	burbankbuilder28	10
54	ProbsNotNova	10
56	_Virify_	9
56	robertsnose	9
56	Smashic	9
56	ConnorDanky_	9
60	k_ce	8
60	AtlanticRobin	8
60	_Dean_123	8
60	Hyp3rion_	8
60	Rebytre	8
60	Akoot_	8
66	Fullut	7
66	John6970	7
66	Bloo2406	7
66	lordpipe	7
66	Cache3	7
66	Kubeusz2010	7
72	ImpavidArcher	6
72	hm947	6
72	Tiberonus	6
72	LeauVox4921	6
72	NomadicRobin_	6
72	El_Jalapeno	6
72	Groundler	6
72	Optiprimus	6
72	TheKingK_	6
72	jnp_gaming	6
82	theonlymagikarp	5
82	nitram49b	5
82	Chromary	5
82	Onennon	5
82	Fuad_R	5
82	Pumpkin_P_Patch	5
82	es0th	5
89	ECstardust	4
89	Sleek_Storm_721	4
89	Kondzik2008	4
89	SvenskaSara	4
89	The11thDoctor	4
89	CarryLine	4
89	StarCookiees_	4
89	pablopickle	4
89	SammiWolfGirl	4
98	_darky1_	3
98	teslawolf38	3
98	HotCocoJoe	3
98	Sleepy_Evelyn	3
98	hydrothebot	3
98	bloodbiter	3
98	4774	3
98	Marbz_	3
98	Sorry_Arey07	3
98	_flud	3
98	Spacewardharpy7	3
98	WyngGoy	3
98	SvenskaHugo	3
98	Kekoo	3
98	MC_Skribble	3
113	PazinGaming	2
113	rarrq	2
113	NieToksikpl	2
113	fade_emerge78823	2
113	Motsaro	2
113	hoverfishing	2
113	r123moore	2
113	noam464	2
113	Di_infiri	2
113	Malware_Mara	2
113	Snowflowe	2
113	CrateOfBoxes	2
113	HellsSponge	2
113	MAns_44	2
113	Blaiku	2
113	wwwwinnebagoooo	2
113	FiguraDei	2
113	MakeHistory157	2
113	FadedSpade82	2
113	Khoaducquan1234	2
113	xzvu	2
113	MandenR1	2
135	mymayowasgone	1
135	Hpdinosaur	1
135	T045RTY	1
135	Alteriity	1
135	Natty	1
135	Huwulling	1
135	skroobiez	1
135	Historical_Sand	1
135	IWorkAtIkea	1
135	teqilas	1
135	Tersea_	1
135	groggregg42	1
135	Awyrlas	1
135	yuuxxii	1
135	prizm_	1
135	Winklepicker279	1
135	Krowuss	1
135	Hoid_the_Roamer	1
135	LordZacler	1
135	oscminus	1
135	Werbe	1
135	floodjon	1
135	egg_innit	1
135	AlexxO_o	1
135	fw3xy	1
135	Lord_Zacler	1
135	emreknugrlu	1
135	DJzombiehunter	1
135	DarlaMeow	1
135	Shogunite	1
135	claivin	1
135	Blu3beast	1
135	SingedBread	1
135	JKendig	1
135	__tomato	1
135	Dreamdbr14	1
135	Steelynan	1
135	Vellu21	1
135	Weepingbiel	1
135	TechnoNinja64	1
