rank	username	minecraft:used/minecraft:netherite_shovel
1	Spacewardharpy7	514577
2	beeperbeeper5	424452
3	Zythose	268708
4	thewindmillman	265483
5	pintsizedrogue	257597
6	Smoke____	250408
7	noam464	237732
8	Ezekson	219561
9	TheSecondLord	212440
10	EcksD	203269
11	PigDab	201964
12	Enderslayerxz3	191991
13	Skylord_Luke	171815
14	EMC_	147907
15	obzii	139713
16	YungMaki	129356
17	Blaiku	127495
18	Hyp3rion_	125740
19	Segotep999	119442
20	Mahoose	115544
21	Kakolbus	113608
22	NomadicRobin_	109751
23	500am	101339
24	Blackberry1310	99465
25	RebelAndroid	92402
26	PlasticOtari	91900
27	Menthas	89898
28	Chromary	88442
29	lordpipe	85363
30	MeetTheWollo	84920
31	Miko_Fullbuster	82702
32	Marbz_	72490
33	Winklepicker279	64841
34	MilleGrug	64543
35	12Magner05	63382
36	SkateboardR6	58837
37	SingedBread	57977
38	kekhon	56799
39	set67	55002
40	teslawolf38	54000
41	Frozil12	53339
42	SvenskaHugo	53001
43	EveryonesUncle	52117
44	Inchef	49537
45	eitanzaki	49277
46	Lutres_Torane	44450
47	Swexti	43524
48	Steelynan	43375
49	Cowison	43035
50	CollinMH06	42476
51	Yahir091	41970
52	Lord_Jord	40488
53	_Karmaa	39278
54	Smashic	39197
55	Racengan	35072
56	Dedalus36	34673
57	BlancoFlaco	34123
58	KG1999	34038
59	Historical_Sand	33790
60	HellsSponge	30772
61	lillips	27943
62	PhantomsGhost_	25230
63	fw3xywashere	24805
64	ZeroKraken	24718
65	_NieToksikpl_	23812
66	ApophisNova	23107
67	Awyrlas	23057
68	SpaceGrenadier	22189
69	MyNamaSheff	22057
70	FishyBoy3811	20652
71	Spenduh	20571
72	Kowcio_	19314
73	ogoa	19118
74	King_Pancake1	18920
75	RoskobiOne	18300
76	Nycteus_	18133
77	Fuad_R	17839
78	Wooptey	17754
79	Soplight	17412
80	Quotary	17222
81	Werbe	17173
82	egglapras	16972
83	Eraxa	16940
84	NoChumpChange	16562
85	Myszoaz	16459
86	T045RTY	16449
87	JEWISHBadenBeele	16088
88	fffMike	15561
89	Jackattack53	15558
90	r123moore	15553
91	ShedJr_	15425
92	diggydog67	15205
93	Rebytre	14595
94	HolyVenom	14560
95	MightyWertu	14439
96	q_wq	14299
97	ROY4LE	13330
98	Sheldor097	13133
99	YoshikageBites	13016
100	fluddd	12970
101	Fullut	12957
102	ToastedGamingYT	12730
103	MSK__	12514
104	tuckerdoodle	12490
105	Di_infiri	12103
106	Steven1282598	12081
107	Eczbek	11993
108	2blox	11630
109	diamondgolem35	11360
110	pixelviolin	11236
111	OverallConcept	11011
112	error10101	10856
113	Merv__	10086
114	Dusk_95	9549
115	MangoTheFish	9130
116	Hermanni__	9051
117	Drlzyy	8765
118	jnp_gaming	8658
119	ImpavidArcher	8604
120	EcksDofficial	8224
121	MinttyFressh	8024
122	Snowflowe	7933
123	the__Reaper4999	7677
124	Jovaphobic	7570
125	Rocco_Lane	7472
126	paranoid_plant	7411
127	BronkerBrum	7292
128	_Virify_	7134
129	CharlieButt	6875
130	Akoot_	6661
131	HesDemonPants	6413
132	masskedman	6003
133	AuroraValkyrie	5601
134	dimondking777	5467
135	PegLegPete93	5354
136	AltnumberF4	5344
137	Da_Boss_Rani	5192
138	alderban107	5017
139	jacxhadow	4049
140	Ze_BaronKrigler	3760
141	bigstankyy	3568
142	TheOuterCore	3514
143	Jordan_R	3484
144	Nicky_H225	3230
145	DarlaMeow	3209
146	MissCeleste7	3192
147	sammidk	3076
148	SvenskaAlvar	2841
149	XboxPanda	2802
150	DeGodz4life	2649
151	Deathkob	2624
152	Xalithia	2557
153	djancak	2485
154	LexMakesHistory	2338
155	Megarboh	2171
156	Jiminie	2100
157	CliffEmAll	2090
158	livingdaydreams	2028
159	Hpdinosaur	1907
160	NameGenerat0r	1883
161	Quaintster	1798
162	KeruNatsema	1716
163	censorsheep	1525
164	_Yonk_	1492
165	Alteriity	1389
166	SteveWithClout	1382
167	Syropatathe	1262
168	anbbang	1137
169	stahouo	1083
170	Afinnity	1066
171	AlexxO_o	1038
172	SoftSix	798
173	Hail_the_wombat	717
174	Cpietr0	591
175	SquadMonster	559
176	jiggywraps	527
177	TheDankPlatypus	473
178	Kkanot	429
179	TheTommyGun63	419
180	KnightmareD	364
181	xxPipperDipperxx	345
182	ProfessorDiaper	316
183	mwrty	295
184	RoBe__	292
185	sp00ky_ghost977	249
186	FelixPSY375	224
187	501g	144
188	PuFY	123
189	WyngGoy	119
190	NinjaKnifeKill	95
191	MakeHistory157	92
192	JohnnyFyes	79
193	littlesophiagirl	71
194	SlinkyPinky	65
195	SammiWolfGirl	64
195	jcool7	64
197	Incinere	38
198	TheTrueClipse	37
199	Solar_Power	31
200	pappaberg	14
