rank	username	minecraft:used/minecraft:green_stained_glass_pane
1	Nicserso	1938
2	beeperbeeper5	1904
3	Werbe	1068
4	TheShyPig	850
5	pintsizedrogue	412
6	ShedJr_	320
7	DTwenty	277
8	Rumpletaezer	167
9	Quotary	161
10	El_Jalapeno	126
11	Mahoose	118
11	Lez_	118
13	MattieHD	108
14	Groundler	105
15	EMC_	96
16	lcvezra	71
17	AdmiralSmoke	69
18	Snowflowe	65
19	ROY4LE	58
19	EveryonesUncle	58
21	rarrq	53
22	luseis	51
23	joethahobo	47
23	Onennon	47
25	heckface	46
26	hanaryheatwave	35
27	Shogunite	30
28	lordpipe	29
29	jessewegottacook	26
30	_Nuf	23
30	500am	23
30	Rebytre	23
30	_Bguette_	23
34	SaucyDark	21
35	TheSecondLord	19
36	Jimb0nat0r	18
37	MoistMicrowave	16
37	SvenskaHugo	16
37	tompup	16
40	Steelynan	14
41	PlasticOtari	10
42	Merv__	8
43	NameGenerat0r	7
43	Soplight	7
43	jnp_gaming	7
46	UncreativeArtist	5
46	noam464	5
46	NomadicRobin_	5
49	RoskobiOne	4
49	HellsSponge	4
51	Secret_Canary	3
51	FreakGenius	3
51	HesDemonPants	3
54	Myszoaz	2
54	Kowcio_	2
54	EcksD	2
57	eitanzaki	1
57	F_Uhre	1
57	Inbefour	1
57	Spacewardharpy7	1
57	Eraxa	1
