rank	username	minecraft:used/minecraft:bamboo_fence
1	k_ce	501
2	Hoid_the_Roamer	356
3	_witch_craft_	262
4	Mattesco	154
5	Cache3	129
6	Bambuino	123
7	BTL_craft	116
8	Mr_Byzantine	114
9	Fullbit_	109
10	robonya_	79
11	Jimb0nat0r	76
12	Mr_Sun15	56
13	Buuck_	52
14	Enderxz3	46
15	Synthoum	38
16	Werbe	32
17	Mr_Froxy	28
18	SpacesickPrism	14
19	_Duckery	11
20	milltesco	10
21	PazinGaming	8
21	Merv__	8
23	lordpipe	7
24	Jackattack53	5
24	FiguraDei	5
26	LuvLuvLove	3
27	Yamdalorian	2
28	mymayowasgone	1
28	TheSecondLord	1
28	craaaash	1
28	Kowcio_	1
28	Pumpkin_P_Patch	1
28	ConnorDanky_	1
