rank	username	minecraft:used/minecraft:mangrove_leaves
1	Mattesco	2216
2	MineMaster0012	1958
3	pintsizedrogue	1553
4	AdmiralSmoke	998
5	luseis	888
6	EMC_	403
7	Mahoose	344
8	Mr_Byzantine	321
9	Jimb0nat0r	142
10	k_ce	123
11	jessewegottacook	121
12	Manaateee	85
13	Soplight	80
14	SpacesickPrism	77
15	Smashic	55
16	Huwulling	52
17	SkinnyBois	43
18	Cavetorch	34
19	pixelviolin	25
20	ECstardust	24
20	mihimihimihi	24
22	hanaryheatwave	23
23	DinoDoctor_	19
24	Jackattack53	15
25	corvidpartyfor6	14
26	Merv__	8
27	Enderxz3	7
28	Alteriity	5
29	GooseWithin	3
29	CattSoup	3
31	CLG_Kata	2
31	beeperbeeper5	2
33	Lez_	1
33	Kakolbus	1
33	Fuad_R	1
33	Hermanni__	1
