rank	username	minecraft:used/minecraft:chicken
1	Blackberry1310	53
2	Blu3beast	47
3	Naturalrogue	20
4	Groovy_MoonBird	16
5	12Magner05	15
6	eitanzaki	12
6	claivin	12
8	chipklip	10
8	Freak_Genius	10
8	WyngGoy	10
11	kekhon	9
11	Smoke____	9
13	Akoot_	8
13	Nekomin0	8
15	CoffeeNoir	7
15	pappaberg	7
15	stavgod	7
18	ImpavidArcher	6
18	bloodbiter	6
18	englandlondon	6
18	LibertyMutual	6
18	BlankityMcBlank	6
18	EcksD	6
24	Zipdrip	5
24	lotarp	5
24	MOSS000	5
24	_Boipl_	5
24	D0RMMAMU	5
24	Frozil12	5
24	K_a__a_n	5
31	Merv__	4
31	goyz	4
31	Mahoose	4
31	SirMinza	4
31	Fullut	4
31	maddog2014	4
31	SuperPooch06	4
31	iElijah	4
31	kravisni	4
31	zack454	4
31	Ir0npack	4
31	Njensen7	4
31	mobunni	4
31	anbbang	4
31	AltnumberF4	4
31	mackintosh_x	4
31	kinas45y5	4
31	Zoeyfortnite	4
31	CrazyPotater	4
50	Alexanderjac	3
50	Kaijann	3
50	TheMilkerOfCats	3
50	Myrlewen	3
50	tsohomie	3
50	TheSecondLord	3
50	MindyDooWho	3
50	LavenderBi1ch	3
50	ROY4LE	3
50	xxPipperDipperxx	3
50	Kubelz	3
50	mariominejedi	3
50	Killtroxx	3
50	Marahuyo00	3
50	Green__Terrorist	3
50	impossibleteapot	3
50	Tandy117	3
50	Mpkkiller	3
50	Werbe	3
50	AssEatrAndLicker	3
50	El_Jalapeno	3
50	lcvezra	3
50	GlitchyPlate810	3
50	smogfrog	3
74	angwla	2
74	fingerguns__	2
74	pintsizedrogue	2
74	KazmaninSapi	2
74	Skyler_Diablo	2
74	ETILEROP	2
74	Azorathum	2
74	I_Am_Mushkin	2
74	Wooptey	2
74	Seyaboy	2
74	DrichAldrich	2
74	joethahobo	2
74	gaziter10	2
74	beeperbeeper5	2
74	LoboTheLobster	2
74	heckface	2
74	Albertalo	2
74	m_be9	2
74	FemboyFwuit	2
74	MangoPineapplez	2
74	2Stout	2
74	CharlieButt	2
74	mimbo1211	2
74	CollinMH06	2
74	Hyp3rion_	2
74	Parcc	2
74	DAD_1996	2
74	ooga47	2
74	Leyna3	2
74	RodSerlingCringe	2
74	Blazaey	2
74	Lord_Zacler	2
74	_Bguette_	2
74	MyNameIsDakar	2
74	HellsSponge	2
74	MAns_44	2
74	carpet4_69	2
74	GravitySaint	2
74	SingedBread	2
74	lordpipe	2
74	Kowcio_	2
74	YungMaki	2
74	CassiusDio	2
74	Phoenix_Diacou	2
74	PortlyPete69	2
74	Deguns123	2
74	Kferno	2
74	LeeMcGee30	2
74	FelixPSY375	2
74	JasmineGK	2
74	TechnoNinja64	2
74	h2p_emrld	2
126	Krasnal1337	1
126	DAVID_ALL_CAPS	1
126	Mowelan	1
126	MrBeesMan	1
126	dabloons	1
126	DepressedCubic	1
126	jpoxman	1
126	Slinkyy7071	1
126	amirt01	1
126	Hpdinosaur	1
126	Incinere	1
126	RebelAndroid	1
126	Natofthese	1
126	T045RTY	1
126	C0by3llis	1
126	Batman922	1
126	DrogV2	1
126	ShedJr_	1
126	MSK__	1
126	FS0L0	1
126	thedatsun13	1
126	Unitas_isa	1
126	oreee	1
126	SquadMonster	1
126	FirsTimeGamingTV	1
126	rarrq	1
126	Euclidoris	1
126	Sparky_KT	1
126	Malorn_Aetherius	1
126	4383	1
126	Gary120	1
126	Ravenbie	1
126	Cortexia	1
126	TheDiamondCG	1
126	boog4loo	1
126	sandmire	1
126	Cambo5000	1
126	mwrty	1
126	Awyrlas	1
126	himak1	1
126	intropass	1
126	hcb238	1
126	Resner	1
126	FalconOW	1
126	Seiko39	1
126	knock369	1
126	noam464	1
126	Matek_	1
126	Raininp	1
126	IronyMan69	1
126	breadbowlgamer	1
126	outofricekrispy	1
126	BomberBoi69	1
126	SullyhS	1
126	CARGOESVROOM_7	1
126	CarltheCuck	1
126	thewindmillman	1
126	ormr_kin	1
126	Akuzmi	1
126	Hiryu27	1
126	JonahTheMans	1
126	Skylord_Luke	1
126	ItsAki_	1
126	Fatimus_	1
126	Onennon	1
126	_Cloverbelle_	1
126	PigDab	1
126	CaptainAvenger7	1
126	fxiryglitch	1
126	Huic_ostiarius	1
126	Blackerstons	1
126	St4nLe7	1
126	Skyle169	1
126	NomadicRobin_	1
126	masskedman	1
126	Gryglu583	1
126	59a59bf5-3603-4415-b66f-3096d4958b34	1
126	sufjanlover	1
126	Mweems	1
126	Babushka0430	1
126	KermitTheKripple	1
126	GlitchMixed	1
126	OtherAnimus	1
126	ewpunk	1
126	Quaintster	1
126	TiborSterle	1
126	Ruehnaar	1
126	sankrs	1
126	DarkLawD	1
126	TheRoboSock	1
126	Warlord324	1
126	Ze_BaronKrigler	1
126	Soul_Atreus	1
126	Eraxa	1
126	Juh1s	1
126	stahouo	1
126	Redd_Lionn	1
126	Poppy235	1
126	Western_1	1
126	Slapface522	1
126	UltraZombie	1
126	Mintperson	1
126	al626win52	1
126	Soffbord	1
126	Dreamdbr14	1
126	MellowCookie	1
126	Hermanni__	1
126	alderban107	1
126	2r_	1
126	erkada	1
126	cichy096	1
126	Enderslayerxz3	1
126	Legendosh	1
126	jnp_gaming	1
126	Powowowow	1
126	UrbanPlanner1978	1
126	2blox	1
126	Yahrto	1
126	DkansK	1
126	MasterOwen1	1
