rank	username	minecraft:used/minecraft:music_disc_relic
1	pintsizedrogue	23
2	k_ce	11
2	beeperbeeper5	11
4	Pumpkin_P_Patch	10
5	SteveCraftBlocks	8
5	Enderxz3	8
7	oscminus	7
8	Jimb0nat0r	6
9	FiguraDei	5
10	Archsam	3
10	philandr	3
10	craaaash	3
13	Mr_Byzantine	2
13	bl1ss0	2
13	Buuck_	2
13	Kowcio_	2
17	Cavesmith	1
17	PazinGaming	1
17	Merv__	1
17	Mekahsvu	1
17	Crizma_	1
17	MattieHD	1
17	Smashic	1
17	Zerosene	1
17	Manaateee	1
17	StarCookiees_	1
17	pixelviolin	1
17	Steelynan	1
17	Legendosh	1
17	LuvLuvLove	1
