rank	username	minecraft:used/minecraft:crimson_stairs
1	beeperbeeper5	3335
2	Awyrlas	1088
3	Lord_Jord	1031
4	shadowthemonkey	755
5	12Magner05	615
6	Segotep999	501
7	kyouma777	447
8	Steelynan	392
9	xxPipperDipperxx	370
10	Skylord_Luke	312
11	rarrq	303
12	Jackattack53	276
13	pintsizedrogue	233
14	Legendosh	190
15	_Razaria	181
16	Mahoose	179
17	MAns_44	171
18	ShedJr_	170
19	Marbz_	153
19	Manaateee	153
21	noam464	144
22	Nicserso	143
23	AdmiralSmoke	142
24	Mr_Byzantine	126
24	TheSecondLord	126
26	SvenskaHugo	99
27	himak1	91
28	livingdaydreams	80
29	jessewegottacook	71
30	Billious	68
31	Jonafrog99	67
32	Merv__	58
33	lunathelemon	54
34	Napoleonpancake	41
35	Touched_Bread	39
35	Kowcio_	39
37	Optiprimus	36
38	Syropatathe	34
39	TheDankPlatypus	31
40	RebelAndroid	27
40	breadbowlgamer	27
40	weabis	27
43	FreakGenius	26
43	mihimihimihi	26
43	YungMaki	26
46	joethahobo	25
46	kekhon	25
46	Dakar_	25
49	Snowflowe	24
50	Lez_	23
51	luseis	22
52	thewindmillman	21
53	Luigipunch989	17
54	Rebytre	14
55	Ev0luti0nz	12
55	set67	12
57	PlasticOtari	10
58	soundad	9
58	0Vyp_	9
60	EveryonesUncle	8
61	fReE_bAtWiNg	7
61	BiggieDawg	7
63	KarlKaek	6
64	_Huge_Male_	4
64	Blackberry1310	4
64	BobDeBouwer1337	4
64	Soplight	4
68	Wooptey	3
68	r123moore	3
68	Werbe	3
68	pixelviolin	3
68	KingMatthew506	3
73	lillips	2
74	k_ce	1
74	ChumpyCat	1
74	Frozil20	1
74	eitanzaki	1
74	SteveCraftBlocks	1
74	Spacewardharpy7	1
74	Eraxa	1
74	obzii	1
74	Jimb0nat0r	1
