rank	username	minecraft:used/minecraft:music_disc_strad
1	Blu3beast	79
2	Soplight	71
3	Xclax101	51
4	Merv__	44
5	kekhon	43
6	StarCookiees_	29
6	Zoeyfortnite	29
8	CalebDHawk	25
9	Inchef	23
10	Maenara	19
11	pintsizedrogue	18
11	12Magner05	18
11	oscminus	18
11	claivin	18
15	Mahoose	15
15	ShedJr_	15
15	Steelynan	15
18	SteveCraftBlocks	14
18	Jackattack53	14
18	Skylord_Luke	14
21	heckface	13
21	PlasticOtari	13
23	beeperbeeper5	12
24	_Dean_123	11
24	Vol_Rod33	11
24	Ezekson	11
24	TechnoNinja64	11
28	Mr_Byzantine	10
28	Fullut	10
28	RebytreGT	10
28	Werbe	10
28	RobotMinion101	10
28	Legendosh	10
34	ImpavidArcher	9
34	Akoot_	9
34	Eraxa	9
34	miramyu	9
34	jnp_gaming	9
39	Tyrannosplart	8
40	chimpmunker	7
40	Incinere	7
40	Pofen	7
40	Blackberry1310	7
40	AspenLightVT	7
45	SnowyAvi	6
45	crashomon	6
45	TheBananaKat	6
48	k_ce	5
48	eitanzaki	5
48	noam464	5
48	PartyPhoenix	5
48	YungMaki	5
48	_3Stump_	5
48	Enderxz3	5
55	Apollo_993	4
55	Hpdinosaur	4
55	joethahobo	4
55	TheSecondLord	4
55	Awyrlas	4
55	ROY4LE	4
55	EdGalbraith	4
55	NameGenerat0r	4
55	fluddd	4
55	ediballbearings	4
55	Dreamdbr14	4
55	elliebelle107	4
55	annebolyn	4
68	skroobiez	3
68	Donutt	3
68	Inbefour	3
68	ese_wn_po	3
68	luseis	3
68	BumbleBeever	3
68	Airem_Core	3
68	Spenduh	3
68	xzvu	3
68	fffMike	3
68	Njensen7	3
79	Groovy_MoonBird	2
79	CLG_Kata	2
79	6king6colt6	2
79	Ryan_GEMS	2
79	Gregward_Smith	2
79	Euclidoris	2
79	Valoth	2
79	Sleepy_Evelyn	2
79	Lumien_	2
79	switchNat	2
79	mwrty	2
79	Resner	2
79	legal_tax_evader	2
79	SuperPooch06	2
79	Rumpletaezer	2
79	hanaryheatwave	2
79	Arceus1975	2
79	Hyp3rion_	2
79	msJabberwock	2
79	Onennon	2
79	epiksk8erduck	2
79	thgrocks	2
79	Nicky19	2
79	Lord_Jord	2
79	ReSynced	2
79	DTwenty	2
79	lunkuku	2
79	FiguraDei	2
79	Kura2218	2
79	Kowcio_	2
79	TheKingK_	2
79	SammiWolfGirl	2
79	MilleGrug	2
79	hermmm_	2
79	Yamdalorian	2
114	Jovaphobic	1
114	MixerDixer	1
114	ItsColin11	1
114	Frozil20	1
114	hm947	1
114	Sabby65	1
114	T045RTY	1
114	ZaneABrain	1
114	Prismyst	1
114	MOSS000	1
114	Archsam	1
114	cyuar	1
114	Whiterooster001	1
114	rarrq	1
114	Prodiginus	1
114	CaracolCxnt	1
114	Comma__	1
114	jushykins	1
114	MattieHD	1
114	ProfessorBee	1
114	500am	1
114	excelsionprime	1
114	Kkanot	1
114	Candad_	1
114	Mewar	1
114	2Stout	1
114	xxPipperDipperxx	1
114	KingEgg1	1
114	TheDankPlatypus	1
114	M_Patata	1
114	Winklepicker279	1
114	Chromary	1
114	Zythose	1
114	Bumpy419	1
114	Felenov	1
114	HAIRYCLOUD626	1
114	Voxin2K	1
114	ScootOfBoot	1
114	Cruncy_	1
114	F_Uhre	1
114	MinerDec	1
114	SolarKar	1
114	IamCL4SSY	1
114	ILoveCarrot	1
114	wezzzi	1
114	AlphaWolfPlaysMC	1
114	ogoa	1
114	Sara	1
114	DarlaMeow	1
114	Blaiku	1
114	Racengan	1
114	SingedBread	1
114	Druid95	1
114	Jjackoe	1
114	MasterNueve	1
114	Cocoamallows	1
114	layabout100	1
114	IdeallyGrey	1
114	pixelviolin	1
114	Pumpkin_P_Patch	1
114	BlankityMcBlank	1
114	alkrie	1
114	_TCARREIRA_	1
114	Nicserso	1
114	little_dUki	1
114	JayToe	1
114	FishisTTV	1
114	h2p_emrld	1
114	Freedrik	1
