rank	username	minecraft:used/minecraft:red_shulker_box
281	08061945	1
281	eli_tschki	1
281	SuperPooch06	1
281	xambsam	1
281	DaviusMaximoose	1
281	Onennon	1
281	RodSerlingCringe	1
281	Negriuke	1
281	Bl1tzFX	1
281	ogoa	1
281	NomadicRobin_	1
281	Inbefour	1
