rank	username	minecraft:used/minecraft:cow_spawn_egg
1	TheShyPig	136
2	MattieHD	98
3	DAD_1996	92
4	Akoot_	39
5	Blackberry1310	35
6	Legendosh	9
7	Kateesaur	8
8	El_Jalapeno	6
9	Groundler	3
10	Di_infiri	2
10	ApophisNova	2
10	MyNamaSheff	2
13	thescout7	1
