rank	username	minecraft:used/minecraft:polished_granite
1	joethahobo	29872
2	beeperbeeper5	14416
3	EMC_	9390
4	Yamdalorian	9253
5	m_be9	4208
6	weabis	4201
7	Xclax101	4064
8	Literally_Rat	3794
9	El_Jalapeno	3256
10	Mr_Byzantine	2143
11	Winklepicker279	2007
12	Shogunite	1701
13	Pumpkin_P_Patch	1676
14	Frozil20	1504
15	ProbsNotNova	1463
16	PazinGaming	1378
17	MightyWertu	1326
18	BobDeBouwer1337	1208
19	TheWickedBird	1152
20	seramalen	1137
21	Hoid_the_Roamer	1085
22	OfficerAnvil	1063
23	FreeMoCo2009	1000
24	Legendosh	982
25	ATrojansLegend	948
26	Merv__	889
27	vandmanden	888
28	bpmm	842
29	hermmm_	838
30	TheShyPig	717
31	CrateOfBoxes	707
32	AlphaWolfPlaysMC	682
33	Quincannon	679
34	EveryonesUncle	666
35	Fuhrer_Teemo	650
36	LuvLuvLove	619
37	doublemaki	612
38	teslawolf38	611
39	Lord_Jord	605
40	pixelviolin	581
41	Optiprimus	567
42	DemTechAlpha	566
43	oscminus	557
44	Ezekson	532
45	Huwulling	519
46	kekhon	515
47	Arteriana	499
48	aec9	496
49	rarrq	489
50	Werbe	487
51	MustardDrinker	486
52	Maenara	485
53	k_ce	473
54	SpacesickPrism	471
55	PlasticOtari	457
56	Allanon1235	450
57	hanaryheatwave	448
58	Vellu21	408
59	Onennon	405
60	royal_2	397
60	Kakolbus	397
62	Deerfoot	388
63	Steelynan	384
64	Nicserso	380
65	CoffeeNoir	374
66	ConnorDanky_	372
67	NoraTheYandere	361
68	Jackattack53	355
69	r123moore	353
70	Zaridey	352
71	Jokerman369	338
71	Matorz	338
73	luseis	331
74	crying_wolf_13	304
75	U_Mos_	299
76	sufjanlover	293
77	_Karmaa	283
78	Mattesco	278
79	burbankbuilder28	276
80	Jackster03	272
81	Enderxz3	261
82	ThePoliteG	247
83	Soplight	243
83	EngagedGrub41	243
85	Darkgon	240
86	bloodbiter	238
87	Tyrannosplart	236
88	diamondgolem35	231
89	theonlymagikarp	226
90	Zythose	224
91	Racengan	212
92	ShedJr_	209
93	Touched_Bread	186
94	MattieHD	184
95	mwrty	180
96	jacxhadow	178
97	Meatlaugh	167
98	owlcrush	165
99	ROY4LE	163
99	p4lp	163
101	Wolverine4302	160
102	CaptainDeadBread	159
103	abdomera	154
103	Thunder_bird4337	154
105	remgrandt	153
105	fkndweeb	153
107	Tiberonus	151
108	Mahoose	145
108	Kowcio_	145
110	ItsAki_	144
111	SvenskaHugo	138
112	Snowflowe	131
113	stellarjay	130
114	Felenov	124
114	Dakar_	124
116	NotoriousNina	123
117	Tergandius	117
118	12Magner05	115
119	Quotary	114
120	markaus77	106
121	DSYisDizzy	105
122	Gundam_Steven	104
123	AspenLightVT	103
124	Lumien_	102
125	brrh	97
126	MyNameIsJobo	93
127	TheSecondLord	89
128	Manaateee	85
129	Jovaphobic	84
129	j5ylim	84
129	brycepants	84
132	Eczbek	83
133	NatalieTW	75
134	Mocha_Mug	72
135	ImpavidArcher	70
135	Karbl	70
135	Photosynthesis_s	70
138	LazySupport00	68
139	Chaotic1s	67
140	Inchef	66
141	diggydog67	65
142	Queen_Jalapeno	64
143	Fullut	63
144	Blaiku	61
145	Stiar	59
146	Malorn_Aetherius	58
147	skroobiez	57
148	Di_infiri	54
148	milltesco	54
148	NameGenerat0r	54
151	FreakGenius	53
152	BlankityMcBlank	52
153	SteveCraftBlocks	50
153	SingedBread	50
155	bbrothers_5	49
156	audiocracked	48
157	Comma__	47
157	Jimb0nat0r	47
159	_TCARREIRA_	45
160	andy_rex	44
160	_Crimson_Legate	44
160	djancak	44
160	TwinTowerV2	44
164	pk1297	42
165	EatUrPancreas	41
166	xzvu	40
167	Fildyr	38
167	monolu	38
169	Doom_melon	37
170	PegLegPete93	36
170	DAD_1996	36
170	CLUBN2	36
173	pappaberg	35
174	SyK7	34
174	groofles	34
176	Luigipunch989	33
177	_witch_craft_	32
177	Conrad139	32
179	_Huge_Male_	31
179	I_Am_Mushkin	31
179	therobo300	31
182	eviltunix	30
183	Myszoaz	29
183	Ajax6	29
183	Barlycorn	29
186	ItsGrayWolf	28
186	M_Patata	28
186	ProfessorDiaper	28
189	Niklas20114552	27
189	Bazongoman	27
189	TheOnlyRake	27
192	Tolhart	24
192	NNikitas	24
192	07shiny	24
192	icim	24
196	lorpus	23
196	Gzrdy	23
198	RyuNeko932000	22
198	TheWildMateo	22
198	RobotMinion101	22
201	Mariopreeet	21
202	SeverianOfUrth	20
203	radioactv_jelly	19
204	minersam1	17
204	himak1	17
204	LeauVox4921	17
204	xxPipperDipperxx	17
204	salvinia	17
209	NotMeanttoChange	15
209	F_Uhre	15
211	craaaash	13
211	mariominejedi	13
211	mick407	13
211	Hyp3rion_	13
211	starbits140	13
211	xof_on_microwave	13
211	Sheldor097	13
218	CLG_Kata	12
218	GamerDuck123	12
218	MousePlays	12
218	BumbleBeever	12
218	LordSpeed37	12
218	AssFullaCum	12
224	2Stout	11
224	Vicemaniac	11
224	CalebDHawk	11
227	Groovy_MoonBird	10
227	HUNTERmaun	10
227	500am	10
227	noam464	10
227	ConnorTG5	10
227	TheKingK_	10
233	nut_e	9
233	NumbaOneMunch	9
233	mobunni	9
236	ECstardust	8
236	Akoot_	8
236	KlausVonStiglitz	8
236	JESS_THE_RERE	8
236	ssniffles	8
241	LoganDSA	7
241	Minimize501	7
241	Historical_Sand	7
241	fallingemma	7
241	Skippeh	7
241	EcksD	7
247	pintsizedrogue	6
247	fkGrim	6
247	Fuad_R	6
247	obzii	6
251	SlowMoNinja1994	5
251	Bucscw24	5
251	HolyVenom	5
251	madderfall	5
251	cuddlyMonster	5
251	h2p_emrld	5
257	PhantomsGhost_	4
257	Argraol	4
257	DinoDoctor_	4
257	titanlax	4
257	paranoid_plant	4
257	Kubelz	4
257	legal_tax_evader	4
257	belly0_0	4
257	Boipl	4
257	cedric72	4
257	Rasmanden	4
257	MAns_44	4
257	sp00ky_ghost977	4
257	PortlyPete69	4
257	Yahrto	4
257	00000000-0000-0000-0009-01f9013b764e	4
273	Sleek_Storm_721	3
273	_Razaria	3
273	Franco093	3
273	Gregward_Smith	3
273	AnnieBathory	3
273	Krowuss	3
273	Buuck_	3
273	Spacewardharpy7	3
273	Kyrum2169	3
273	Spenduh	3
273	jcool7	3
273	Njensen7	3
285	TheRomanNoodles1	2
285	Bandito_Roamer	2
285	AuroraValkyrie	2
285	Sabby65	2
285	bra1nbrain	2
285	eitanzaki	2
285	_Dean_123	2
285	thescout7	2
285	SPUDonSTEROIDS	2
285	NotSoJamie	2
285	Arceus1975	2
285	Kondzik2008	2
