rank	username	minecraft:used/minecraft:oak_fence
1	joethahobo	7478
2	El_Jalapeno	6231
3	HellsSponge	3432
4	TheShyPig	2612
5	Shogunite	2575
6	beeperbeeper5	2422
7	Di_infiri	2282
8	Merv__	2227
9	Frozil12	1913
10	thescout7	1780
11	_Dean_123	1477
12	Freak_Genius	1473
13	CoffeeNoir	1446
14	DAD_1996	1275
15	noam464	1037
16	xxPipperDipperxx	996
17	rarrq	991
18	radioactv_jelly	925
19	crying_wolf_13	863
20	KingMatthew506	788
21	Rumpletaezer	784
22	jacxhadow	768
23	The11thDoctor	747
24	TheDankPlatypus	740
25	sebastiensaborio	731
26	ROY4LE	701
27	EveryonesUncle	638
28	eitanzaki	633
29	_Karmaa	618
30	ApophisNova	582
30	MyNamaSheff	582
32	oxfordschool	569
33	lcvezra	556
34	Blackberry1310	517
35	wobn	513
36	_Bguette_	504
37	500am	490
38	GingerNeutron	481
38	Xclax101	481
40	DrGrant	475
41	Skylord_Luke	467
42	Snowflowe	464
43	jnp_gaming	459
44	CharlieButt	458
45	TableTim	456
46	Inbefour	444
47	diggydog67	419
48	Groovy_MoonBird	416
49	TheThomas69	414
50	Onennon	413
51	AvaRosey	405
52	pintsizedrogue	403
52	thewindmillman	403
54	youhjjhhhjj	384
55	Mahoose	373
56	Windo_licker	372
57	Enderslayerxz3	371
58	Hermanni__	370
59	The_slideV3	359
60	teslawolf38	355
61	Kakolbus	354
62	Powowowow	349
63	Bumpy419	347
64	bloodbiter	339
64	Kateesaur	339
66	q_wq	330
67	TheSecondLord	320
67	Jokerman369	320
69	Vizzoid	315
69	Luigipunch989	315
71	301851	308
72	Katsuragi0243218	306
73	titanlax	299
73	MattieHD	299
75	Meatlaugh	293
76	HuangMeiHua	292
77	KarlKaek	290
77	ivorico	290
79	IWorkAtIkea	288
80	Ezekson	278
81	Bloo2406	268
81	CoryJJ	268
83	Skippeh	263
84	YungMaki	254
84	Quotary	254
86	SSytex_X	251
87	Kferno	249
88	Sral7	244
89	Prodiginus	240
89	RyuNeko932000	240
91	MightyWertu	239
92	ElderRifken	237
93	ThePoliteG	236
94	DaviusMaximoose	233
95	Haadrada	222
96	fkGrim	219
97	ogoa	216
98	Akoot_	215
99	nitram49b	211
99	OtariCharlie	211
101	eiC_	209
101	TechnoNinja64	209
103	Nekomin0	204
104	07shiny	203
105	ProfessorDiaper	202
106	Arceus1975	200
107	Kowcio_	199
108	AlphaWolfPlaysMC	196
109	Matemaks2137	194
110	Soplight	192
111	T045RTY	191
111	Ozixar	191
113	SammiWolfGirl	190
114	Fuhrer_Teemo	189
115	toj__	186
116	Dusk_95	185
117	shdesolt	182
118	Hyp3rion_	176
118	cichy096	176
120	MyNameIsJobo	167
121	kekhon	166
122	claivin	165
123	Groundler	162
124	UltimuShadow	160
125	stuy9	159
126	TheDefiantDragon	156
127	RoyalDorrr	155
127	Legendosh	155
129	chlorinex	154
129	Lord_Jord	154
131	Rasmanden	153
131	mobunni	153
133	SuperPooch06	152
134	PhantomsGhost_	151
135	fred870d	150
135	PigDab	150
137	MixerDixer	145
138	ccormacs	143
139	dopplexd	142
139	MyNameIsDakar	142
141	6king6colt6	141
141	privatemeekly	141
141	anbbang	141
144	Kijiki	140
145	o0z	137
145	KlausVonStiglitz	137
147	soundad	134
147	MovingFish7	134
149	stickwhiskers	133
149	PabloGonza02	133
151	Cyntrical	132
152	Quaintster	131
152	yatsuta	131
152	ProbsNotNova	131
155	ratglock	130
156	DanTheBuilderino	127
156	jaimshae	127
158	TylerDupree	125
158	EcksD	125
160	Skomo	124
161	Jackattack53	123
162	KingFaenor	122
163	Wooptey	120
164	picardred	119
165	Barlycorn	118
165	OG_Songsee	118
167	Comma__	117
168	Darkgon	116
168	CSG_Haru	116
170	SkateboardR6	114
171	Bruh77	112
172	Kubelz	110
172	wirelesstree	110
174	stahouo	109
175	BodaciousCake	108
175	h2p_emrld	108
177	m_be9	106
178	KillerNekoRain	105
178	sp00ky_ghost977	105
180	Guno327	104
181	Warlord324	103
182	Natofthese	102
182	__tomato	102
182	Smoke____	102
185	NoxxxxiS	101
186	MousePlays	100
186	DarkS0L	100
188	Fullut	99
189	Natty	97
190	Deliriohm	96
191	Bazongoman	94
191	Shoutur1	94
193	livingdaydreams	93
194	benediktine1	92
194	burbankbuilder28	92
194	ItsJWolff	92
197	zMarciano	91
197	Zaridey	91
197	wrinkledpiglet	91
197	RodSerlingCringe	91
197	Strangemonkey71	91
202	gaziter10	90
202	slkiey	90
202	Kukkelikuk	90
202	_3Stump_	90
202	laron58	90
207	egglapras	89
207	BuildTheGondola	89
207	trexgb	89
210	Nach0Bear	88
211	Inchef	86
212	hcb238	85
212	ImDisconnected_	85
212	xorompole	85
215	Iagoku	83
215	Z3braYTIL	83
215	Mariopreeet	83
215	mariominejedi	83
219	Reamdin	80
219	Ssor69	80
221	epiksk8erduck	79
221	PortlyPete69	79
223	BreadBacon	78
224	eviltunix	77
225	CarltheCuck	76
225	Aangezet	76
225	blimpeey	76
225	OnlyOfficial	76
229	TinMaster	75
230	ssleepless	74
230	_8man	74
230	Kouridragon	74
233	Killswitch_RW	73
233	GLLogan2	73
235	ImpavidArcher	72
