rank	username	minecraft:used/minecraft:dark_oak_boat
1	Eraxa	1026
2	SteveCraftBlocks	739
3	Mahoose	581
4	beeperbeeper5	422
5	CalebDHawk	257
6	Groovy_MoonBird	250
7	Frozil20	172
8	censorsheep	164
9	TheSecondLord	151
10	SingedBread	147
11	Fullut	141
12	_Dean_123	123
13	m_be9	119
13	ROY4LE	119
15	PigDab	118
16	Werbe	117
17	r123moore	115
18	pintsizedrogue	113
19	rarrq	112
20	set67	106
21	eitanzaki	103
21	Blackberry1310	103
23	kekhon	94
24	joethahobo	88
25	TechnoNinja64	87
26	Euclidoris	86
26	Smoke____	86
28	H72l9w	85
29	Dreamdbr14	84
29	EcksDofficial	84
31	Inchef	81
32	xxPipperDipperxx	78
33	Enderslayerxz3	73
33	jnp_gaming	73
35	Cowison	72
36	noam464	70
37	Ezekson	68
38	SammiWolfGirl	67
39	Akoot_	66
40	himak1	65
40	claivin	65
42	Chromary	63
43	Kubeusz2010	60
44	I_Am_Mushkin	59
44	Lord_Jord	59
46	corvidpartyfor6	58
46	MightyWertu	58
48	Valoth	57
48	Sky_light_KING	57
50	NomadicRobin_	56
51	thescout7	55
51	HellsSponge	55
53	T045RTY	54
54	Soplight	53
55	wezzzi	52
56	12Magner05	48
56	EcksD	48
58	chipklip	47
59	Jackattack53	46
59	Deathkob	46
59	djancak	46
62	SuperPooch06	45
62	Zoeyfortnite	45
64	Zythose	44
65	KingMatthew506	43
65	kinas45y5	43
67	Motsaro	41
67	fluddd	41
67	PlasticOtari	41
70	bloodbiter	40
70	QueenShuvi	40
70	YungMaki	40
73	6king6colt6	39
73	ImpavidArcher	39
73	EveryonesUncle	39
73	lillips	39
73	Blaiku	39
78	burbankbuilder28	38
78	Sral7	38
80	Koffeeinz	37
80	Hiryu27	37
80	Dusk_95	37
80	LeeMcGee30	37
84	BobDeBouwer1337	36
85	RebelAndroid	35
85	TheDankPlatypus	35
85	The_slideV3	35
85	Blu3beast	35
89	Swexti	34
89	XxCookiequeenxX	34
89	1442	34
92	benediktine1	33
92	DarlaMeow	33
92	NATE_the_HALO	33
95	Merv__	32
95	KarlKaek	32
95	Jiminie	32
95	OfficerAnvil	32
99	Bolete	31
99	starbits140	31
101	Spenduh	30
102	PortlyPete69	29
102	PlzNoBM	29
102	Powowowow	29
105	500am	28
105	Hisiste	28
105	Spacewardharpy7	28
108	gcaisawesome	27
108	Nycteus_	27
108	The_SlideV5	27
108	JayToe	27
112	Freak_Genius	26
112	_ritter	26
112	Steelynan	26
115	_Virify_	24
115	SaucyDark	24
115	ShedJr_	24
115	Touched_Bread	24
115	TheShyPig	24
120	MrBeesMan	23
120	SyntheticSurgeon	23
120	LAVA129	23
120	Karbl	23
124	WarHammer3	22
124	Felenov	22
124	Templar_David	22
124	lordpipe	22
124	Skippeh	22
129	Smashic	21
129	SkateboardR6	21
129	Optiprimus	21
129	Zetsey	21
129	oxfordschool	21
134	dudcreeper	20
134	Lukeee33	20
134	Historical_Sand	20
134	mwrty	20
134	thewindmillman	20
134	Kynigito	20
134	Rasmanden	20
141	Kamflame10	19
141	NotMeanttoChange	19
141	MeetTheWollo	19
144	paranoid_plant	18
144	Peeing	18
144	lOlmantschi	18
144	UCP_TheKingK	18
144	Teebone15	18
144	Zcolt69	18
150	Awyrlas	17
150	ImDisconnected_	17
150	WET_WET_WET	17
150	Arceus1975	17
150	AnnieBathory	17
150	ApophisNova	17
150	Inbefour	17
150	__tomato	17
150	MyNamaSheff	17
150	Legendosh	17
160	PhantomsGhost_	16
160	Incinere	16
160	MrExplorer	16
160	SHAOBADMAN	16
160	Bazongoman	16
160	Doom_melon	16
160	Hyp3rion_	16
160	FishyBoy3811	16
160	bpmm	16
160	MakeHistory157	16
160	Jij0	16
160	h2p_emrld	16
172	Hpdinosaur	15
172	Hoid_the_Roamer	15
172	thgrocks	15
172	ExploreMyBow	15
172	KnightmareD	15
172	masskedman	15
172	Russiancat1	15
172	the_russell1611	15
180	AuroraValkyrie	14
180	teslawolf38	14
180	Notta	14
180	SellyZ	14
180	Winklepicker279	14
180	Rebytre	14
180	ooga47	14
180	stuy9	14
