rank	username	minecraft:used/minecraft:netherite_block
1	EcksD	393
2	Enderslayerxz3	80
3	TheSecondLord	43
4	Smashic	36
5	HolyVenom	28
6	MSK__	23
7	500am	15
8	noam464	11
9	Werbe	7
9	PlasticOtari	7
11	Spenduh	6
12	Alteriity	5
12	UCP_TheKingK	5
12	oxfordschool	5
15	beeperbeeper5	4
15	12Magner05	4
15	Segotep999	4
18	set67	3
18	Hyp3rion_	3
20	Awyrlas	2
20	Chromary	2
20	thewindmillman	2
20	Skylord_Luke	2
20	PigDab	2
20	Hermanni__	2
20	Legendosh	2
27	_Virify_	1
27	PhantomsGhost_	1
27	Dedalus36	1
27	BlancoFlaco	1
27	Flores991	1
27	Wooptey	1
27	RebelAndroid	1
27	eitanzaki	1
27	Mahoose	1
27	Fullut	1
27	gabriels543	1
27	_Buffo	1
27	Solar_Power	1
27	BronkerBrum	1
27	fw3xywashere	1
27	lillips	1
27	Nycteus_	1
27	Frozil12	1
27	TheTommyGun63	1
27	stahouo	1
27	Njensen7	1
27	Quotary	1
