rank	username	minecraft:used/minecraft:cracked_polished_blackstone_bricks
1	FreakGenius	863
2	AdmiralSmoke	445
3	excelsionprime	443
4	Legendosh	385
5	Enderxz3	315
6	thewindmillman	266
7	HellsSponge	262
8	YungMaki	248
9	TheShyPig	243
10	pintsizedrogue	230
11	set67	183
12	ShedJr_	163
13	Dakar_	159
14	Kowcio_	153
15	burbankbuilder28	147
16	fanofbands101	119
17	PazinGaming	98
18	TheSecondLord	88
19	mwrty	76
20	lizardfightclub	68
21	benediktine1	59
21	wwwwinnebagoooo	59
23	Blaiku	57
24	T045RTY	48
24	Fullut	48
24	Soplight	48
24	skrongus	48
28	Winklepicker279	42
29	kekhon	40
30	Akoot_	39
31	pixelviolin	37
32	KeruNatsema	34
33	Awyrlas	32
34	Hyp3rion_	31
34	F_Uhre	31
36	Kubeusz2010	29
37	00000000-0000-0000-0009-01ff0c3e5e4f	28
38	Druid95	27
39	Eraxa	26
40	xxPipperDipperxx	25
41	ITDV	24
42	DarlaMeow	22
42	TheOuterCore	22
44	Apollo_993	20
45	noam464	18
46	Cowison	17
46	Mahoose	17
46	Myrlewen	17
46	Historical_Sand	17
46	rarrq	17
46	PlasticOtari	17
52	ImpavidArcher	16
52	IvarEXE	16
54	__lizi	15
54	12Magner05	15
56	Marbz_	14
57	HolyVenom	13
57	Spacewardharpy7	13
57	djancak	13
60	Alteriity	11
60	MinttyFressh	11
60	RadarHz	11
63	_Razaria	10
64	joethahobo	9
64	JitteryJared2	9
64	Segotep999	9
64	diggydog67	9
68	TheFlfthHorseman	8
68	Chromary	8
68	Krowuss	8
68	AlexxO_o	8
68	Manaateee	8
68	monky_irl	8
74	beeperbeeper5	7
74	Racengan	7
76	KarlKaek	6
76	livingdaydreams	6
76	titanlax	6
76	ooga47	6
76	masskedman	6
76	Vorlice	6
82	eitanzaki	5
82	ApophisNova	5
82	Ezekson	5
82	MyNamaSheff	5
82	xolstoi	5
82	WYFYoyo	5
88	4774	4
88	r123moore	4
88	Di_infiri	4
88	Zythose	4
88	luseis	4
88	NATE_the_HALO	4
94	Prismyst	3
94	ROY4LE	3
94	Rebytre	3
94	bluefragmentt	3
94	GravitySaint	3
94	NiveauSubmarine	3
94	youarefrench_	3
94	trexgb	3
102	tweety_sweety	2
102	eclipseboi	2
102	Kakolbus	2
102	WET_WET_WET	2
102	Arceus1975	2
102	Moofyman	2
102	SingedBread	2
102	Steelynan	2
102	tartanboy	2
111	Groovy_MoonBird	1
111	k_ce	1
111	soundad	1
111	ECstardust	1
111	EMC_	1
111	NinjaKnifeKill	1
111	PhantomBionic	1
111	himak1	1
111	Inchef	1
111	Touched_Bread	1
111	The_Cruncy	1
111	FishyBoy3811	1
111	Klerick	1
111	NameGenerat0r	1
111	THEKINGLyric10	1
111	_i_ERROR_i_	1
111	jcool7	1
111	FelixPSY375	1
