rank	username	minecraft:used/minecraft:sandstone_stairs
1	Steelynan	6124
2	Frozil20	5781
3	Merv__	5457
4	tuckerdoodle	3310
5	ImpavidArcher	2585
6	TheShyPig	2537
7	_stets	2359
8	xzvu	2129
9	Soplight	2030
10	500am	1896
11	Groovy_MoonBird	1795
12	noam464	1748
13	Mahoose	1622
14	joethahobo	1229
15	AdmiralSmoke	1228
16	kekhon	1167
17	Blackberry1310	1051
18	Elastiq	1018
19	12Magner05	939
20	SteveCraftBlocks	848
21	SOA1RR	829
22	beeperbeeper5	796
23	EveryonesUncle	741
24	Enderxz3	732
25	Onennon	695
26	eviltunix	595
27	Legendosh	557
28	xolstoi	477
29	Saucepeh	469
30	xXTheWolfmanXx	449
31	Kim_Jong_eel	438
32	_Karmaa	433
33	2Stout	416
34	Inconvenionce	405
35	FreakGenius	404
36	MadmanRaven	398
37	Kyrum2169	368
38	weabis	358
39	KarlKaek	352
40	NameGenerat0r	329
41	Cryptacity	323
42	ElectricDragon81	286
43	pintsizedrogue	285
44	KingFaenor	278
44	Deodorante	278
46	Lez_	275
47	Shogunite	271
48	Optiprimus	259
49	__tomato	256
50	TheWildMateo	251
51	ROY4LE	248
52	Meatlaugh	245
53	Swexti	219
54	John6970	209
55	BodaciousCake	201
56	The_slideV3	184
57	Di_infiri	178
58	Arceus1975	175
59	Fullut	173
60	legal_tax_evader	171
60	ApophisNova	171
60	MyNamaSheff	171
63	Karetoko	160
64	Parcc	155
65	TheMilkerOfCats	147
66	TheDumbHuman	137
67	_Dean_123	134
68	peach0s	133
69	SvenskaHugo	121
70	RobotMinion101	117
71	NNikitas	115
71	Ajax6	115
73	Lord_Jord	114
73	CrazyPotater	114
75	potato292	113
76	Hyugo	105
77	SuperPooch06	104
78	_3Stump_	103
78	PlasticOtari	103
80	Spacewardharpy7	102
81	TheSecondLord	101
82	Decaying_Lotus	94
83	Ssor69	92
84	TheMaster972	88
85	El_Jalapeno	86
86	luseis	85
87	SkyHighSkier	84
88	Awyrlas	82
88	Inbefour	82
90	epiksk8erduck	77
91	andy_rex	76
92	Euclidoris	75
92	Akoot_	75
94	Mattesco	74
94	Oxygen16	74
96	eitanzaki	73
96	Kowcio_	73
98	Notta	72
99	Nicserso	70
100	kalzor	63
101	Mr_Byzantine	62
101	ShedJr_	62
101	r123moore	62
101	Felenov	62
101	MightyWertu	62
106	QuacksonThe3rd	58
107	Waffleman258	57
107	CarryLine	57
109	rarrq	55
110	CACTUSLAD	54
111	YungMaki	50
111	Sral7	50
113	Werbe	43
113	IamCL4SSY	43
113	FGamerJ	43
116	wiqor	40
117	Inchef	39
117	KamFurnace	39
119	420BreadLizard	38
120	_Bguette_	37
120	RenoDesu	37
122	Hpdinosaur	36
122	JasmineGK	36
124	lillips	34
125	Apollo_993	32
125	PazinGaming	32
127	Blu3beast	31
128	Diavri	30
128	drompje	30
130	Bumpy419	29
130	xX_Stalin69_Xx	29
132	Kakolbus	27
132	burbankbuilder28	27
132	SexcMf	27
135	SwooshBoi	26
135	lordpipe	26
137	audiocracked	25
137	cum_chalice	25
139	shineh10	24
139	Eczbek	24
141	MattieHD	22
142	Eczbox	21
142	Dreamdbr14	21
144	mads388a	20
145	Alteriity	19
145	Rich_Kat	19
147	EMC_	18
147	T045RTY	18
147	GLLogan2	18
147	NotoriousNina	18
147	Doom_melon	18
147	Hermanni__	18
153	Huwulling	17
153	fluddd	17
155	shadowthemonkey	16
155	TechnoNinja64	16
157	SlayerCrypto	15
157	ReyTheLegend	15
157	AltnumberF4	15
160	ougstur	14
160	jnp_gaming	14
162	MinuteMira	13
163	Tyrannosplart	12
163	coobert42	12
165	youhjjhhhjj	11
165	thgrocks	11
165	Maenara	11
165	DarlaMeow	11
169	ImNotYuqii	10
170	Kamflame10	9
170	Jackattack53	9
170	KlausVonStiglitz	9
173	yheece	8
173	Hahaa_0	8
173	Xclax101	8
173	Eraxa	8
173	stellarjay	8
173	jcool7	8
173	ConnorDanky_	8
180	jessewegottacook	7
180	wobn	7
182	Crizma_	6
182	pappaberg	6
182	HellsSponge	6
182	ProfessorDiaper	6
182	UCP_TheKingK	6
182	Sheldor097	6
188	Incinere	5
188	MineMaster0012	5
190	PhantomsGhost_	4
190	RebelAndroid	4
190	Cats_Fly	4
190	IWorkAtIkea	4
190	Vizzoid	4
190	NotMeanttoChange	4
190	Cellcorgi649	4
190	drunkeeez	4
190	Cocoamallows	4
199	Deathkob	3
199	godipose	3
199	Blaiku	3
199	StarCookiees_	3
203	Stiar	2
203	Voxin2K	2
203	NomadicRobin_	2
203	SpouHn	2
203	Crumbls	2
203	BlankityMcBlank	2
203	starbits140	2
203	Quotary	2
211	wickedword	1
211	H72l9w	1
211	m_be9	1
211	XboxPanda	1
211	Mobstr	1
211	SirPiccardo	1
211	_Boipl_	1
211	Rebytre	1
211	Skylord_Luke	1
211	The11thDoctor	1
211	Chrisdeadeye	1
211	F_Uhre	1
211	ADEXTV	1
211	CuzIm2Kev	1
211	shrimp_flips	1
211	WyngGoy	1
211	MakeHistory157	1
211	Segotep999	1
211	FelixPSY375	1
211	Jimb0nat0r	1
