rank	username	minecraft:used/minecraft:shroomlight
1	Spacewardharpy7	2812
2	noam464	2164
3	Blaiku	1178
4	Smoke____	979
5	PigDab	925
6	pintsizedrogue	864
7	12Magner05	658
8	YungMaki	562
9	thewindmillman	518
10	EveryonesUncle	419
11	Snowflowe	384
12	lillips	324
13	Lord_Jord	307
13	sebastiensaborio	307
15	joethahobo	256
16	RebelAndroid	247
17	Hyp3rion_	241
18	kekhon	197
19	500am	191
20	beeperbeeper5	187
21	Frozil12	177
22	Hermanni__	159
23	lordpipe	155
24	Kowcio_	143
25	Legendosh	133
26	gcaisawesome	131
27	KartivGal	125
28	PlasticOtari	123
29	eitanzaki	118
30	_Virify_	106
30	Enderslayerxz3	106
32	6king6colt6	103
33	CoffeeNoir	98
34	MSK__	93
34	Winston_Ingram	93
36	EMC_	91
37	ImpavidArcher	84
38	Fullut	82
39	TheSecondLord	78
40	M_Patata	77
41	Kubelz	74
42	TheEnderman548	72
43	Freak_Genius	71
44	trexgb	69
45	BobDeBouwer1337	66
46	Rebytre	63
47	Arceus1975	61
48	hm947	59
48	SkateboardR6	59
50	Jovaphobic	58
51	titanlax	56
52	SingedBread	52
53	Mahoose	50
54	FishyBoy3811	48
55	BlancoFlaco	47
55	Xalithia	47
57	brofrickcheaters	45
57	oxfordschool	45
59	Optiprimus	44
60	ShedJr_	43
60	lizardfightclub	43
62	Ze_BaronKrigler	38
63	Kubeusz2010	36
64	pumpfonzo	31
65	gustarbite	28
66	Deathkob	26
67	CarltheCuck	25
68	Blackberry1310	24
68	Vorlice	24
68	Decaying_Lotus	24
71	Cowison	23
71	EcksD	23
73	Awyrlas	22
74	LexMakesHistory	19
75	Historical_Sand	18
75	Dusk_95	18
75	jaimshae	18
78	r123moore	17
79	xxPipperDipperxx	15
79	MineMaster0012	15
81	Natofthese	14
81	rarrq	14
81	TheTommyGun63	14
81	MasterNueve	14
81	TheALV	14
86	Eraxa	13
87	PegLegPete93	12
88	CliffEmAll	11
88	mobunni	11
90	EfficientC52	10
91	Yatitay	9
91	Werbe	9
91	Akoot_	9
91	AssEatrAndLicker	9
91	Ezekson	9
96	Inchef	8
96	XboxPanda	8
96	BasedEphex	8
96	ApophisNova	8
96	DarkS0L	8
96	RadarHz	8
96	MyNamaSheff	8
103	soundad	7
103	Steven1282598	7
105	YungJakobo	6
105	djancak	6
105	anbbang	6
108	Travasaur	5
108	Khelvoryk	5
108	Ardennes	5
108	UncreativeArtist	5
108	breadbowlgamer	5
108	Shin69	5
108	SammiWolfGirl	5
108	jnp_gaming	5
116	_stets	4
116	Di_infiri	4
116	NomadicRobin_	4
116	PortlyPete69	4
116	diggydog67	4
121	AuroraValkyrie	3
121	Slinkyy7071	3
121	YahooScreen9000	3
121	DarlaMeow	3
125	Megarboh	2
125	eclipseboi	2
125	Lil_Breadboy	2
125	SuperPooch06	2
125	Chromary	2
125	Zythose	2
125	burbankbuilder28	2
125	sigmabich	2
125	SquidZooka2	2
125	Luigipunch989	2
135	teslawolf38	1
135	livingdaydreams	1
135	bloodbiter	1
135	mwrty	1
135	fred870d	1
135	KeruNatsema	1
135	Huic_ostiarius	1
135	Gryglu583	1
135	Jiminie	1
135	H_Biscuit	1
135	Testificate_517	1
135	KG1999	1
135	Soplight	1
135	UltraZombie	1
135	Hylo482y	1
135	Quotary	1
135	MeetTheWollo	1
