rank	username	minecraft:used/minecraft:birch_leaves
1	EveryonesUncle	7218
2	Spacewardharpy7	4002
3	Mahoose	3183
4	thewindmillman	3098
5	Legendosh	2673
6	beeperbeeper5	1983
7	gcaisawesome	1973
8	joethahobo	1825
9	Smoke____	1120
10	CoffeeNoir	1092
11	pintsizedrogue	994
12	Merv__	742
13	LeauVox4921	577
14	KeruNatsema	570
15	Skylord_Luke	523
16	PlasticOtari	519
17	Di_infiri	514
18	Jeteight	500
19	TheShyPig	466
20	EcksD	441
21	Bandito_Roamer	401
22	Steelynan	354
23	intropass	346
24	Chazama	280
25	Cowison	236
26	RadarHz	232
27	Werbe	226
28	CollinMH06	224
29	kyouma777	219
30	kekhon	197
31	Deerfoot	175
32	boog4loo	160
33	NameGenerat0r	157
34	CarltheCuck	149
35	Lez_	148
36	Tommhh	141
37	ese_wn_po	140
38	DkansK	139
39	Frozil12	134
40	Deguns123	129
41	SaucyDark	127
42	killmeiamtraitor	124
42	jnp_gaming	124
44	HellsSponge	123
45	HesDemonPants	120
46	RoskobiOne	119
47	SlayerCrypto	114
48	500am	106
49	Mr_Byzantine	105
50	diggydog67	104
51	tuckerdoodle	103
51	swag_bro2004	103
53	ShedJr_	100
54	r123moore	91
55	Enderslayerxz3	89
56	Auseawesome	81
57	FelixPSY375	77
58	Optiprimus	75
59	Inbefour	73
59	Shogunite	73
61	KarlKaek	72
62	bigstankyy	71
63	The_slideV3	70
64	titanlax	69
65	TheEnderman548	64
66	Fullut	58
67	Wooptey	57
68	ApophisNova	55
68	SSytex_X	55
68	MyNamaSheff	55
71	Freak_Genius	54
72	DemTechAlpha	53
72	Eraxa	53
74	hollowww	51
75	djancak	46
76	Jij0	45
76	MelodyGaysharks	45
78	Soplight	43
79	oreee	39
80	Kubeusz2010	38
80	EcksDofficial	38
82	TechnoNinja64	36
83	groofles	35
84	PegLegPete93	34
85	Akoot_	33
86	MattieHD	32
86	xxPipperDipperxx	32
88	00000000-0000-0000-0009-01fbab7ea71d	27
89	godipose	26
89	StinkyDiplomat	26
91	ROY4LE	25
91	PortlyPete69	25
93	ChillenChiggen	24
94	Russiancat1	23
95	Onennon	22
95	LeGold	22
97	CACTUSLAD	21
98	Travasaur	20
98	Gamergirl420628	20
98	FishyBoy3811	20
101	InfernalMound	19
102	seramalen	18
103	itburb	17
103	TheMaster972	17
103	noam464	17
106	Ailmast	16
106	H72l9w	16
106	The_Quack_Dealer	16
106	MakeHistory157	16
106	oxfordschool	16
111	ThePoliteG	15
112	eclipseboi	14
112	Snowflowe	14
112	El_Jalapeno	14
115	YungMaki	13
115	stellarjay	13
117	littlesophiagirl	12
117	G1ldor	12
119	rarrq	11
119	Touched_Bread	11
119	The_SlideV5	11
122	Alteriity	10
122	loveseeker	10
122	Hermanni__	10
125	DinoDoctor_	9
125	Cryptacity	9
127	TableTim	8
127	masskedman	8
129	ToastedGamingYT	7
130	RobotMinion101	6
130	XxCookiequeenxX	6
130	07shiny	6
130	Yahrto	6
134	SlowMoNinja1994	5
134	ImpavidArcher	5
134	Simon_Lowell	5
134	Leyna3	5
134	ElderRifken	5
134	Deathkob	5
134	MightyWertu	5
141	Reamdin	4
141	Dipjol	4
141	bloodbiter	4
141	TheDiamondCG	4
141	M_Patata	4
141	Bumpy419	4
141	NoChumpChange	4
141	Jiminie	4
141	MasterNueve	4
141	Pickel_Lord	4
141	Ezekson	4
152	RebelAndroid	3
152	Myszoaz	3
152	egglapras	3
152	DTwenty	3
152	claivin	3
152	Blaiku	3
152	Kowcio_	3
159	Incinere	2
159	regulator75	2
159	The11thDoctor	2
159	epiksk8erduck	2
159	iHuntWeeaboos	2
159	lordpipe	2
159	Nagasaki_Riku	2
159	microcrisp	2
167	Jovaphobic	1
167	Houstonion	1
167	Hpdinosaur	1
167	eitanzaki	1
167	Prodiginus	1
167	TheSecondLord	1
167	jacxhadow	1
167	ProfessorBee	1
167	shyshyannne	1
167	thescout7	1
167	surfinggiraffejp	1
167	Zythose	1
167	pappaberg	1
167	Rocco_Lane	1
167	fred870d	1
167	_naturell	1
167	LilLizardWizard	1
167	Maenara	1
167	Negriuke	1
167	TheSeismicDuck	1
167	LexMakesHistory	1
167	JESS_THE_RERE	1
167	Xclax101	1
167	BumbleBeever	1
167	MovingFish7	1
167	WyngGoy	1
167	MineMaster0012	1
167	Segotep999	1
167	Dogcorn69420	1
167	alderban107	1
167	Freedrik	1
167	00000000-0000-0000-0009-01ff0c3e5e4f	1
167	00000000-0000-0000-0009-01f898304150	1
