rank	username	minecraft:used/minecraft:black_dye
1	_witch_craft_	35
2	Mr_Byzantine	18
3	EveryonesUncle	8
4	Jackattack53	7
5	SteveCraftBlocks	5
6	pintsizedrogue	2
6	q_wq	2
6	Tropiicant	2
6	pixelviolin	2
10	Groovy_MoonBird	1
10	EMC_	1
10	Mattesco	1
10	Dennid	1
10	EdGalbraith	1
10	StinkyDiplomat	1
10	Spacewardharpy7	1
10	YungMaki	1
10	Pumpkin_P_Patch	1
10	2blox_	1
10	TheWickedBird	1
