rank	username	minecraft:used/minecraft:weathered_cut_copper
1	Marbz_	302
2	luseis	11
2	SpacesickPrism	11
4	Manaateee	10
5	Apollo_993	8
6	jessewegottacook	7
7	pixelviolin	6
8	MineMaster0012	3
9	pintsizedrogue	2
10	Mr_Byzantine	1
10	JETrotter	1
10	Jimb0nat0r	1
