rank	username	minecraft:used/minecraft:compass
1	noam464	318
2	12Magner05	66
3	Lord_Jord	40
3	Deathkob	40
5	_Virify_	27
5	Winklepicker279	27
7	eitanzaki	22
8	PigDab	20
9	Mahoose	16
10	Godspirit249	9
11	MangoTheFish	6
12	Freak_Genius	5
12	Blaiku	5
14	Awyrlas	4
15	RebelAndroid	3
15	T045RTY	3
15	ShedJr_	3
15	MSK__	3
15	Enderslayerxz3	3
20	Drlzyy	2
20	CoffeeNoir	2
20	Historical_Sand	2
20	Fullut	2
20	thewindmillman	2
20	Eraxa	2
20	SammiWolfGirl	2
20	Smoke____	2
28	pintsizedrogue	1
28	Sleek_Storm_721	1
28	joethahobo	1
28	beeperbeeper5	1
28	mwrty	1
28	egglapras	1
28	Inchef	1
28	gcaisawesome	1
28	EveryonesUncle	1
28	lillips	1
28	Segotep999	1
28	Kubeusz2010	1
28	EcksD	1
